Epoch,exploration/Returns Max,exploration/Returns Std,evaluation/Returns Max,trainer/Q2 Predictions Min,time/epoch (s),exploration/Num Paths,trainer/QF2 Loss,exploration/path length Max,trainer/Log Pis Max,time/total (s),trainer/Q1 Predictions Mean,evaluation/Actions Std,replay_buffer/size,exploration/path length Std,trainer/Log Pis Std,evaluation/Returns Mean,time/evaluation sampling (s),exploration/Returns Min,trainer/Policy mu Std,exploration/Actions Std,trainer/Q1 Predictions Std,exploration/Actions Mean,exploration/path length Min,trainer/Q Targets Mean,trainer/Policy mu Min,trainer/Q Targets Std,trainer/Policy mu Max,trainer/Alpha Loss,evaluation/Rewards Mean,evaluation/Average Returns,trainer/Policy mu Mean,trainer/Q2 Predictions Std,exploration/Actions Max,evaluation/Rewards Min,exploration/Rewards Std,evaluation/path length Std,exploration/Average Returns,evaluation/path length Mean,trainer/Q2 Predictions Mean,exploration/Rewards Mean,exploration/Actions Min,evaluation/path length Max,exploration/Returns Mean,trainer/Policy log std Mean,evaluation/Rewards Std,trainer/Log Pis Min,trainer/Policy Loss,time/exploration sampling (s),exploration/Rewards Min,evaluation/Actions Min,evaluation/Returns Min,exploration/path length Mean,trainer/Log Pis Mean,evaluation/Actions Max,time/training (s),time/logging (s),time/data storing (s),evaluation/num steps total,exploration/num paths total,trainer/Q2 Predictions Max,trainer/QF1 Loss,trainer/Policy log std Min,trainer/Alpha,evaluation/Num Paths,trainer/Q1 Predictions Max,evaluation/Actions Mean,evaluation/path length Min,trainer/Q1 Predictions Min,exploration/num steps total,evaluation/num paths total,trainer/Q Targets Min,evaluation/Rewards Max,trainer/Policy log std Std,exploration/Rewards Max,evaluation/Returns Std,trainer/Policy log std Max,trainer/Q Targets Max,time/saving (s)
0,-98.88912881623352,0.5554355918832385,-100.0,0.0002471931,1.290433257992845,2,1.0053155,100,-0.5862496,1.5777602089801803,-0.0065352404,0.000704659,400,0.0,0.34005603,-100.0,0.22412995700142346,-100.0,0.0005311648,0.6483638,0.00088782,-0.006547114,100,-1.0009922,-0.0014629014,0.026198134,0.0004894072,-0.0,-1.0,-100.0,-0.0006016204,0.00056908117,0.995554,-1.0,0.0382949949690053,0.0,-99.44456440811676,100.0,0.0013240055,-0.9944456440811676,-0.9978687,100,-99.44456440811676,0.00067363173,0.0,-1.830467,-1.3175216,0.0651807920075953,-1.0,-0.0017509399,-100.0,100.0,-1.3241017,0.0004396683,0.9935786729911342,0.003539163008099422,0.0011303669889457524,1000,4,0.0029937567,0.9896328,-0.00026375277,0.9997000694274902,10,-0.004908052,-0.00063308724,100,-0.00828762,400,10,-1.004668,-1.0,0.0005221929,-0.5973304912554737,0.0,0.0014759905,-0.74059576,0.002874305995646864
1,-74.399830887827,5.531599658172425,-100.0,-1.5216943,1.3143809430184774,2,0.067013234,100,-1.0960965,2.8964092370006256,-1.2495538,0.011124084,600,0.0,0.25066662,-100.0,0.2661835199978668,-85.46303020417184,0.011121906,0.58782756,0.09958328,-0.020824648,100,-1.1744953,0.0025879173,0.2071877,0.028058378,-0.20291811227798462,-1.0,-100.0,0.014459282,0.10361217,0.98236495,-1.0,0.2834773256239516,0.0,-79.93143054599942,100.0,-1.2717246,-0.799314305459994,-0.97975045,100,-79.93143054599942,-0.14820229,0.0,-3.5689404,-0.10509375,0.06847059799474664,-1.0,0.0026527701,-100.0,100.0,-1.3781391,0.028774988,0.9735175500100013,0.0025312140060123056,0.0012224999954923987,2000,6,-0.99034655,0.053755105,-0.18519484,0.9414174556732178,10,-0.9929051,0.014185086,100,-1.494283,600,20,-1.3053002,-1.0,0.015310791,-0.0667784245777954,0.0,-0.12073113,-0.35802594,0.0024555610143579543
2,-81.2627500290552,9.259894267976001,-36.88744702246725,-2.1474469,1.3062592549831606,2,0.019195627,100,-1.0716842,4.206316035968484,-1.7171756,0.0042570173,800,0.0,0.12611318,-91.63914421233368,0.2689840219973121,-99.7825385650072,0.0045585693,0.5640659,0.22213946,0.054177523,100,-1.7057321,-0.0055268137,0.27334246,0.014396589,-0.40169984102249146,-0.9163914421233368,-91.63914421233368,0.006358261,0.21495834,0.9873829,-1.0,0.18785159986634417,0.0,-90.5226442970312,100.0,-1.7178242,-0.9052264429703117,-0.98087484,100,-90.5226442970312,-0.14473331,0.19342578721409107,-1.8485081,0.38482997,0.0691198849817738,-1.0,-0.00453927,-100.0,100.0,-1.3451973,0.014263881,0.9613499990082346,0.0033210249966941774,0.0011350360000506043,3000,8,-1.31394,0.014687932,-0.17566215,0.8865812420845032,10,-1.2587856,0.0059750634,100,-2.1325133,800,30,-1.9874519,-0.33251049845717034,0.0124548115,-0.15504479623143877,19.240841876265716,-0.11988053,-0.87348175,0.002349287999095395
3,-100.0,0.0,-83.33004267021117,-2.8942783,1.3332353070145473,2,0.010105251,100,-0.97712815,5.543536173994653,-2.4235625,0.015933316,1000,0.0,0.15086022,-96.86395016432458,0.26912444399204105,-100.0,0.023348346,0.6047143,0.25599167,-0.036267165,100,-2.447902,-0.07612869,0.26662537,0.02640229,-0.6066521406173706,-0.9686395016432459,-96.86395016432458,-0.007339066,0.2524748,0.97562635,-1.0,0.0,0.0,-100.0,100.0,-2.4231272,-1.0,-0.9934393,100,-100.0,-0.14282507,0.0902644010867977,-2.1332874,1.0764999,0.06843750400003046,-1.0,-0.0697809,-100.0,100.0,-1.3676931,0.026022889,0.9878933539730497,0.0036229280231054872,0.0014202310121618211,4000,10,-1.7232734,0.0072382446,-0.17861533,0.8349026441574097,10,-1.6500193,-0.001696332,100,-2.8466144,1000,40,-2.8182423,-0.563550732658612,0.012820239,-1.0,6.287697411004567,-0.11882051,-1.3436201,0.0027368460141588002
4,-66.07287087908232,13.09971775177901,-76.97639050726436,-3.6242452,1.3313963299733587,2,0.013028277,100,-1.0051467,6.89287230692571,-3.0771778,0.032459226,1200,0.0,0.14827901,-96.14716853553202,0.26593852700898424,-92.27230638264034,0.047972687,0.59092593,0.41620988,0.013911006,100,-3.1530871,-0.112572074,0.4242149,0.11120288,-0.8053990006446838,-0.9614716853553202,-96.14716853553202,0.0111133,0.4027758,0.9928031,-1.0,0.26880958708666863,0.0,-79.17258863086133,100.0,-3.090567,-0.7917258863086133,-0.9898445,100,-79.17258863086133,-0.13775721,0.10950432764174316,-1.9207506,1.7403303,0.06853977098944597,-1.0,-0.103656836,-100.0,100.0,-1.3535697,0.039598852,0.9900298959983047,0.0029426969995256513,0.001318700989941135,5000,12,-1.9479746,0.0130550545,-0.18049572,0.7862648963928223,10,-1.884222,0.00012367057,100,-3.592143,1200,50,-3.660682,-0.4722856809096059,0.015976138,-0.0684361977686797,7.886947273735039,-0.111394666,-1.7939299,0.0026267379871569574
5,-63.23360851647199,16.43269091455263,-51.80796501576822,-4.5556045,1.3294916409940924,2,0.1255002,100,-0.6722499,8.22652485591243,-3.8361998,0.044981394,1400,0.0,0.20126918,-74.77289810479671,0.273236134002218,-96.09899034557725,0.08342973,0.5741824,0.59896195,0.024778223,100,-3.776367,-0.20530736,0.64084953,0.24997091,-1.0028862953186035,-0.7477289810479671,-74.77289810479671,0.036511358,0.5941447,0.97292507,-1.0,0.2565311660865793,0.0,-79.66629943102461,100.0,-3.8306777,-0.7966629943102465,-0.9807015,100,-79.66629943102461,-0.12790403,0.2896910153158328,-1.7577989,2.4997747,0.06973015799303539,-1.0,-0.15885606,-100.0,100.0,-1.3423707,0.15448527,0.9793037979979999,0.003445017006015405,0.0012618690088856965,6000,14,-2.3132129,0.12203079,-0.16801274,0.7405574321746826,10,-2.323665,0.02556307,100,-4.5484476,1400,60,-4.515173,-0.14363036439440519,0.015754629,-0.061758286135487325,17.751991715507643,-0.100142665,-1.0,0.0025146649859379977
6,-100.0,0.0,-49.30653223717349,-5.2233286,1.3274304789374582,2,0.24257183,100,-0.65112066,9.558028559869854,-4.5749598,0.06693438,1600,0.0,0.2133778,-77.80030096242015,0.2716772719868459,-100.0,0.097514786,0.57776684,0.5543797,-0.027221985,100,-4.60222,-0.24599572,0.81435394,0.32263777,-1.2167654037475586,-0.7780030096242012,-77.80030096242015,0.047974642,0.5538016,0.98100585,-1.0,0.0,0.0,-100.0,100.0,-4.5833607,-1.0,-0.98328525,100,-100.0,-0.14850847,0.27931414765899093,-2.0807161,3.231722,0.06811209899024107,-1.0,-0.17306376,-100.0,100.0,-1.3814434,0.3026721,0.9809193369874265,0.0033715839963406324,0.0011898619995918125,7000,16,-2.6482308,0.23980126,-0.20468715,0.6975822448730469,10,-2.6790168,0.04733046,100,-5.2031374,1600,70,-5.2309833,-0.05322532485328062,0.021608517,-1.0,18.53935542642632,-0.1212744,-0.5266066,0.002160324977012351
7,-60.44016547260981,0.8419178512091712,-48.387057667133796,-6.21907,1.3412248540553264,2,0.27334705,100,-0.33353436,10.903233858931344,-5.174863,0.106142156,1800,0.0,0.3059955,-64.69619255175408,0.2812898750125896,-62.124001175028155,0.13479829,0.5863293,0.8446867,0.038959928,100,-5.243641,-0.30629057,0.9682727,0.45885688,-1.403523564338684,-0.646961925517541,-64.69619255175408,0.061951246,0.84490097,0.9889897,-1.0,0.27993412351761315,0.0,-61.28208332381898,100.0,-5.1719923,-0.61282083323819,-0.98486763,100,-61.28208332381898,-0.1660266,0.24893193967965985,-2.5308785,3.8141487,0.0689133080013562,-1.0,-0.24711828,-78.71217816216908,100.0,-1.3458037,0.40705273,0.9841039089951664,0.003311025007860735,0.0011980300187133253,8000,18,-2.8107386,0.27021226,-0.24970779,0.6571873426437378,10,-2.8819652,0.11013643,100,-6.1626806,1800,80,-6.1757607,-0.08152661815385338,0.03512615,-0.04161784514202604,9.84577568950527,-0.115909755,-1.0,0.002408707019640133
8,-55.70206390513401,7.072694400146901,-51.22093337928972,-7.053967,1.350747895980021,2,0.48665547,100,0.3053609,12.258149317931384,-6.062108,0.15761597,2000,0.0,0.400752,-68.7913888041493,0.27899503498338163,-69.84745270542781,0.19445644,0.5610881,1.0704876,0.09223793,100,-5.9598126,-0.45046586,1.2860376,0.60693765,-1.5844788551330566,-0.6879138880414929,-68.7913888041493,0.08727293,1.0771832,0.9887332,-1.0,0.23655806366977958,0.0,-62.77475830528091,100.0,-6.0540357,-0.6277475830528093,-0.9822652,100,-62.77475830528091,-0.17495671,0.25873879203395017,-2.8470013,4.6989307,0.06920933400397189,-1.0,-0.16471556,-100.0,100.0,-1.3089707,0.5418864,0.9955536329944152,0.0033827720035333186,0.0011903659906238317,9000,20,-3.3391984,0.48511714,-0.28928974,0.6193158626556396,10,-3.3759837,0.16163984,100,-7.153842,2000,90,-7.2505665,-0.07430269793830915,0.047113433,-0.1012770277364409,12.68348035491663,-0.07573478,-0.5266066,0.0024167560040950775
9,-46.85063658819983,4.025743576650388,-53.00399621314088,-8.330536,1.3492072829976678,2,0.60378045,100,-0.4041049,13.611455055885017,-6.251501,0.21673344,2200,0.0,0.36242598,-63.347569349881226,0.28442257302231155,-54.90212374150061,0.20409918,0.5535111,1.34902,0.14533947,100,-6.2585883,-0.51367337,1.5673928,0.56315243,-1.7732954025268555,-0.633475693498812,-63.347569349881226,0.117282525,1.3384701,0.97595763,-1.0,0.2285648721767868,0.0,-50.87638016485022,100.0,-6.2400694,-0.5087638016485022,-0.9477214,100,-50.87638016485022,-0.1963971,0.2378644465885412,-2.2569246,4.858047,0.07294752501184121,-1.0,-0.5125165,-100.0,100.0,-1.2963998,0.3815482,0.9848278669815045,0.0033822879777289927,0.0012564960052259266,10000,22,-3.817131,0.5987378,-0.26595908,0.583771288394928,10,-3.854083,0.09687611,100,-8.375608,2200,100,-8.056166,-0.0022100030425672946,0.036901575,-0.02278045487556865,13.159994957635726,-0.13196571,-0.5209612,0.002370533999055624
