replay_buffer/size,exploration/Num Paths,trainer/Policy Loss,exploration/Returns Mean,exploration/Actions Min,time/logging (s),evaluation/path length Std,time/exploration sampling (s),exploration/Returns Std,evaluation/Rewards Mean,evaluation/Rewards Min,trainer/Q Targets Mean,evaluation/Average Returns,trainer/Alpha Loss,trainer/Log Pis Min,exploration/Rewards Max,exploration/Actions Std,exploration/num paths total,exploration/path length Mean,trainer/Policy log std Mean,evaluation/path length Mean,exploration/Returns Max,evaluation/Num Paths,trainer/Log Pis Std,time/epoch (s),time/saving (s),trainer/Alpha,time/training (s),evaluation/Returns Min,exploration/Rewards Std,evaluation/Actions Mean,exploration/path length Max,trainer/Q2 Predictions Mean,evaluation/Rewards Std,trainer/Policy mu Max,trainer/Q Targets Std,time/data storing (s),exploration/Rewards Mean,evaluation/num paths total,trainer/Q2 Predictions Std,trainer/Q1 Predictions Mean,exploration/path length Min,evaluation/path length Max,trainer/Q1 Predictions Std,trainer/Policy mu Std,trainer/Policy log std Min,trainer/QF1 Loss,evaluation/path length Min,evaluation/Actions Std,trainer/Policy log std Max,trainer/Log Pis Mean,trainer/Policy mu Min,evaluation/Returns Max,trainer/Q1 Predictions Max,trainer/QF2 Loss,trainer/Q Targets Min,evaluation/Rewards Max,trainer/Q2 Predictions Min,time/evaluation sampling (s),trainer/Policy mu Mean,trainer/Q Targets Max,exploration/Average Returns,trainer/Q2 Predictions Max,evaluation/Returns Std,evaluation/Returns Mean,exploration/Actions Max,evaluation/Actions Min,exploration/Returns Min,evaluation/Actions Max,Epoch,evaluation/num steps total,exploration/num steps total,exploration/Actions Mean,time/total (s),exploration/Rewards Min,trainer/Q1 Predictions Min,trainer/Policy log std Std,trainer/Log Pis Max,exploration/path length Std
700,5,-1.3305805,-519.9198623687005,-0.9928635,0.004915566009003669,0.0,0.13452841501566581,288.53538583831056,-6.007629428916048,-10.133558363718892,-5.41909,-600.7629428916047,-0.0,-1.8344494,-0.061616310377959414,0.6367328,7,100.0,0.0005039732,100.0,-184.51028693790317,15,0.29901522,2.3369310200214386,0.0023356610035989434,0.9997000694274902,1.9118127269903198,-1011.4894044170716,3.3077761805501122,-0.00082420505,100,0.0037309092,2.803529233597974,0.0011542777,2.8576605,0.00270328699843958,-5.199198623687007,15,0.0017583857,0.00038155977,100,100,0.0011769413,0.0012944543,-0.0011419645,37.53292,100,0.0010802891,0.0021153842,-1.3301895,-0.003274797,-42.58146779201823,0.0035736542,37.56681,-11.375729,-0.36537192766966253,9.37446e-05,0.2806353640044108,-0.0008842801,-0.32497352,-519.9198623687005,0.0070032743,280.3402717526592,-600.7629428916047,0.99638283,-0.002848972,-985.7978163959367,0.0009636648,0,1500,700,0.013660016,2.5461929570010398,-11.944700376903391,-0.0012698546,0.0008786539,-0.5892272,0.0
1200,5,7.4817743,-290.34105875550557,-0.98669124,0.004733483016025275,0.0,0.14342400900204666,27.495608665440884,-2.305540883390395,-9.955857857294431,-9.352918,-230.55408833903954,-0.4647201597690582,-2.3607073,-0.21218902526739591,0.58590406,12,100.0,-0.20913239,100.0,-245.5517949983277,15,0.57609534,2.4018659250286873,0.0019713760120794177,0.8623576164245605,1.9083580900041852,-383.402137416008,1.6267928915832701,0.20683916,100,-9.078411,1.0591809718695298,0.9978574,5.1527,0.0027113709948025644,-2.9034105875550558,30,5.0449257,-9.081256,100,100,5.027281,0.2673692,-0.37883213,0.43730846,100,0.13165799,-0.15039986,-1.1442333,-0.24653395,-147.10377095270698,-3.908674,0.4857874,-22.639343,-0.19008044840706836,-22.366785,0.3406675959995482,0.2875387,-3.425448,-290.34105875550557,-4.101963,69.54945035048789,-230.55408833903954,0.9938072,-0.2554714,-324.418077127042,0.74053013,1,3000,1200,0.12517141,4.952721640031086,-10.249178910788762,-22.800793,0.044945054,0.14048088,0.0
1700,5,12.526841,-109.78146104079062,-0.9917653,0.0047504779940936714,0.0,0.14004382799612358,8.214287918489985,-0.8579927453810885,-10.283853483751708,-14.533822,-85.79927453810883,-0.7553412914276123,-3.4385252,-0.004058926612746587,0.555881,17,100.0,-0.3581054,100.0,-96.22189636483131,15,1.184351,2.3728562309988774,0.0019348060013726354,0.7526708841323853,1.894726862985408,-118.25791787211776,0.7219266000513948,0.0352525,100,-14.359458,1.0579980784575056,1.4488931,8.999115,0.0026308240194339305,-1.097814610407906,45,9.169447,-14.396893,100,100,9.140154,0.6706619,-0.569957,0.57476455,100,0.1602618,-0.17204572,-0.6608875,-1.4180701,-65.62894541262858,-6.1711535,0.5600943,-41.657608,-0.10576972627930827,-41.963665,0.3287694320024457,0.19350605,-5.8156533,-109.78146104079062,-6.177496,16.66195365818808,-85.79927453810883,0.9635238,-0.8301773,-119.52382032978396,0.90606093,2,4500,1700,0.020809727,7.329869651031913,-5.146860949200607,-41.90017,0.09778415,2.4412522,0.0
2200,5,13.423853,-111.85315158366765,-0.9901303,0.004813974985154346,0.0,0.14179890201194212,17.319447766452093,-0.7196646306498597,-11.40279283488582,-14.787184,-71.96646306498597,-0.9637290835380554,-2.3735125,-0.05976813818142716,0.5405424,22,100.0,-0.41797027,100.0,-92.99064447303306,15,0.92333794,2.4098512929631397,0.010285523982020095,0.6604720950126648,1.9202628679922782,-110.90090629708389,1.1833208380495288,0.03466505,100,-15.210729,1.0903237714646579,1.5650398,9.455604,0.003068382997298613,-1.1185315158366766,60,9.191578,-15.207499,100,100,9.214863,0.75164,-0.59317565,5.7434254,100,0.18408178,-0.18113466,-0.32477415,-1.4337261,-50.18791370093973,-7.5106325,5.8084164,-52.699696,-0.021992699502122147,-53.039066,0.32962164099444635,0.10570365,-2.7934635,-111.85315158366765,-7.3505,17.487614344800704,-71.96646306498597,0.98757243,-0.909559,-132.8572081730249,0.91221195,3,6000,2200,0.038213145,9.74397823997424,-9.722117138879202,-53.09065,0.13121717,1.6420426,0.0
2700,5,12.30051,-109.50972497669807,-0.976812,0.0038201470160856843,0.0,0.14027511299354956,22.566092367754408,-0.4491180224298655,-9.778907965205478,-14.269689,-44.91180224298655,-1.4359796047210693,-3.8616092,-0.008800892793734107,0.5363665,27,100.0,-0.50963014,100.0,-82.92056906056713,15,1.0912979,2.3868127050227486,0.001945049996720627,0.5784000158309937,1.9103782730235253,-65.5988502926491,1.3849666770369506,0.026449544,100,-14.270557,1.1455013446210245,1.7039849,9.631592,0.00280827798997052,-1.0950972497669809,75,9.527279,-14.241001,100,100,9.521089,0.627826,-0.6706738,3.3166277,100,0.18926644,-0.2305718,-0.6241415,-1.562532,-26.64606521189744,-8.808792,3.265779,-58.8335,-0.1573428779745799,-57.8016,0.3275858440028969,0.0989032,-4.1873794,-109.50972497669807,-8.842155,11.99524844863209,-44.91180224298655,0.9797616,-0.92835754,-140.87562718946535,0.93498045,4,7500,2700,0.018208452,12.135169406945352,-10.85782393382395,-57.54439,0.12266524,2.7483754,0.0
3200,5,15.735335,-105.84210053129645,-0.98280144,0.004822121991310269,0.0,0.14090912500978447,18.545172845193033,-0.2617960131153698,-9.35752043821449,-17.691954,-26.17960131153699,-1.6606396436691284,-5.2917624,-0.08986151701291947,0.5218184,32,100.0,-0.54809576,100.0,-69.90106985273293,15,1.3948131,2.4544894830032717,0.001957044005393982,0.5049352645874023,1.973529283015523,-58.98480328165358,1.4698413741672858,0.019415502,100,-17.3471,0.9849378215814465,1.8601211,13.43143,0.0028778749983757734,-1.0584210053129646,90,12.867205,-17.353235,100,100,12.874981,0.7731685,-0.73284,1.8622725,100,0.16095164,-0.252119,-0.4311963,-1.5792302,-6.723877524318704,-9.989609,1.8778216,-69.83539,-0.04039059896569315,-69.59977,0.33039403398288414,0.12830327,-9.841269,-105.84210053129645,-10.090975,18.47716802066151,-26.17960131153699,0.9925099,-0.9453557,-122.0449333418286,0.9564004,5,9000,3200,0.045331888,14.593900039966684,-10.920895784368858,-69.32495,0.12721276,3.401579,0.0
3700,5,14.375265,-99.0102072875573,-0.9935905,0.0047598610108252615,0.0,0.13922586702392437,26.849661454281012,-0.5064477721636723,-11.223243305819759,-15.582898,-50.64477721636724,-1.8143829107284546,-5.6754327,-0.030716253803158722,0.48906374,37,100.0,-0.6324307,100.0,-67.87510206122663,15,1.4648051,2.4404700710147154,0.001942545990459621,0.4393346607685089,1.9567774279857986,-88.57353570704254,1.305283969164694,0.02888529,100,-15.53662,1.1097953628297743,2.022091,7.9860616,0.0027396170189604163,-0.9901020728755727,105,7.776965,-15.528638,100,100,7.800875,0.75597095,-0.8193869,3.326711,100,0.18197934,-0.30464467,-0.20669092,-1.7498097,-27.465168478156883,-11.036655,3.3263586,-52.61669,-0.013491419552417108,-51.874443,0.3350247519847471,-0.009447277,-0.3059448,-99.0102072875573,-11.066924,19.677682617175353,-50.64477721636724,0.99559885,-0.9617048,-131.25803785166102,0.9681827,6,10500,3700,0.020244665,17.038591514981817,-10.075803562609792,-52.052868,0.11872879,3.8352218,0.0
4200,5,15.0709505,-78.72238030782118,-0.9376756,0.0047851940034888685,0.0,0.14090242399834096,13.422456793128832,-0.9553565522305647,-10.21220371505827,-16.26539,-95.5356552230565,-2.1918115615844727,-3.3118992,-0.024725218034585824,0.48647666,42,100.0,-0.64868057,100.0,-64.20910652240424,15,1.189954,2.403106294979807,0.0020538450044114143,0.3812996745109558,1.9132444229908288,-414.9012680637239,0.8193474999100481,0.12588549,100,-16.116219,1.6556962570455414,1.9925563,9.493862,0.0028428520017769188,-0.7872238030782119,120,9.178408,-16.080078,100,100,9.1766615,0.70178086,-0.8363087,2.204364,100,0.31155273,-0.32260475,-0.2739321,-1.586756,-5.964577184092976,-12.165888,2.1212432,-73.19668,-0.056003308119664114,-71.16948,0.33927755698096007,0.09393276,-0.25178978,-78.72238030782118,-12.198855,141.50553751905434,-95.5356552230565,0.9914659,-0.95805925,-95.71074837263293,0.9671367,7,12000,4200,0.037497543,19.44592975496198,-7.750464612022476,-70.85828,0.119679846,3.8671443,0.0
4700,5,20.106688,-67.65584056068056,-0.9942547,0.004145046987105161,0.0,0.14116056598140858,8.797389604954251,-0.3857875706899716,-10.488669562963608,-22.001768,-38.57875706899715,-1.970981478691101,-1.8385848,-0.05110176976572816,0.4587641,47,100.0,-0.7109836,100.0,-55.71123117613549,15,1.6369884,2.403719083959004,0.0015581999905407429,0.3306325674057007,1.9252103309845552,-73.4265587963462,0.5641124298977894,0.022590414,100,-21.854607,1.1386201009600088,2.164723,17.60468,0.0029018450004514307,-0.6765584056068055,135,16.890472,-21.859768,100,100,16.88619,0.8601802,-0.87360877,2.5391738,100,0.1685993,-0.3352086,0.21868351,-1.9427028,-15.471418641966308,-13.028207,2.5062082,-83.51747,-0.08400204262677818,-80.46815,0.3287430950149428,0.25487792,-0.3771123,-67.65584056068056,-13.110322,22.95653058282,-38.57875706899715,0.95860726,-0.9427023,-82.46073634289294,0.9756722,8,13500,4700,-0.0073826388,21.853790120891063,-5.14256284708731,-80.40609,0.116136946,5.767523,0.0
5200,5,17.635717,-64.42676702348248,-0.98455966,0.004684214014559984,0.0,0.14109212800394744,9.917715557992949,-0.6128323873060422,-9.295787539019372,-19.02864,-61.283238730604175,-2.7530484199523926,-4.8541756,-0.021359580322182027,0.43872136,52,100.0,-0.80085963,100.0,-50.360847364336344,15,1.5216653,2.3849766040220857,0.0018793529889080673,0.2872290313243866,1.901494565012399,-563.9872305817637,0.7794748913178952,0.07259428,100,-18.705915,1.6393674963491849,2.3010097,11.5702,0.0027605340001173317,-0.6442676702348248,150,11.566429,-18.687187,100,100,11.585929,0.7838725,-0.9753259,2.6479418,100,0.24759644,-0.3447732,-0.20739353,-1.8128533,-6.151066575798826,-13.391422,2.587764,-73.1974,-0.04703831752707686,-72.04011,0.33306581000215374,0.12137519,-1.4951911,-64.42676702348248,-13.42434,135.10422254868837,-61.283238730604175,0.9811385,-0.95798594,-75.62879304175443,0.9737598,9,15000,5200,0.0023043265,24.24284331392846,-7.364383751307511,-71.774605,0.14393687,4.06977,0.0
