evaluation/Returns Max,trainer/Q1 Predictions Mean,exploration/Actions Min,replay_buffer/size,trainer/Q2 Predictions Min,time/total (s),trainer/Policy log std Min,evaluation/Rewards Max,time/training (s),exploration/Rewards Mean,evaluation/Returns Min,trainer/Q Targets Mean,trainer/Log Pis Min,evaluation/Actions Std,trainer/Alpha Loss,trainer/Q1 Predictions Min,exploration/Actions Mean,exploration/Rewards Min,evaluation/Returns Mean,evaluation/Rewards Min,trainer/Log Pis Mean,time/exploration sampling (s),evaluation/Actions Mean,trainer/Policy log std Std,exploration/num steps total,exploration/path length Max,exploration/Actions Max,evaluation/path length Max,trainer/Policy mu Min,trainer/Policy mu Max,trainer/Q1 Predictions Std,exploration/Returns Mean,time/logging (s),time/data storing (s),evaluation/path length Min,trainer/QF1 Loss,time/evaluation sampling (s),trainer/QF2 Loss,evaluation/Average Returns,trainer/Policy Loss,exploration/Returns Std,exploration/path length Min,exploration/Actions Std,evaluation/num paths total,trainer/Policy log std Mean,exploration/path length Std,evaluation/Rewards Mean,evaluation/num steps total,trainer/Q2 Predictions Max,trainer/Policy mu Mean,exploration/Returns Min,exploration/num paths total,exploration/Average Returns,trainer/Q Targets Max,evaluation/Actions Max,trainer/Log Pis Max,exploration/Returns Max,trainer/Alpha,exploration/path length Mean,Epoch,time/epoch (s),trainer/Q2 Predictions Std,evaluation/Returns Std,trainer/Q2 Predictions Mean,trainer/Policy log std Max,exploration/Rewards Max,evaluation/path length Mean,exploration/Num Paths,evaluation/Num Paths,trainer/Q Targets Min,evaluation/path length Std,time/saving (s),evaluation/Actions Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,exploration/Rewards Std,trainer/Policy mu Std,trainer/Log Pis Std,evaluation/Rewards Std
-212.38316800609752,-0.0016056793,-0.99904853,700,0.0034029677,3.318027779001568,-0.0022541704,-2.1010147802314383,2.582009239005856,-7.801735221081781,-1234.6653362204872,-7.656954,-1.8288062,0.0008437929,-0.0,-0.006268813,-0.0051930607,-12.489350707452981,-708.2621824153582,-12.355890260077702,-1.3612224,0.1672528630006127,-0.0004897816,0.0004398325,700,100,0.9973731,100,-0.0026976052,0.0010790136,0.0011784857,-780.1735221081782,0.005152373996679671,0.003284696002083365,100,68.85818,0.34103173600306036,68.97982,-708.2621824153582,-1.3597118,254.84525881368498,100,0.6318305,15,-0.0010341883,0.0,-7.082621824153582,1500,0.009059507,-0.00044960633,-1110.4488400508567,7,-780.1735221081782,-0.40146795,0.0009736129,-0.5523908,-511.97365091843767,0.9997000694274902,100.0,0,3.1011363600046025,0.0012719004,289.7606409726617,0.0063805105,0.00019828085,-0.3972732656562689,100.0,5,15,-12.459833,0.0,0.0024054519963101484,-0.002078811,3.201851,0.00037978112,3.1812670709342243,0.0010912028,0.30326638,2.897723068809368
-168.42876560505636,-12.380429,-0.9977594,1200,-26.321054,6.409470930011594,-0.34842652,-0.05821407420034664,2.425056443003996,-2.9326120380292915,-289.8993467833273,-12.586972,-4.6615486,0.10144513,-0.4577903747558594,-26.386246,-0.07805596,-9.049295458622332,-215.0982991452446,-10.525405825215497,-1.1150186,0.1844484969988116,-0.16787569,0.06482395,1200,100,0.98618156,100,-0.89765203,0.46288696,6.5791717,-293.2612038029291,0.004809854995983187,0.0031142439984250814,100,0.40303767,0.46659879499929957,0.4834207,-215.0982991452446,10.723036,57.05186271328882,100,0.5906134,30,-0.19948174,0.0,-2.1509829914524454,3000,-4.8437552,-0.19171171,-358.88915003850155,12,-293.2612038029291,-4.176581,0.4248391,0.7818502,-218.35086121122595,0.8630874752998352,100.0,1,3.08611644100165,6.634355,32.225558514207805,-12.319866,-0.09287186,-0.17809529559106357,100.0,5,15,-25.568233,0.0,0.0020886070051346906,-0.6943605,6.612365,-4.7410274,1.7051881797675925,0.39231583,0.839164,1.3001814613627916
-116.43761932110213,-17.682493,-0.9873679,1700,-41.884956,9.225515311030904,-0.5250949,-0.04821574989108,2.2377556810024544,-1.3807310584298238,-145.09739688141735,-17.76712,-3.873891,0.13890794,-0.7198731303215027,-41.87728,-0.083592154,-8.130502989737579,-130.41159591114862,-8.392966212643355,-0.55865914,0.17287187300098594,-0.025476566,0.09825218,1700,100,0.98805785,100,-1.3649554,1.2457378,10.922545,-138.07310584298241,0.004893629004072864,0.0030852080017211847,100,1.88948,0.3901729119970696,1.990261,-130.41159591114862,16.293505,10.352123071690118,100,0.5599436,45,-0.31888685,0.0,-1.3041159591114864,4500,-7.340681,-0.23219012,-157.50941922697692,17,-138.07310584298241,-1.7205534,0.79393953,1.8251853,-129.6842112050444,0.7545763254165649,100.0,2,2.8111499170045136,10.873878,9.055037315951877,-17.708227,-0.1604779,-0.07497737383166608,100.0,5,15,-44.32798,0.0,0.002370613998209592,-0.8537099,11.41517,-7.363351,1.2086912051389824,0.6696416,1.088499,0.739992987876924
-27.92380293316335,-18.806711,-0.99531955,2200,-56.933094,12.068255702004535,-0.59408146,-0.10800891757571823,2.2875066599954152,-1.126823511678559,-66.76331826969405,-19.093634,-2.6986828,0.16471747,-0.9662073254585266,-56.81735,-0.066254854,-9.320486440668066,-45.8708372117323,-8.637921808367487,-0.35081458,0.17230461799772456,-0.031231638,0.11452282,2200,100,0.9863465,100,-1.6657225,1.4736766,12.653005,-112.68235116785593,0.005737210994993802,0.003064420998271089,100,0.9513263,0.3672911750036292,0.94187665,-45.8708372117323,16.905132,17.227036780063383,100,0.55614734,60,-0.4041024,0.0,-0.45870837211732296,6000,-9.231439,-0.20465603,-134.33346926342796,22,-112.68235116785593,-8.508148,0.8735243,2.8835764,-82.69973179116427,0.6628133058547974,100.0,3,2.838258636991668,12.657347,11.512814321781285,-18.807514,-0.21559522,-0.05629003597952692,100.0,5,15,-59.64823,0.0,0.002354552001634147,-0.9242352,13.294778,-9.138061,1.1991195155607275,0.75755614,1.2209334,0.9921950222895433
-11.61112943062855,-18.057634,-0.97816646,2700,-73.29223,14.985860571010562,-0.6597494,-0.05418661975459275,2.3757673260042793,-0.922627058339996,-66.97785989733367,-18.11381,-2.3318021,0.16412644,-1.3234769105911255,-73.35884,-0.03397319,-8.37856722182592,-31.10404361339334,-9.627571995569292,-0.43346873,0.1661604900000384,-0.02408148,0.114118084,2700,100,0.9605316,100,-1.7674149,1.5940601,14.203252,-92.2627058339996,0.005593836998741608,0.003506417000608053,100,3.054059,0.360061057996063,3.0972295,-31.10404361339334,16.400488,11.227387246687725,100,0.52722234,75,-0.48304263,0.0,-0.31104043613393334,7500,-10.505053,-0.11813151,-110.85715141945954,27,-92.2627058339996,-0.051781505,0.9154262,3.228588,-77.95276027341296,0.5803487300872803,100.0,4,2.913609235001786,14.169127,13.049126946545577,-18.060284,-0.30653948,-0.05178150563587709,100.0,5,15,-71.54107,0.0,0.002520107002055738,-0.9454456,14.510913,-10.439489,0.8331820312535264,0.7184534,1.1346263,0.8928849375481347
-10.698716029038666,-20.508818,-0.97778285,3200,-73.15633,17.860175610017905,-0.7138199,-0.04298197040406299,2.3020679320034105,-0.9458274971913102,-67.85534325328489,-20.667952,-3.7513955,0.17232107,-1.4987616539001465,-73.33723,-0.024171764,-10.323730968534372,-34.45832401584615,-10.261417868019777,-0.20546477,0.1734713610057952,-0.01796201,0.11730216,3200,100,0.9711647,100,-1.9265935,1.6950114,15.401517,-94.58274971913099,0.004839405999518931,0.0035225779938627966,100,0.7123006,0.3838932150028995,0.72628796,-34.45832401584615,18.652122,17.065455712362983,100,0.5183056,90,-0.54754484,0.0,-0.3445832401584615,9000,-11.658006,-0.17370038,-114.33857151181961,32,-94.58274971913099,-11.543615,0.92033124,3.2535589,-66.71861607973634,0.5066960453987122,100.0,5,2.869577231009316,15.392906,18.504754691907518,-20.527544,-0.3477534,-0.054250069712456786,100.0,5,15,-74.890884,0.0,0.0017827390038291924,-0.9539913,15.524498,-11.6622095,1.1648070296348563,0.80969983,1.405424,1.0819673672798829
-10.201290782017598,-18.326172,-0.99530125,3700,-74.82501,20.65312080503645,-0.69303405,-0.07561893139890026,2.2346793140022783,-1.011475504965301,-362.71329968107744,-18.00937,-3.9088283,0.22366324,-1.8910679817199707,-74.92272,-0.055048432,-10.272847165990218,-47.23558446603059,-10.649155711977196,-0.31022885,0.1708812740034773,0.0064774053,0.100962676,3700,100,0.99525005,100,-2.0085008,1.7212787,11.146759,-101.1475504965301,0.0036001840053359047,0.003640750001068227,100,5.023683,0.3728092730016215,5.1587005,-47.23558446603059,16.653402,20.64761277218661,100,0.5177585,105,-0.55285054,0.0,-0.47235584466030595,10500,-12.865957,-0.08690224,-119.67881602307025,37,-101.1475504965301,-0.40836576,0.94579303,3.8039007,-68.37664073994584,0.44094231724739075,100.0,6,2.787588957013213,11.115053,85.93807795657483,-18.38633,-0.33664417,-0.029686136493642462,100.0,5,15,-75.42543,0.0,0.0019781619994319044,-0.96807396,11.349723,-12.72068,1.3958280391821591,0.7494553,1.5033528,1.1659946688902174
-27.806802996513273,-23.61879,-0.99634576,4200,-87.7563,23.40489845002594,-0.7208246,-0.15565761989425814,2.2285959479995654,-0.8889061982711248,-80.65238890618868,-23.485891,-2.2154088,0.16588002,-2.0237481594085693,-87.74817,-0.030970827,-9.318415123671898,-46.21305315183244,-10.35371404494683,-0.10631714,0.15846634800254833,-0.022988245,0.092016,4200,100,0.95695794,100,-2.0874488,1.9587032,19.007214,-88.89061982711249,0.004812856001080945,0.003027398000995163,100,5.274858,0.35104262399545405,5.3241954,-46.21305315183244,21.879414,17.95500766647497,100,0.49860156,120,-0.59277326,0.0,-0.46213053151832445,12000,-13.886675,-0.12841865,-122.5185891355832,42,-88.89061982711249,-1.1742427,0.95077,3.8286848,-71.5429488557136,0.3824802041053772,100.0,7,2.7479532120050862,18.986074,16.242641916347615,-23.595076,-0.3761075,-0.05737380312338218,100.0,5,15,-90.43706,0.0,0.0020080380054423586,-0.9720874,19.61281,-13.841808,0.892109667000483,0.8528017,1.2667698,0.9526817888495155
-4.796252553687712,-19.955835,-0.9957106,4700,-76.216705,26.173172593022173,-0.7722887,-0.028927266970110076,2.2139170930022374,-0.7341593829288497,-60.67172011233837,-20.031864,-2.7338295,0.16510527,-2.546236038208008,-76.37046,-0.006149982,-7.807603461771689,-24.163726193786253,-10.316294971913669,-0.30696547,0.16485481199924834,-0.013972279,0.07858938,4700,100,0.9733152,100,-2.310431,1.9449068,10.978512,-73.41593829288497,0.004765085999679286,0.0029078049992676824,100,0.47903812,0.36494864799897186,0.5351737,-24.163726193786253,18.533674,9.917038368036438,100,0.4962062,135,-0.65760237,0.0,-0.24163726193786253,13500,-14.744888,-0.12898208,-84.00956712679299,47,-73.41593829288497,-14.455335,0.9277976,3.166424,-58.9307514050649,0.3315421938896179,100.0,8,2.763933366004494,10.949741,20.239799210684243,-19.905697,-0.42923707,-0.04050512572972778,100.0,5,15,-77.23622,0.0,0.012539922005089466,-0.978664,10.971234,-14.746335,0.8156382777828041,0.7791319,1.0624783,1.0328006678412347
-8.855520567804794,-20.416868,-0.9979226,5200,-81.768616,28.919340766027744,-0.80165374,-0.00610699748473724,2.194039263005834,-0.7276344933952406,-65.31663912937002,-20.501226,-3.8873334,0.18050198,-2.674044609069824,-81.711365,-0.029563598,-10.063122472125459,-32.10725451340787,-10.32237151021427,-0.14567871,0.1741514039968024,-0.029459244,0.07639864,5200,100,0.97779566,100,-2.3470483,2.0778222,12.532959,-72.76344933952407,0.004797050001798198,0.0030980990050011314,100,5.2698436,0.36374925499694655,5.309654,-32.10725451340787,19.37738,17.659403514631954,100,0.48004395,150,-0.6933896,0.0,-0.3210725451340786,15000,-15.410991,-0.076982,-105.59159239583526,52,-72.76344933952407,-0.73623335,0.9073151,4.333966,-54.598639409139544,0.28749948740005493,100.0,9,2.7418123400057084,12.538757,17.93649641523901,-20.460089,-0.46764952,-0.011975856069771416,100.0,5,15,-85.983986,0.0,0.001977268999326043,-0.9809253,13.301105,-15.323669,0.9764038116281055,0.81721026,1.5113884,1.0837300817222364
