exploration/path length Std,evaluation/Average Returns,evaluation/Actions Std,trainer/Q1 Predictions Std,trainer/Log Pis Max,exploration/path length Max,exploration/Actions Mean,time/total (s),exploration/num paths total,time/evaluation sampling (s),time/data storing (s),exploration/path length Min,trainer/QF1 Loss,trainer/Alpha Loss,trainer/Policy log std Min,evaluation/path length Mean,time/epoch (s),Epoch,trainer/Log Pis Std,evaluation/Actions Mean,exploration/Returns Std,exploration/Rewards Std,trainer/Policy log std Max,exploration/Rewards Mean,trainer/Q1 Predictions Max,evaluation/Rewards Std,evaluation/Rewards Min,evaluation/Actions Max,evaluation/Num Paths,trainer/Policy mu Std,evaluation/path length Min,time/saving (s),exploration/Actions Min,trainer/Log Pis Min,trainer/Alpha,trainer/Policy Loss,evaluation/Actions Min,evaluation/Rewards Max,time/training (s),trainer/QF2 Loss,evaluation/num paths total,exploration/Average Returns,trainer/Q2 Predictions Std,exploration/Returns Mean,evaluation/Returns Std,exploration/Num Paths,exploration/Actions Max,trainer/Policy mu Min,trainer/Q1 Predictions Mean,exploration/Rewards Max,trainer/Log Pis Mean,exploration/Rewards Min,trainer/Policy log std Std,exploration/path length Mean,exploration/num steps total,exploration/Actions Std,trainer/Q2 Predictions Mean,trainer/Policy log std Mean,time/exploration sampling (s),exploration/Returns Min,time/logging (s),evaluation/Returns Min,trainer/Policy mu Mean,replay_buffer/size,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q Targets Mean,trainer/Policy mu Max,trainer/Q2 Predictions Min,evaluation/path length Std,evaluation/num steps total,trainer/Q2 Predictions Max,trainer/Q1 Predictions Min,evaluation/path length Max,evaluation/Returns Max,exploration/Returns Max,trainer/Q Targets Max,evaluation/Returns Mean,evaluation/Rewards Mean
0.0,-733.1134634377672,0.00050414336,0.00085833686,-0.5833349,100,0.022493768,2.8071281860029558,7,0.3191737900051521,0.00294431400106987,100,43.443443,-0.0,-0.0014108456,100.0,2.5758243030140875,0,0.29982692,0.00044389168,160.26767360992156,2.2369541231217367,0.0016878468,-6.678548936356383,0.0027351861,2.3105780676497227,-10.486525466300026,0.0010352036,15,0.0004031419,100,0.0024156190047506243,-0.9940707,-1.8358322,0.9997000694274902,-1.3446448,-0.00080670876,-2.522744561605024,2.0873647580010584,43.404312,15,-667.8548936356383,0.00089588296,-667.8548936356383,231.04541874408167,5,0.998857,-0.000383485,0.0006977681,-0.7631059739109912,-1.3467885,-10.369100234572922,0.0005391418,100.0,700,0.6273157,-0.0020919805,-0.0003169188,0.15900881400011713,-896.7471819068584,0.004917008001939394,-1042.54284558395,0.00072427973,700,-10.256212,2.357308,-6.154367,0.0014387065,-0.0039202515,0.0,1500,-0.0005839226,-0.0018464264,100,-253.96414621475674,-412.29859335005193,-0.8706291,-733.1134634377672,-7.331134634377673
0.0,-321.5138766266319,0.28709564,4.6066456,0.3128193,100,0.09683382,5.43746833800833,12,0.37417606999952113,0.003172370001266245,100,2.339958,-0.4610311985015869,-0.31432632,100.0,2.6262281669987715,1,0.71148807,0.048339818,13.308321517865872,0.9286194050141595,-0.11176303,-3.2237443925837024,-4.0543127,1.1238048088224877,-11.582894657941498,0.65800947,15,0.40628004,100,0.0021626960005960427,-0.9680933,-2.9394417,0.8625580668449402,7.4561324,-0.59064925,-0.15244371289804265,2.079829324000457,2.5084612,30,-322.3744392583702,4.666737,-322.3744392583702,21.6668119535734,5,0.9907911,-0.8948199,-8.799088,-0.7584328018776205,-1.1240566,-7.361334696819521,0.047077693,100.0,1200,0.5771579,-8.760387,-0.2224068,0.16156476899777772,-346.9188983383583,0.00532293799915351,-369.8815520687774,0.06393951,1200,-20.972076,4.122165,-9.602144,0.7487365,-20.92941,0.0,3000,-4.064769,-20.960335,100,-293.20497749767867,-307.90807055667403,-4.3102036,-321.5138766266319,-3.2151387662663184
0.0,-70.19263950140335,0.16646114,6.867627,1.4325624,100,0.013989314,8.08142512201448,17,0.35723614399466896,0.003018654002516996,100,1.19885,-0.8292980194091797,-0.49212438,100.0,2.639468785004283,2,0.8440133,-0.01476961,33.61923154991103,1.1268048652367657,-0.13342807,-1.6967848541737913,-8.387635,1.2402913624371976,-11.142989078606925,0.8832969,15,0.5764172,100,0.002143124002031982,-0.98795205,-2.5666413,0.7508344650268555,13.26957,-0.9026637,-0.33960078052051357,2.1063913780017174,1.2052349,45,-169.67848541737914,6.864504,-169.67848541737914,16.2702539924937,5,0.99783474,-1.4317644,-14.870038,-0.09551469593989216,-0.8965834,-8.287553073700328,0.09413664,100.0,1700,0.5947899,-14.875803,-0.25470954,0.16588316499837674,-220.67325175509163,0.004796320004970767,-102.21856784485907,0.049601372,1700,-37.293545,7.144545,-14.76026,1.4022936,-39.32547,0.0,4500,-8.407355,-39.29395,100,-43.96489346037592,-121.16213660486406,-1.1827343,-70.19263950140335,-0.7019263950140334
0.0,-101.62385226462665,0.15684119,8.20928,2.9178548,100,-0.0072943955,10.69896341599815,22,0.35522355300054187,0.0038254370010690764,100,6.858431,-1.1114108562469482,-0.6422437,100.0,2.6126922409966937,3,1.088619,-0.004485995,16.956998954053798,1.0034440369853221,-0.16794059,-1.4133291708423619,-10.417412,0.948424498528361,-11.066912522329948,0.9308992,15,0.6531471,100,0.0020218110003042966,-0.9890056,-3.7384276,0.657784640789032,14.654479,-0.9303162,-0.23328120463892862,2.0910299440001836,6.7613792,60,-141.33291708423621,8.197354,-141.33291708423621,16.497905772271924,5,0.98850965,-1.575936,-16.625898,-0.02965510408930023,-0.654949,-8.957905923414376,0.104679674,100.0,2200,0.55728346,-16.631058,-0.353823,0.15601607199641876,-160.2442138162126,0.00457542399817612,-132.22118360130753,0.0559224,2200,-48.726162,8.486826,-16.710133,1.5593442,-50.682846,0.0,6000,-10.4068,-51.038586,100,-81.96735750985,-111.52028164056544,-1.8455235,-101.62385226462665,-1.0162385226462667
0.0,-135.55227159309587,0.18615435,10.715239,3.082459,100,0.010082599,13.27325123999617,27,0.34429612399981124,0.0031788310006959364,100,1.0419831,-1.3236002922058105,-0.73831165,100.0,2.570460920003825,4,1.2909064,-0.00651813,23.546911088070186,0.884953485371944,-0.21693003,-1.3668191093100768,-12.315619,1.0179771240615345,-10.10666699533961,0.9318904,15,0.76785237,100,0.0019680730038089678,-0.9842905,-3.519194,0.5765480995178223,18.389332,-0.9422878,-0.1145189553702083,2.0593114040020737,1.1089219,75,-136.68191093100765,10.740136,-136.68191093100765,14.258454602045349,5,0.98972905,-1.758249,-20.198462,-0.07424656906338581,-0.4046338,-9.31240229762583,0.10923092,100.0,2700,0.52953255,-20.176804,-0.43011034,0.1568954339963966,-166.1304364773731,0.004811054001038428,-155.06912115661737,-0.1355875,2700,-58.84985,10.741264,-20.46046,1.6895845,-60.08301,0.0,7500,-12.284767,-59.99975,100,-111.54657924190856,-111.50668207390541,-12.453664,-135.55227159309587,-1.3555227159309584
0.0,-109.56104987343342,0.17226349,10.683129,3.092166,100,-0.004497866,15.884736850995978,32,0.3500079919976997,0.00291736499639228,100,3.1475077,-1.651971459388733,-0.7642226,100.0,2.6072981839970453,5,1.1565102,-0.016620202,13.366447635155778,1.0905073377414336,-0.2765913,-1.3068795736911152,-14.463542,0.9032629749278757,-9.059939139129035,0.9441737,15,0.793917,100,0.0019928429974243045,-0.9929342,-2.6507382,0.5043734312057495,19.618029,-0.9537634,-0.8664742805112502,2.0900555870030075,3.0595038,90,-130.68795736911153,10.710717,-130.68795736911153,13.404326196119667,5,0.98898906,-1.8939828,-21.411419,-0.0247577803252652,-0.41455227,-8.93369342912458,0.096430235,100.0,3200,0.511975,-21.408628,-0.53665,0.1573001299984753,-146.74934044306605,0.0050242670040461235,-131.10022517653996,0.018119562,3200,-64.37245,11.232896,-21.34505,1.6903226,-63.182938,0.0,9000,-14.42832,-63.187546,100,-90.93081595156963,-109.88881986616892,-0.12649184,-109.56104987343342,-1.0956104987343342
0.0,-87.964997678309,0.17685246,11.15087,3.7759,100,-0.007564036,18.446054699998058,37,0.35232616100256564,0.003056178000406362,100,3.226518,-1.8843023777008057,-0.71103466,100.0,2.556884411002102,6,1.2399466,0.009312161,13.462752468696998,1.1116934285282545,-0.26467538,-1.1245660377913358,-16.178871,0.9638613348364831,-10.69475924429192,0.9726889,15,0.7957368,100,0.007201077001809608,-0.9868489,-3.229836,0.4401400685310364,20.345158,-0.9666979,-0.5705867359199538,2.0306508150024456,3.2408655,105,-112.45660377913357,11.163956,-112.45660377913357,15.399939828088032,5,0.98977256,-2.045148,-22.076067,-0.06833618139642156,-0.2968275,-9.89741253449606,0.08894531,100.0,3700,0.5104585,-22.0848,-0.5836775,0.15880735799873946,-132.06111798004383,0.0048428219961351715,-114.10191951122266,0.12312653,3700,-68.99791,11.132854,-22.101751,2.0909421,-72.785,0.0,10500,-16.076466,-72.65575,100,-68.82000581554635,-92.18499783398215,-0.8916678,-87.964997678309,-0.8796499767830898
0.0,-58.700823761922926,0.16504999,11.510971,3.5032291,100,0.0048543285,21.035848916006216,42,0.34665206800127635,0.0029760629986412823,100,0.48988754,-1.8514388799667358,-0.77973557,100.0,2.5850334850038053,7,1.357558,-0.0031287288,13.489133818018297,1.1749827955889849,-0.3844384,-1.0109118753005901,-17.61754,0.8763917781693346,-10.117665877204269,0.96373236,15,0.83936363,100,0.002597262995550409,-0.9857576,-2.4392095,0.38287922739982605,23.044992,-0.96389776,-0.40984664338261373,2.073907139005314,0.5275774,120,-101.091187530059,11.505866,-101.091187530059,13.569892881430103,5,0.98361653,-2.0781603,-24.375525,-0.06411455831258686,0.07094285,-9.086809957742735,0.08119867,100.0,4200,0.4924039,-24.386272,-0.6493174,0.15430930400179932,-120.18761788044411,0.004591648001223803,-86.29660803599907,-0.10014633,4200,-69.12672,11.672182,-24.425976,1.899798,-66.31002,0.0,12000,-17.570425,-66.22446,100,-41.47798592030984,-84.11033899446318,-17.121784,-58.700823761922926,-0.5870082376192292
0.0,-48.5173630593061,0.1871858,7.7619886,3.7582235,100,0.010010967,23.64823992402671,47,0.35751706199516775,0.00317410500429105,100,0.5759886,-2.364039421081543,-0.7963559,100.0,2.6086223450038233,8,1.4881017,-0.0026315213,11.22674989267566,1.065969168983085,-0.43385452,-0.8575574796828357,-18.53414,1.1103103404631538,-10.53778725501657,0.9718357,15,0.84241223,100,0.0016697309984010644,-0.9894247,-4.1440744,0.33308789134025574,22.015636,-0.974631,-0.08514763769505947,2.0852208620053716,0.59490246,135,-85.7557479682836,7.775066,-85.7557479682836,16.913780633280737,5,0.9985363,-2.1861477,-23.203384,-0.05387921096132564,-0.15093973,-9.3343046464184,0.07647336,100.0,4700,0.47160906,-23.216736,-0.7082994,0.1574259990011342,-95.88174522000625,0.0036145859994576313,-72.23094840441763,0.006157726,4700,-70.14872,7.915253,-23.388212,1.912857,-69.07301,0.0,13500,-18.597109,-69.31846,100,-24.995258071479014,-67.14536750840189,-18.326836,-48.5173630593061,-0.4851736305930611
0.0,-35.303208088578465,0.18841907,7.5182557,3.9864395,100,-0.013123871,26.24286936901626,52,0.3497764370040386,0.0035835799935739487,100,4.2606373,-2.5265090465545654,-0.8210776,100.0,2.59052820999932,9,1.6062449,0.0026741838,12.914845838718124,0.8166070458917034,-0.43320918,-0.6847966782824937,-19.278177,1.0336327446879536,-10.766451571352288,0.98123777,15,0.8130384,100,0.002021870997850783,-0.99717605,-5.9349446,0.2900519371032715,22.473106,-0.9810273,-0.13998333868432028,2.074084899999434,4.3585477,150,-68.47966782824938,7.5139594,-68.47966782824938,15.185030141144773,5,0.98459226,-2.1981277,-23.431423,-0.040137317376922645,-0.041740652,-7.559697104900071,0.077092566,100.0,5200,0.4652943,-23.41291,-0.772098,0.15621845300483983,-83.61761998022845,0.0048429689995828085,-66.16052013463788,-0.00022905588,5200,-67.73518,8.030873,-23.238497,2.014896,-65.27242,0.0,15000,-19.300102,-65.4216,100,-15.244016032549533,-53.49788668521363,-0.8117293,-35.303208088578465,-0.35303208088578475
