exploration/Num Paths,exploration/Returns Mean,evaluation/Actions Mean,exploration/Returns Std,exploration/num paths total,trainer/QF1 Loss,time/evaluation sampling (s),time/training (s),exploration/Returns Max,exploration/Average Returns,exploration/Actions Std,evaluation/Actions Max,exploration/Returns Min,trainer/Q Targets Mean,trainer/Policy log std Max,trainer/Log Pis Min,time/logging (s),exploration/path length Std,trainer/Q Targets Std,trainer/Q Targets Max,exploration/num steps total,evaluation/Rewards Std,time/exploration sampling (s),evaluation/Returns Std,trainer/Alpha,trainer/Policy mu Mean,trainer/Policy mu Std,exploration/Actions Min,evaluation/num paths total,evaluation/num steps total,time/saving (s),trainer/Alpha Loss,exploration/Rewards Min,evaluation/path length Mean,evaluation/Actions Std,evaluation/Rewards Mean,trainer/Log Pis Mean,evaluation/Returns Max,exploration/Actions Max,evaluation/path length Max,trainer/Q1 Predictions Min,evaluation/Returns Min,trainer/Q Targets Min,trainer/Policy log std Std,trainer/Q1 Predictions Std,trainer/QF2 Loss,exploration/path length Mean,exploration/Actions Mean,evaluation/Returns Mean,trainer/Q2 Predictions Std,evaluation/Average Returns,trainer/Q1 Predictions Mean,trainer/Q2 Predictions Max,evaluation/path length Min,trainer/Q2 Predictions Min,exploration/Rewards Std,evaluation/path length Std,trainer/Log Pis Std,trainer/Q1 Predictions Max,replay_buffer/size,trainer/Policy mu Max,time/total (s),trainer/Policy log std Min,evaluation/Num Paths,trainer/Log Pis Max,exploration/Rewards Mean,time/data storing (s),exploration/path length Max,evaluation/Rewards Min,trainer/Policy log std Mean,exploration/Rewards Max,trainer/Q2 Predictions Mean,evaluation/Actions Min,evaluation/Rewards Max,time/epoch (s),Epoch,trainer/Policy Loss,trainer/Policy mu Min,exploration/path length Min
5,-823.8790476814986,-0.00027358998,168.5347795228861,7,79.08543,0.3223382770011085,2.0620430460039643,-656.3956512635239,-823.8790476814986,0.63086563,0.0005267859,-1067.6904502713198,-8.568144,0.0019398296,-1.8343705,0.006153946997073945,0.0,2.3947837,-3.1616104,700,2.5513939911706927,0.1631080809966079,255.13641447590925,0.9997000694274902,-0.000110161855,0.0005573823,-0.99436593,15,1500,0.0028088170001865365,-0.0,-13.208425717829794,100.0,0.0005251101,-6.097925170839174,-1.3200424,-166.4855191790285,0.9896418,100,-0.0075612487,-996.6352761137667,-13.212074,0.0013653067,0.0016121792,79.15573,100.0,-0.013254047,-609.7925170839172,0.0011152406,-609.7925170839172,-0.0037852156,0.0027575162,100,-0.0013992968,2.3997890887804094,0.0,0.32415718,-0.0013939639,700,0.0013019411,2.7831209680007305,-0.0018759351,15,-0.5446248,-8.238790476814984,0.0032425199970020913,100,-9.98579726933236,-0.00014680438,-0.9850227806803755,0.00048726602,-0.0011957869,-1.6352617284863618,2.5596946879959432,0,-1.316219,-0.0010760773,100
5,-353.33970069671744,0.5073885,17.82704509493754,12,0.88425106,0.3870167440036312,2.0626682120055193,-328.5957115911386,-353.33970069671744,0.47628164,0.69227964,-380.9095320664404,-11.927844,-0.18901992,-4.0982428,0.004843492002692074,0.0,4.9349537,-5.233718,1200,1.2288012354574869,0.1702303460042458,104.42239100057454,0.8645159006118774,0.58217645,0.15748776,-0.9644151,30,3000,0.002061874998616986,-0.4347076416015625,-9.384851265936094,100.0,0.1066791,-3.460974541105681,-0.99157214,-260.9780164226145,0.9962363,100,-23.570833,-703.0264640388954,-22.4305,0.034759205,5.274278,0.7937592,100.0,0.39336982,-346.09745411056804,5.29136,-346.09745411056804,-11.3113785,-4.9043922,100,-23.35374,0.8227344904454991,0.0,0.9624535,-5.1501527,1200,0.8848657,5.418927018006798,-0.3283366,15,0.86446416,-3.5333970069671743,0.0034057949960697442,100,-9.375763692752972,-0.2750476,-0.6564462857620359,-11.33079,0.19321136,-0.1331671302057203,2.630226464010775,1,10.0096445,0.19489789,100
5,-184.83251542872145,0.033199925,28.588431787438832,17,1.3102012,0.3621216889951029,2.0786394299939275,-145.32252909876928,-184.83251542872145,0.59043926,0.86380655,-225.59358127226895,-19.880087,-0.16054784,-3.4261973,0.004945216001942754,0.0,9.086854,-10.108344,1700,0.7815120240318639,0.1614623200002825,11.552099429547894,0.7543787360191345,0.33205804,0.5333637,-0.99034995,45,4500,0.004370160000689793,-0.7790666222572327,-8.863579071675618,100.0,0.12929426,-0.9427508665868504,-0.7665816,-78.97022726024518,0.99425644,100,-46.4634,-111.00452630511275,-46.73463,0.10549363,8.818119,1.1966001,100.0,0.04673264,-94.27508665868503,8.877038,-94.27508665868503,-19.902483,-10.415502,100,-46.31766,1.2467153916508122,0.0,1.013438,-10.424533,1700,1.4068868,8.03786144998594,-0.52021796,15,2.0770502,-1.8483251542872146,0.0030373970002983697,100,-8.324240493380701,-0.27549514,-0.12885673114931184,-19.85033,-0.2783118,-0.03445603515830107,2.6145762119922438,2,17.732784,-0.32416996,100
5,-160.27099577759617,0.043182902,28.737033916501495,22,29.450188,0.3552606570010539,2.304354735002562,-128.9164877121937,-160.27099577759617,0.5497284,0.9259899,-211.354619988087,-23.114683,-0.22464502,-2.6803205,0.004845342002226971,0.0,11.09948,-9.198934,2200,0.9504188264180109,0.1615760729982867,10.279976204472533,0.6615028977394104,0.16535082,0.7795427,-0.98447186,60,6000,0.002145069003745448,-0.9568448662757874,-11.073155453479053,100.0,0.16992034,-1.409726274268804,-0.3168795,-126.73183647194182,0.9935662,100,-56.010162,-160.82826920373344,-58.22377,0.10772928,11.437975,29.170757,100.0,0.026769029,-140.97262742688042,11.423444,-140.97262742688042,-23.512314,-12.986743,100,-55.85722,1.1418488960149333,0.0,1.3353276,-12.819178,2200,1.689542,10.873659146993305,-0.65636593,15,2.9563575,-1.6027099577759614,0.0031238829978974536,100,-9.955624619961258,-0.36559886,-0.0315512847152061,-23.487608,-0.25490665,-1.189232903898372,2.8313057590057724,3,21.258701,-0.7897627,100
5,-150.52982738603424,0.028366882,14.82644231805692,27,0.9399704,0.37571672000194667,2.2796656280042953,-131.8495898619026,-150.52982738603424,0.545995,0.96039903,-170.42049264048057,-25.644392,-0.29163447,-4.3677783,0.004994574999727774,0.0,13.518207,-15.414844,2700,0.8650975403983943,0.17628215200238628,12.847425526725099,0.5802978277206421,0.16978782,0.8214502,-0.97209466,75,7500,0.00202187000104459,-1.2569011449813843,-10.368581379523096,100.0,0.16407707,-1.2909362648612888,-0.31068015,-112.66812304400302,0.9954033,100,-64.55962,-153.8805250667615,-65.45152,0.092295334,13.290391,0.924245,100.0,0.042634334,-129.09362648612887,13.294952,-129.09362648612887,-25.25994,-15.383973,100,-64.390755,1.190602176298876,0.0,1.5331124,-15.461664,2700,1.8795338,13.720821058013826,-0.6771346,15,2.834703,-1.5052982738603424,0.003175296005792916,100,-10.592516899442465,-0.44796342,-0.08144611164930256,-25.272188,-0.6885448,-0.9922741298888227,2.8418562410151935,4,23.085627,-1.0039806,100
5,-151.05907102155447,0.02516952,18.687123295789206,32,0.9387279,0.39728645799914375,2.229335481999442,-129.75889702517634,-151.05907102155447,0.52301663,0.9560601,-178.77763362463094,-26.203342,-0.29110888,-3.7212963,0.005051817999628838,0.0,13.224907,-17.294462,3200,0.627983984884826,0.1800803869991796,9.981973937936484,0.5076020956039429,0.14316079,0.8315644,-0.9771116,90,9000,0.0018040220020338893,-1.5055629014968872,-10.549115188943293,100.0,0.14041367,-1.219407996765736,-0.2212993,-110.62452865232693,0.9887367,100,-78.03832,-138.07593131015955,-78.51241,0.08476866,13.091259,0.981042,100.0,0.020212283,-121.94079967657363,13.027492,-121.94079967657363,-25.997908,-17.377596,100,-77.486275,1.089734180380055,0.0,1.4236399,-17.386616,3200,1.9205604,16.542514047017903,-0.7093553,15,3.2940369,-1.5105907102155447,0.0035206719985581003,100,-8.052968621706388,-0.50476,-0.12820450361760366,-25.974976,-0.7101154,-1.070521467101231,2.817078838997986,5,23.691004,-1.2561283,100
5,-115.13863489011347,0.027953226,24.17040017465709,37,35.940735,0.3784731549967546,2.1441553470067447,-88.90516122349496,-115.13863489011347,0.51925653,0.9707813,-157.6971878052796,-26.028809,-0.30636945,-2.958769,0.004986216998076998,0.0,12.110225,-12.162148,3700,0.9378191134821998,0.1687342160003027,16.6747826437171,0.441800594329834,0.14571826,0.77763736,-0.98082113,105,10500,0.001855898997746408,-1.799595832824707,-10.683559430213256,100.0,0.16484934,-0.9242136156493772,-0.20372811,-72.48175404558293,0.9945888,100,-74.605316,-119.29997835582282,-75.322174,0.07046808,12.742689,35.114925,100.0,0.03508708,-92.42136156493775,12.732531,-92.42136156493775,-26.440193,-19.555023,100,-74.7159,1.129879945640344,0.0,1.3381877,-19.520674,3700,2.0336845,19.249301125018974,-0.68428266,15,3.7563696,-1.151386348901135,0.0037253019982017577,100,-10.470933597072408,-0.50678205,-0.05757992635575816,-26.448755,-0.7981272,-0.15876377527894597,2.701930135997827,6,24.739796,-1.2924017,100
5,-103.96972081867617,0.0226312,4.868992393047761,42,4.4855375,0.3775135890027741,2.161812929000007,-95.87322258307935,-103.96972081867617,0.51041394,0.9685504,-110.39956519798724,-26.934404,-0.36445266,-5.558982,0.0052283080003689975,0.0,11.196943,-1.3760242,4200,0.8028944100577559,0.15981924700463424,13.852650387030272,0.38356849551200867,0.07541796,0.83596355,-0.9668609,120,12000,0.0022622790056630038,-2.073134660720825,-6.666937616377987,100.0,0.15444927,-0.8162268527642869,-0.16411667,-65.19959803267706,0.9920676,100,-82.428894,-105.31857011440653,-83.498245,0.06695887,10.9743185,4.5410075,100.0,0.027568638,-81.62268527642868,10.948261,-81.62268527642868,-26.995132,-21.01902,100,-82.021866,0.7955073168343073,0.0,1.4172872,-20.903833,4200,2.0733378,21.96530057003838,-0.70474464,15,4.62583,-1.039697208186762,0.005114616003993433,100,-9.740438727076912,-0.5465702,-0.05793621091473564,-26.999676,-0.84252447,-0.23183231391451045,2.7117509680174408,7,25.004576,-1.3100339,100
5,-86.37961544631844,0.036769573,11.638181262592575,47,0.8662621,0.3922859910016996,2.193046737993427,-68.53647640738389,-86.37961544631844,0.50377536,0.97362614,-104.46085988457669,-28.7843,-0.48247153,-4.150926,0.005189190000237431,0.0,12.45823,-22.209452,4700,0.9987793162710833,0.17535322700132383,14.083180683500194,0.33218613266944885,0.19970486,0.862287,-0.9665998,135,13500,0.001967570999113377,-2.1104354858398438,-8.301474061638974,100.0,0.17604499,-0.43126482711766645,0.08452694,-23.002347130937423,0.9906079,100,-82.33026,-63.33704688944852,-82.56639,0.05978054,12.646631,0.8365051,100.0,0.029912554,-43.126482711766656,12.658844,-43.126482711766656,-28.503122,-22.064028,100,-82.152596,0.9054230409457887,0.0,1.7460765,-22.085993,4700,2.2081785,24.741733979033597,-0.738832,15,5.571407,-0.8637961544631846,0.0037466909998329356,100,-9.534520912240021,-0.5899077,-0.051272309135298205,-28.493345,-0.8501547,-0.21189234347753721,2.7715894079956342,8,26.928528,-1.4610324,100
5,-71.0561341002171,0.03987529,15.367612305256749,52,5.5716333,0.3969106809963705,2.164081492002879,-57.56503664760206,-71.0561341002171,0.4824085,0.98228073,-92.33876278131372,-28.229458,-0.5489513,-3.5352879,0.005260149999230634,0.0,10.8999405,-1.1678128,5200,1.196470023639142,0.17166890500084264,15.747980228722636,0.288253515958786,0.28348216,0.82322454,-0.9822048,150,15000,0.002078192002954893,-2.4922072887420654,-6.105199077843545,100.0,0.19337353,-0.468938867206625,-0.0039588423,-20.049373285533246,0.9933744,100,-76.75093,-66.35474269822994,-76.32827,0.06274491,10.5131445,5.590131,100.0,0.013921196,-46.89388672066248,10.467064,-46.89388672066248,-28.459291,-23.542952,100,-76.571625,0.6052801163741486,0.0,1.6922159,-23.480648,5200,2.3269184,27.48975087904546,-0.781889,15,4.876484,-0.7105613410021709,0.003335754001454916,100,-9.947154740904201,-0.6489369,-0.07174257542341232,-28.444563,-0.860241,-0.1730342199124584,2.7433351740037324,9,27.29494,-1.3821113,100
