evaluation/num paths total,trainer/Log Pis Std,exploration/Returns Max,evaluation/path length Max,exploration/path length Min,trainer/Log Pis Min,exploration/Rewards Max,trainer/Q Targets Min,trainer/Policy Loss,evaluation/Num Paths,evaluation/Returns Mean,trainer/Log Pis Max,trainer/Q Targets Max,trainer/Policy log std Mean,trainer/Policy mu Std,Epoch,trainer/Q1 Predictions Mean,trainer/Q2 Predictions Max,exploration/path length Max,time/exploration sampling (s),trainer/Q2 Predictions Min,exploration/Rewards Min,exploration/num steps total,exploration/Rewards Std,evaluation/Returns Max,evaluation/path length Std,exploration/Num Paths,trainer/Q1 Predictions Std,time/epoch (s),trainer/Q2 Predictions Std,trainer/Q Targets Std,exploration/Returns Mean,time/training (s),evaluation/Rewards Max,trainer/Alpha Loss,trainer/Q1 Predictions Min,exploration/Rewards Mean,trainer/Policy mu Mean,evaluation/Actions Std,exploration/Actions Min,time/evaluation sampling (s),trainer/Policy log std Max,evaluation/Rewards Mean,trainer/Alpha,time/total (s),time/saving (s),evaluation/path length Min,trainer/Q2 Predictions Mean,evaluation/Average Returns,exploration/Actions Max,exploration/Average Returns,trainer/QF2 Loss,exploration/Returns Std,exploration/Actions Std,trainer/Policy log std Std,evaluation/Rewards Std,trainer/Q1 Predictions Max,evaluation/Actions Max,evaluation/Actions Mean,trainer/QF1 Loss,evaluation/Returns Std,evaluation/Actions Min,time/data storing (s),trainer/Q Targets Mean,trainer/Policy log std Min,evaluation/num steps total,exploration/num paths total,exploration/path length Mean,trainer/Policy mu Max,evaluation/path length Mean,exploration/path length Std,trainer/Policy mu Min,exploration/Returns Min,replay_buffer/size,exploration/Actions Mean,evaluation/Returns Min,time/logging (s),evaluation/Rewards Min,trainer/Log Pis Mean
15,0.32738176,-288.74326399453213,100,100,-1.834559,-0.20345111458896084,-12.720595,-1.3237251,15,-631.3339559828255,-0.56865144,-0.48270345,-0.0004003115,0.00037305936,0,0.0022716818,0.0024797246,100,0.16114107499743113,-0.0013695448,-12.966043777934422,700,2.8408556492503574,-198.740178275747,0.0,5,0.0008710518,2.5637476799893193,0.000836276,2.530626,-607.9500322916574,2.0726253789980547,-1.963305271068757,-0.0,0.00075522286,-6.079500322916574,0.0003783349,0.00039242438,-0.99221486,0.31930588700197404,0.00046019827,-6.313339559828254,0.9997000694274902,2.793915267997363,0.0027095999976154417,100,0.00046557933,-631.3339559828255,0.9961536,-607.9500322916574,44.67126,221.6638478013174,0.6224981,0.00056315307,2.9082536063253253,0.0045791985,0.0012006979,0.00037964192,44.6956,290.8225146535064,-0.00018122519,0.0030191599944373593,-6.185664,-0.0017028908,1500,7,100.0,0.0011035987,100.0,0.0,-0.00026972702,-965.3088833481563,700,0.033316933,-1117.4661012293561,0.004946578999806661,-11.203344961566785,-1.323317
30,0.7550145,-157.59897934726936,100,100,-2.60495,-0.22646435851756627,-25.10244,8.651719,15,-214.15967861732298,0.77373505,-1.2818452,-0.2103024,0.43387577,1,-9.963777,-4.6545243,100,0.158135958998173,-24.802973,-8.321243022446435,1200,1.2444831751383802,-141.90789119850615,0.0,5,4.672827,2.58919446899381,4.7117057,4.9232354,-207.00156175642482,2.043227987996943,-0.1794628396875234,-0.46026211977005005,-24.749596,-2.070015617564248,0.18028164,0.26269415,-0.9856637,0.3778249740062165,-0.14685081,-2.14159678617323,0.8630712032318115,5.387881645991001,0.00201504700089572,100,-9.962118,-214.15967861732298,0.9885461,-207.00156175642482,0.81249994,31.00584337114583,0.57898295,0.052992363,1.1025957557716939,-4.9285083,0.74097127,0.14675021,0.7839534,73.29526663759354,-0.5882423,0.003464491994236596,-9.868241,-0.38864034,3000,12,100.0,0.9020254,100.0,0.0,-0.67544234,-250.31078286919038,1200,0.15399858,-392.64199570005314,0.004526008997345343,-9.779928603996328,-1.131482
45,1.1731706,-106.23044238962498,100,100,-4.837949,-0.06239621679042363,-37.23561,12.378775,15,-89.41684508778872,2.0562932,-6.620854,-0.3329759,0.6442689,2,-14.51739,-7.4026804,100,0.15781806699669687,-35.82531,-10.184449631543835,1700,1.1622536807160433,-71.13669612740735,0.0,5,7.9362187,2.5478637099877233,7.906957,8.153715,-130.3928535099829,2.0329996459986432,-0.03597291834928151,-0.7573466300964355,-35.9694,-1.3039285350998289,0.18685213,0.15018065,-0.99381274,0.3472716769974795,-0.17303243,-0.8941684508778874,0.7530039548873901,7.940156878976268,0.001772315998096019,100,-14.524929,-89.41684508778872,0.99144876,-130.3928535099829,0.6932111,16.708849474837137,0.5644877,0.09745844,0.9488696349623038,-7.2409825,0.9228319,0.023469137,0.69624513,17.016385857844085,-0.852682,0.002944741994724609,-14.696814,-0.540072,4500,17,100.0,1.3928059,100.0,0.0,-1.2904507,-151.94667961340363,1700,0.07004767,-124.46979226051168,0.005057262002083007,-9.9939877523317,-0.672093
60,1.2479166,-99.50110327337681,100,100,-3.0536127,-0.06907927349991853,-49.296814,15.031617,15,-125.14329027846806,2.4093344,-8.4896345,-0.38751715,0.73258615,3,-17.029545,-9.1910305,100,0.15614274000108708,-45.983826,-10.114360509631643,2200,1.0939492586845918,-39.56697765551538,0.0,5,9.582858,2.5690396650024923,9.54499,9.796386,-114.00158551405244,2.0563618980013416,-0.005048162324590457,-0.9607756733894348,-45.857876,-1.1400158551405244,0.20510855,0.27976552,-0.9836626,0.3466699740019976,-0.19573784,-1.2514329027846811,0.6597682237625122,10.51304583097226,0.001970967998204287,100,-17.02718,-125.14329027846806,0.98306376,-114.00158551405244,0.904048,22.007390931616595,0.56230855,0.10463704,1.8953322143632318,-9.175927,0.92537653,-0.025771419,0.9171033,162.093294722817,-0.895371,0.0029393360018730164,-17.238049,-0.56473535,6000,22,100.0,1.648073,100.0,0.0,-1.4764943,-157.5858635815889,2200,0.04695133,-536.6745248906108,0.004954748997988645,-10.72922444410778,-0.31172356
75,1.3782824,-73.46958679552019,100,100,-5.2427206,-0.046074871741401666,-47.61689,14.465529,15,-98.08894019345672,2.8385797,-10.286008,-0.44360405,0.7222968,4,-16.274603,-10.417375,100,0.15586483600054635,-47.337044,-6.620542387292316,2700,0.6553065643336475,-14.97553649962508,0.0,5,9.177872,2.5721755909908097,9.169417,9.108238,-87.05821346113927,2.0571333419939037,-0.13094239632601698,-1.3932173252105713,-47.21049,-0.8705821346113929,0.17820874,0.27755168,-0.96234494,0.3490573029994266,-0.26144302,-0.9808894019345668,0.5768148303031921,13.08983534496656,0.0021857780011487193,100,-16.301594,-98.08894019345672,0.99415046,-87.05821346113927,0.6101,10.382480179193749,0.5410054,0.104761526,1.832280146090883,-10.497955,0.9632566,-0.020006076,0.6466274,152.38806609892652,-0.9107787,0.0031381029984913766,-16.526388,-0.6326768,7500,27,100.0,1.8082294,100.0,0.0,-1.6562037,-101.60597320427554,2700,0.029032553,-542.1327806315113,0.004796228997292928,-10.435557799331841,-0.5332458
90,1.1307055,-80.90617032045591,100,100,-3.0232284,-0.0456730643364383,-56.570354,15.372639,15,-20.704333173293023,2.9302514,-11.251474,-0.53012925,0.708448,5,-16.72647,-11.778362,100,0.15469785000459524,-56.030033,-9.98450831982491,3200,1.351578264244847,-9.155078710599403,0.0,5,8.797883,2.55277631401259,8.844522,8.863721,-102.9505778508919,2.0392443989985622,-0.008408032578660712,-1.6717053651809692,-55.429977,-1.0295057785089192,0.098458774,0.13858756,-0.98441344,0.348345465004968,-0.32644805,-0.20704333173293019,0.5028519630432129,15.646967720975226,0.0019654990028357133,100,-16.740105,-20.704333173293023,0.98332584,-102.9505778508919,0.33849695,16.675941441440667,0.53568506,0.09878287,0.668281906256567,-11.745386,0.9657081,0.017118676,0.328422,12.371472026478491,-0.89921504,0.0038616590027231723,-16.8287,-0.7051234,9000,32,100.0,1.9668516,100.0,0.0,-1.7559315,-122.09920703172371,3200,0.041773785,-51.1022328841797,0.004661441998905502,-8.31318367573179,-0.4326692
105,1.5627586,-61.764250144955845,100,100,-3.4636772,-0.04865873304515608,-73.53233,17.39906,15,-31.795835371630105,4.2561398,-5.7250304,-0.59694886,0.7723641,6,-18.985174,-12.759217,100,0.15671905699855415,-69.62614,-9.242764103634208,3700,0.9651806986983936,-14.23160937835037,0.0,5,11.294697,2.546261786003015,11.358184,11.837975,-82.40215050268988,2.0338504669998656,-0.11560504352535451,-1.7223316431045532,-69.8166,-0.8240215050268985,0.2098933,0.16806321,-0.9749242,0.34549580800376134,-0.35361853,-0.31795835371630105,0.43789440393447876,18.1978595589826,0.002230705998954363,100,-18.993053,-31.795835371630105,0.98955446,-82.40215050268988,5.1248775,17.74593200027387,0.49765095,0.09782907,0.9142789751189615,-12.802896,0.9784377,0.022035945,5.09975,15.631991868814087,-0.93004996,0.0030495930041070096,-19.042452,-0.73623824,10500,37,100.0,2.1662776,100.0,0.0,-1.6942761,-109.39427339584333,3700,0.02496379,-71.31073337346182,0.004916154997772537,-10.772998898230375,-0.08640159
120,1.3630577,-67.5435487734846,100,100,-2.3099883,-0.012812988099887325,-61.833675,17.841196,15,-45.20595485406727,4.9157276,-13.524967,-0.6210998,0.79649645,7,-19.167896,-13.646653,100,0.1629349600043497,-60.276188,-10.142022369920015,4200,1.2884064707179181,-23.45903603864341,0.0,5,10.12324,2.6668775960133644,10.097377,10.243662,-90.26111166189654,2.1427383750051376,-0.19929417711419437,-1.9589539766311646,-61.18702,-0.9026111166189654,0.07008156,0.17560458,-0.9750483,0.3509444630035432,-0.34908068,-0.4520595485406728,0.3808034658432007,20.868997799007047,0.0021074850010336377,100,-19.170622,-45.20595485406727,0.9947001,-90.26111166189654,0.58380854,18.405253828809776,0.5035494,0.0960926,1.0379170271032403,-13.655869,0.976358,0.024221618,0.5719216,17.314336839627725,-0.9459,0.003157751001708675,-19.348902,-0.7787345,12000,42,100.0,2.1752796,100.0,0.0,-1.8366771,-108.58925912972279,4200,0.027221585,-80.00137313127205,0.004994561997591518,-10.247036578956925,-0.029596224
135,1.3355724,-55.37952010081952,100,100,-3.2488441,-0.02494053555261794,-49.455246,17.777935,15,-32.61591422682908,4.7231336,-14.206952,-0.68399847,0.80234325,8,-18.859632,-14.476724,100,0.1720978550001746,-50.1124,-9.750494190722003,4700,1.1262678361671923,-16.576526623708258,0.0,5,7.904269,2.677917097003956,7.8946857,7.7268314,-76.81710063939684,2.1428497009983403,-0.1379517008568378,-2.304025173187256,-50.122616,-0.7681710063939685,0.16413438,0.17535153,-0.9858255,0.3530032740018214,-0.30830374,-0.32615914226829074,0.33105361461639404,23.55129074699653,0.001803316998120863,100,-18.86683,-32.61591422682908,0.99406266,-76.81710063939684,0.38995817,18.859464825685265,0.4877071,0.094580956,0.8682774078578206,-14.407931,0.9761826,0.013724631,0.38089728,14.057504106259364,-0.9534248,0.003136134000669699,-18.913645,-0.8363999,13500,47,100.0,2.1777782,100.0,0.0,-1.8926842,-106.01747256469442,4700,0.029571904,-63.93328313317617,0.005026816004829016,-9.238209125450453,-0.08471207
150,1.2857059,-57.18832931741187,100,100,-3.7987568,-0.0337792505119467,-47.548706,17.10437,15,-30.44695510612441,4.4484606,-0.2018445,-0.7383877,0.7264222,9,-17.743053,-14.940026,100,0.17040167300001485,-47.79213,-7.103202112125056,5200,0.6660209573104864,-17.87204871542257,0.0,5,5.9361024,2.61092841700156,5.979643,6.457086,-62.83900305750781,2.0692086370036122,-0.0931284020765651,-2.6612393856048584,-47.631256,-0.628390030575078,0.04787581,0.16148391,-0.9863849,0.361382142000366,-0.27139035,-0.304469551061244,0.2878671884536743,26.166320139011077,0.002061724000668619,100,-17.779234,-30.44695510612441,0.9542406,-62.83900305750781,4.654665,6.498066882667614,0.46958742,0.12815118,0.7677015020970677,-14.883396,0.97421324,0.006602651,4.6045985,14.47086188939029,-0.9614846,0.0030316549964481965,-17.656818,-0.9478958,15000,52,100.0,2.1502545,100.0,0.0,-2.0645354,-75.44856202226259,5200,-0.005879386,-73.36540033831685,0.0048425860004499555,-10.837024200704564,-0.13758133
