exploration/Actions Std,exploration/Actions Mean,time/epoch (s),exploration/Rewards Min,trainer/Policy log std Mean,trainer/Q Targets Std,evaluation/Num Paths,evaluation/num steps total,evaluation/Actions Max,evaluation/Rewards Max,trainer/Policy log std Max,trainer/QF1 Loss,trainer/Policy log std Min,trainer/Q Targets Min,evaluation/Actions Mean,trainer/Q2 Predictions Std,exploration/Actions Min,exploration/Rewards Std,trainer/Log Pis Mean,exploration/Num Paths,exploration/num steps total,evaluation/path length Std,evaluation/Returns Std,trainer/Q2 Predictions Max,exploration/Returns Std,trainer/Alpha,evaluation/path length Max,Epoch,trainer/Log Pis Std,exploration/num paths total,exploration/Rewards Max,trainer/Q1 Predictions Min,trainer/Policy mu Mean,evaluation/path length Min,trainer/Q1 Predictions Std,exploration/path length Max,evaluation/Rewards Min,evaluation/num paths total,evaluation/Rewards Mean,evaluation/Actions Std,time/logging (s),trainer/Policy mu Min,replay_buffer/size,trainer/Q1 Predictions Mean,trainer/Policy Loss,trainer/QF2 Loss,trainer/Log Pis Max,evaluation/Returns Mean,trainer/Q1 Predictions Max,evaluation/Rewards Std,exploration/Rewards Mean,exploration/path length Mean,trainer/Log Pis Min,exploration/path length Min,trainer/Q2 Predictions Mean,evaluation/Actions Min,exploration/path length Std,time/evaluation sampling (s),trainer/Policy mu Max,time/data storing (s),evaluation/path length Mean,exploration/Returns Mean,time/exploration sampling (s),exploration/Average Returns,evaluation/Returns Max,time/training (s),exploration/Returns Max,trainer/Q Targets Max,trainer/Q2 Predictions Min,time/saving (s),trainer/Alpha Loss,evaluation/Average Returns,trainer/Q Targets Mean,trainer/Policy log std Std,exploration/Returns Min,evaluation/Returns Min,trainer/Policy mu Std,time/total (s),exploration/Actions Max
0.62588596,0.027210228,2.519898637990991,-9.444856434177632,8.291022e-05,1.8874372,15,1500,0.0009406729,-1.6761695272203625,0.0025134324,17.193739,-0.0019872165,-9.178922,6.0673367e-05,0.0008158155,-0.996963,1.9698572863839934,-1.3253022,5,700,0.0,263.3837581637814,0.0015152595,142.76715096950693,0.9997000694274902,100,0,0.3651166,7,-0.44025948230198103,-0.009094121,6.979926e-05,100,0.0012095105,100,-10.582021981120498,15,-7.0963193826554924,0.00061987306,0.004967167995346244,-0.0010503372,700,-0.0055324472,-1.3197496,17.235136,-0.56107605,-709.6319382655491,-0.0020605007,2.6339470078723957,-3.9590290842325966,100.0,-3.1582613,100,2.2830767e-05,-0.0010013977,0.0,0.305026549998729,0.0009339677,0.002685375999135431,100.0,-395.9029084232596,0.1525968389978516,-395.9029084232596,-171.08613255742554,2.052111666998826,-261.6876967224378,-0.2385832,-0.0017808168,0.002511038001102861,-0.0,-709.6319382655491,-3.697587,0.0016951563,-666.6257285459694,-1053.1797258727238,0.00068031583,2.743788928994036,0.99936485
0.58822423,0.03174831,2.582061210014217,-11.28044382136295,-0.1985423,3.3639872,15,3000,0.34468994,-0.018423522885218663,-0.15125723,0.45360443,-0.32364383,-18.41777,0.02626561,3.178364,-0.99300236,2.088682147290692,-1.3246461,5,1200,0.0,36.40450049360901,-4.1918054,80.78749303157502,0.8613903522491455,100,1,0.53709835,12,-0.15264190766722993,-18.829414,0.055540513,100,3.1642838,100,-10.573938219656787,30,-2.1907094609882938,0.14756705,0.0056019760013441555,-0.96710974,1200,-7.449033,6.1135383,0.34381205,0.79434574,-219.0709460988295,-4.2790394,1.3599525327632276,-2.857553675742726,100.0,-3.464281,100,-7.4897504,-0.6582858,0.0,0.36737883200112265,0.42426747,0.0030267090041888878,100.0,-285.75536757427255,0.15638659800606547,-285.75536757427255,-178.94179031822256,2.0470157130039297,-216.71767567918553,-1.8577406,-18.637894,0.0026513819975662045,-0.4951023459434509,-219.0709460988295,-7.546402,0.031664584,-440.14336626774303,-296.1615403094942,0.2873743,5.33080664400768,0.991723
0.56504846,0.015820978,2.665045280002232,-7.650877661010629,-0.3563167,5.503651,15,4500,0.89633363,-0.2041287850426959,-0.19484533,0.42767692,-0.5376799,-28.679424,0.0179937,5.4642243,-0.9933793,0.9480614753319359,-0.5915233,5,1700,0.0,19.60754298118676,-6.6955338,7.406104439769774,0.7502891421318054,100,2,1.0382885,17,-0.07040300882030948,-28.07508,0.09280685,100,5.4564486,100,-11.275350601830992,45,-0.5497494926582749,0.17054832,0.005211083000176586,-1.3812556,1700,-12.099244,10.601654,0.38854638,1.8881922,-54.9749492658275,-6.8071337,1.2514181785370975,-1.2477993855752265,100.0,-3.5107338,100,-12.120489,-0.9169509,0.0,0.3598274020041572,1.361396,0.0032402500000898726,100.0,-124.77993855752268,0.16491483899881132,-124.77993855752268,-25.36335988852575,2.12368676999904,-114.2811349774879,-6.146446,-27.869524,0.008164935999957379,-0.7438532114028931,-54.9749492658275,-12.098767,0.089789316,-134.72676717488469,-88.72225543398288,0.65746135,8.000585618014156,0.99400246
0.55756116,-0.016990276,3.2364670659953845,-7.4276115265906775,-0.37998387,7.5101213,15,6000,0.9242024,-0.3294002014352592,-0.21348152,2.5314515,-0.610727,-46.955338,0.008755047,7.203642,-0.99232465,0.9105044327863615,-0.4994674,5,2200,0.0,13.344794734337787,-8.827589,13.03596489708153,0.656435489654541,100,3,1.1331172,22,-0.05611554158884052,-47.79143,0.10786485,100,7.205283,100,-9.54163962142342,60,-0.8455233234000215,0.15336184,0.005132164995302446,-1.5508732,2200,-13.607136,11.9237,2.5356672,3.0433774,-84.55233234000215,-8.89308,0.829071650426403,-1.1891541110851265,100.0,-2.78964,100,-13.613592,-0.9377377,0.0,0.4374269749969244,1.4817996,0.0039853470007074066,100.0,-118.91541110851263,0.2937340319986106,-118.91541110851263,-66.63620621332194,2.493942079003318,-101.74275709250158,-1.0349524,-47.894966,0.0022464680005214177,-1.051463007926941,-84.55233234000215,-13.738169,0.102198444,-137.35038677209064,-115.61622202753651,0.6710089,11.241572853003163,0.9802836
0.51879317,0.0031857863,2.8511109669925645,-9.186389784136642,-0.48199522,7.636494,15,7500,0.9431137,-0.18593391942906548,-0.30032152,0.68849665,-0.64732444,-57.987476,-0.0065150815,7.405002,-0.99582344,0.8857860967824572,-0.53316844,5,2700,0.0,12.852088838585287,-10.370306,12.950845847012767,0.5734890699386597,100,4,1.2026291,27,-0.009202877069809998,-56.26533,-0.010287458,100,7.3936553,100,-9.275501562305783,75,-0.5087798402543405,0.15479383,0.0048289330006809905,-1.729254,2700,-14.573119,13.080177,0.6738253,2.8589318,-50.87798402543407,-10.432018,0.8077873428619963,-0.9542480704269923,100.0,-5.8805957,100,-14.540722,-0.94193184,0.0,0.3658054289990105,1.7745922,0.0030426209996221587,100.0,-95.42480704269924,0.1650755059963558,-95.42480704269924,-34.52104900613171,2.3104012409967254,-80.96919715185359,-10.056275,-56.570957,0.001957237000169698,-1.4078058004379272,-50.87798402543407,-14.79084,0.079783365,-118.055808515236,-76.52657074943002,0.6804653,14.097026604002167,0.98945296
0.5181993,0.026668156,2.67151704900607,-9.339501762436166,-0.5273916,6.0158744,15,9000,0.9650925,-0.1416583943449026,-0.29954246,0.26224643,-0.65531,-48.09073,0.011161383,5.946079,-0.97578865,0.8782940145409792,-0.6140284,5,3200,0.0,12.137961297079187,-11.790955,13.35307120440892,0.499397337436676,100,5,1.1431563,32,-0.013632324812982535,-47.068764,0.07899351,100,5.994029,100,-10.289662853457669,90,-0.3899231124826327,0.18789582,0.004876421000517439,-1.8589038,3200,-15.180922,13.738409,0.26705354,2.5229619,-38.99231124826327,-11.763726,1.055913299237366,-0.8522251516546215,100.0,-3.6437438,100,-15.191759,-0.9565395,0.0,0.35292572500475217,1.8894892,0.0042904580041067675,100.0,-85.22251516546216,0.15909843100234866,-85.22251516546216,-20.75296024996606,2.148248416997376,-72.0471952071743,-11.517837,-46.314068,0.0020775969969690777,-1.8143421411514282,-38.99231124826327,-15.271143,0.085041225,-110.94173039508188,-62.63862679760998,0.69284743,16.77281046499411,0.9878172
0.49933293,0.011561351,2.648957495999639,-8.710861656569358,-0.6155823,4.240431,15,10500,0.9753594,-0.07834979938416226,-0.40367615,0.2609355,-0.76639855,-36.591316,0.00090473937,4.193367,-0.97538495,1.0081594812183012,-0.20478363,5,3700,0.0,19.08045185861823,-12.969134,7.843308793105078,0.43398699164390564,100,6,1.0611056,37,-0.02757253864661869,-36.71554,0.026886761,100,4.216815,100,-10.933994696394524,105,-0.4359207581446063,0.17971478,0.004797528003109619,-1.7178025,3700,-16.000168,14.803938,0.25316235,2.0639615,-43.592075814460635,-12.949408,1.0950606533662746,-0.8463572716427687,100.0,-4.170766,100,-15.977595,-0.9739931,0.0,0.3560633710003458,2.0051672,0.003015729998878669,100.0,-84.63572716427686,0.16632077599933837,-84.63572716427686,-22.214059316205518,2.1165529459976824,-76.29228254409139,-12.577371,-36.66031,0.002207145000284072,-1.8398165702819824,-43.592075814460635,-15.978358,0.091539614,-94.31404130347006,-76.98762093126737,0.73462707,19.42612880199158,0.98943466
0.50006586,0.000547482,2.6478985360008664,-8.056820064118343,-0.62404174,4.669248,15,12000,0.9610584,-0.015239996247643144,-0.46475157,3.976698,-0.7482544,-40.67194,-0.0031031074,4.2266088,-0.9921621,0.8130086076818701,-0.29488286,5,4200,0.0,11.957746261615583,-13.937461,11.489270591182176,0.37702569365501404,100,7,1.1574838,42,-0.02564638689068377,-41.452503,-0.03271571,100,4.243554,100,-8.374671617403678,120,-0.20531996407923048,0.15729131,0.004805099000805058,-1.8763402,4200,-16.752514,15.558632,3.9771183,4.2113004,-20.531996407923042,-13.923872,0.7665769645816416,-0.7267367233528612,100.0,-3.0909717,100,-16.747414,-0.9727079,0.0,0.3546118509984808,1.8592656,0.0040523479983676225,100.0,-72.6736723352861,0.15859062600065954,-72.6736723352861,-6.580831251064662,2.12388742800249,-57.06529319232401,-0.85358167,-41.552204,0.001951184000063222,-2.2378997802734375,-20.531996407923042,-16.379549,0.06262313,-89.40373049331001,-42.03762425622891,0.6986404,22.078492834996723,0.9835115
0.5111557,0.018312294,2.6739866540010553,-10.304347659647327,-0.6706715,4.305656,15,13500,0.97758687,-0.004215226007643065,-0.45088017,7.185586,-0.825123,-33.62089,0.008916401,3.0932121,-0.99136114,1.1985597673543058,-0.34980375,5,4700,0.0,17.434280222327043,-14.869674,14.288636761199882,0.3278205692768097,100,8,1.0101895,47,-0.022115025959687548,-32.48436,-0.057270363,100,3.1000488,100,-9.518535696500491,135,-0.3420665357168879,0.17593563,0.0039565319966641255,-2.0432441,4700,-16.716084,15.736625,7.243981,2.7695045,-34.20665357168879,-14.75938,1.053988765319623,-0.833662268846058,100.0,-3.9260077,100,-16.727093,-0.9669152,0.0,0.38482262199977413,1.7430717,0.0030735190011910163,100.0,-83.3662268846058,0.17083575800643303,-83.3662268846058,-12.426017886068196,2.10929265699815,-56.48363174840167,-0.16093715,-32.68626,0.0020055659988429397,-2.62003755569458,-34.20665357168879,-16.376724,0.081145704,-98.09442544010628,-61.880559977744774,0.65426964,24.75740878599754,0.9960863
0.47498158,-0.0032629175,2.641298188995279,-8.018007594708955,-0.7625467,3.779492,15,15000,0.9800623,-0.001764635290293514,-0.56636405,2.4408014,-0.9073732,-30.111214,0.012001033,3.282133,-0.9697696,0.7720011011159105,0.07227023,5,5200,0.0,11.621545742138409,-14.863043,9.827222687796478,0.2856937646865845,100,9,1.2723353,52,-0.017360342557612554,-30.574165,-0.0090235,100,3.3057425,100,-9.995552995132813,150,-0.2334699158752888,0.18005423,0.004996708994440269,-1.9153447,5200,-17.30473,16.758562,2.430887,3.1379209,-23.346991587528883,-14.831275,0.8954425160260631,-0.6389639074122194,100.0,-3.382535,100,-17.297575,-0.97020274,0.0,0.34971041700191563,2.0986533,0.0032187129982048646,100.0,-63.896390741221964,0.1587809289994766,-63.896390741221964,-7.321750013386287,2.1221937320005964,-49.855820651830754,-0.34927636,-30.565754,0.0023976890006451868,-2.4146053791046143,-23.346991587528883,-17.422615,0.06721063,-79.38239384615053,-52.977736971611314,0.80204415,27.403069289975974,0.9968195
