trainer/Log Pis Min,evaluation/Actions Mean,exploration/Rewards Mean,trainer/Policy log std Mean,evaluation/Returns Min,exploration/path length Mean,exploration/Average Returns,evaluation/Num Paths,exploration/path length Max,trainer/Q2 Predictions Max,exploration/path length Min,time/data storing (s),trainer/Policy log std Max,exploration/Num Paths,trainer/Policy Loss,trainer/Policy mu Mean,exploration/Rewards Max,evaluation/Rewards Min,exploration/path length Std,trainer/Q1 Predictions Max,exploration/Actions Std,trainer/Q Targets Std,exploration/num steps total,trainer/Q Targets Min,trainer/Policy mu Std,exploration/Rewards Std,exploration/Returns Max,evaluation/path length Std,trainer/Log Pis Max,evaluation/path length Mean,evaluation/Actions Std,evaluation/Returns Max,Epoch,exploration/Actions Mean,trainer/Q Targets Max,time/epoch (s),exploration/Rewards Min,trainer/Log Pis Mean,trainer/Log Pis Std,time/training (s),trainer/Policy log std Min,trainer/QF2 Loss,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,time/exploration sampling (s),trainer/QF1 Loss,exploration/Returns Mean,evaluation/Actions Max,evaluation/Returns Std,exploration/Actions Max,trainer/Policy mu Max,exploration/Actions Min,evaluation/Rewards Mean,trainer/Policy mu Min,evaluation/Returns Mean,trainer/Alpha,evaluation/Average Returns,trainer/Q1 Predictions Std,time/total (s),evaluation/Rewards Max,trainer/Q1 Predictions Mean,evaluation/Actions Min,exploration/Returns Min,trainer/Q1 Predictions Min,trainer/Q2 Predictions Min,trainer/Q Targets Mean,evaluation/num steps total,time/saving (s),evaluation/path length Max,trainer/Policy log std Std,time/logging (s),evaluation/path length Min,evaluation/Rewards Std,replay_buffer/size,evaluation/num paths total,exploration/Returns Std,time/evaluation sampling (s),trainer/Alpha Loss,exploration/num paths total
-1.822036,-0.00034746985,-4.893252831506701,-0.0004212961,-1150.864458098419,100.0,-489.3252831506699,15,100,0.002096319,100,0.0033375700004398823,0.0007051853,5,-1.2867894,-0.0005412633,-0.11347456446258541,-11.555941507638414,0.0,-0.0031610054,0.6215301,3.0859601,700,-11.879313,0.0006439558,2.6269869976700586,-259.82966894822215,0.0,-0.5585544,100.0,0.000507133,-418.75537972436774,0,0.017197767,-0.72353643,2.5478824080128106,-12.171138551089573,-1.2927362,0.33285803,2.0499849140032893,-0.001516992,43.398594,0.00038674372,0.001229168,0.16783099100575782,43.32804,-489.3252831506699,0.00076737534,249.3241965402,0.99841505,0.00084808987,-0.9986203,-7.479996874058971,-0.0015704455,-747.9996874058969,0.9997000694274902,-747.9996874058969,0.0014439252,2.7778669300023466,-4.17843045002226,-0.005987263,-0.0015132909,-776.8512450603973,-0.00877747,-0.0029306188,-5.820146,1500,0.0024409700054093264,100,0.0005450164,0.005112702994665597,100,2.4933126576071993,700,15,203.01122574540247,0.3191752600032487,-0.0,7
-3.2320027,0.20483333,-2.1993626596266522,-0.21008404,-454.3901389250053,100.0,-219.93626596266523,15,100,-4.255821,100,0.0032324380008503795,-0.15467755,5,7.8153334,0.27539012,-0.23698431826496422,-9.932945089915249,0.0,-4.2732196,0.56627667,5.9008837,1200,-24.792637,0.27492073,1.2953306080852736,-151.26551408088653,0.0,0.56966996,100.0,0.1378832,-144.36926343728874,1,0.13774481,-3.1756876,2.580648106013541,-6.816593081199473,-1.0884728,0.6186713,2.042534218999208,-0.32229653,0.39533412,-9.256727,5.8009605,0.16238140399946133,0.4139946,-219.93626596266523,0.668203,76.03734628553019,0.9951605,0.8457218,-0.970122,-2.0407697571025767,-0.38083187,-204.07697571025767,0.862733006477356,-204.07697571025767,5.82119,5.363447739000549,-0.06762732599593656,-9.256946,-0.36474526,-294.2175909008662,-25.603653,-25.594702,-9.383651,3000,0.0019877190061379224,100,0.037718117,0.004839774002903141,100,1.1888137285803422,1200,30,56.732990997089466,0.3656725520049804,-0.45514968037605286,12
-4.4555335,0.033823684,-1.2036684038778136,-0.3170223,-108.70251096284818,100.0,-120.36684038778137,15,100,-7.1026525,100,0.0029210419961600564,-0.17346074,5,11.321403,0.2038942,-0.04795086844832189,-9.422922782913334,0.0,-6.972647,0.5591185,8.382411,1700,-43.111115,0.55521834,1.0305405683349838,-87.17843656276916,0.0,2.0369096,100.0,0.14588462,-61.48939038230683,2,0.04991069,-6.516658,2.5488448399846675,-9.273041060988326,-0.7095207,1.0283197,2.040659036996658,-0.5214341,0.5910948,-12.735469,8.261173,0.15331774299556855,0.5754627,-120.36684038778137,0.89139944,14.766249845220603,0.99513394,1.4696914,-0.98878974,-0.7948440896171242,-1.0304297,-79.48440896171243,0.752334713935852,-79.48440896171243,8.275381,7.916231351984607,-0.059589561146746926,-12.702387,-0.7028025,-162.4180676369466,-44.726124,-44.786644,-12.742583,4500,0.001976809995539952,100,0.08296401,0.004636721998394933,100,0.9342220983682312,1700,45,24.972927662238195,0.34533348600234604,-0.7703505754470825,17
-3.5077705,0.03245991,-1.0741417387557355,-0.39176366,-76.51480607321768,100.0,-107.41417387557355,15,100,-8.720448,100,0.0029528250015573576,-0.20107585,5,14.353515,0.22042805,-0.05169497570315882,-9.837345920944532,0.0,-8.695887,0.5492185,10.519034,2200,-49.90615,0.6964055,0.7889601088805813,-92.2402703426145,0.0,3.0231733,100.0,0.16529265,-29.58968490629164,3,0.037884332,-8.194998,2.5677989479954704,-6.937164670373106,-0.531805,1.0863696,2.048851929997909,-0.5920888,0.42028838,-15.989524,10.387253,0.15436326200142503,0.4298025,-107.41417387557355,0.92819506,15.928476288611275,0.98876655,1.683663,-0.9925326,-0.5118240659689135,-1.3699272,-51.18240659689135,0.6583150029182434,-51.18240659689135,10.374772,10.488315418981074,-0.030500894545427527,-15.977362,-0.80594903,-128.3442196036969,-49.592007,-49.267467,-16.0949,6000,0.014514018999761902,100,0.11030807,0.004898349994618911,100,1.0129206287496024,2200,60,12.548915174129501,0.3422185620001983,-1.0578324794769287,22
-5.2879295,0.026664332,-1.0986684208350068,-0.4380997,-102.16752788816149,100.0,-109.8668420835007,15,100,-10.069639,100,0.002963334998639766,-0.25784305,5,14.697782,0.061950088,-0.08640066203383978,-9.746817289064774,0.0,-10.009217,0.5481546,11.75072,2700,-64.34716,0.7224165,1.2249294117210356,-87.68906196035594,0.0,3.6002607,100.0,0.16753487,-50.42324274130575,4,0.037961576,-1.3235611,2.5821536909934366,-11.812122261859164,-0.567635,1.3025934,2.068218150001485,-0.6314345,2.768549,-16.643229,11.972841,0.15684533600142458,2.80806,-109.8668420835007,0.94431686,15.994839018868856,0.9894505,1.8190522,-0.9848991,-0.705746735397759,-1.5695025,-70.57467353977589,0.5756309032440186,-70.57467353977589,11.979999,13.074978453973017,-0.16979092154447334,-16.662434,-0.9052016,-150.84467785496798,-68.08267,-68.33868,-16.460686,7500,0.001967231000890024,100,0.10717623,0.004999752993171569,100,0.9900783954415616,2700,75,25.08875047622838,0.34715988599782577,-1.4174007177352905,27
-3.5590835,0.024854623,-0.9750215599222748,-0.52642494,-83.02917701825385,100.0,-97.50215599222747,15,100,-11.064579,100,0.0031053089987835847,-0.22641718,5,17.493385,0.15878004,-0.047542641603927814,-8.930023089478256,0.0,-11.068584,0.5141145,15.000304,3200,-72.42905,0.7858221,1.1838041616550614,-68.20804208291182,0.0,3.4542246,100.0,0.15856616,-37.89919485771328,5,0.026685623,-0.9707751,2.5494076299946755,-9.97638931049409,-0.09618578,1.3658643,2.0430920029975823,-0.7336898,3.6577945,-19.501528,14.733718,0.15386349100299412,3.6115818,-97.50215599222747,0.96094584,11.158289307354506,0.99732065,1.9611592,-0.9767801,-0.546226196249298,-1.6681831,-54.62261962492979,0.5026208162307739,-54.62261962492979,14.76197,15.628955526968639,-0.1729771056339454,-19.526016,-0.88597876,-134.52525652859035,-70.6332,-70.25354,-19.325676,9000,0.0021186809972277842,100,0.12044731,0.004796918001375161,100,0.7981845887860872,3200,90,26.27256248951611,0.34243122799671255,-1.4414504766464233,32
-4.535378,0.03036027,-0.8674004094823846,-0.63944393,-93.594297262383,100.0,-86.74004094823846,15,100,-11.952476,100,0.002853131001756992,-0.29383928,5,17.397789,0.13554654,-0.022800878985230887,-10.604341707461941,0.0,-11.90488,0.49081808,14.604033,3700,-76.60139,0.76596534,0.9672587244630858,-70.41099532951063,0.0,3.9672391,100.0,0.16532965,-39.58303998738877,6,0.018982492,-11.945372,2.550746478002111,-9.397626562212292,-0.14992337,1.4999957,2.042900123000436,-0.82206106,0.53083396,-18.947462,14.403173,0.15466713900241302,0.55911374,-86.74004094823846,0.9626654,15.776389952166532,0.9982142,2.0671737,-0.9886025,-0.5921741037580891,-1.5157839,-59.21741037580893,0.43769270181655884,-59.21741037580893,14.399444,18.18398864496703,-0.3789075644111548,-18.925596,-0.9346229,-103.08560931380336,-74.74936,-74.890274,-19.176132,10500,0.0020191069997963496,100,0.12508787,0.004776994996063877,100,0.9585857992665189,3700,105,11.046268812124744,0.3435299830016447,-1.775760293006897,37
-3.5041704,0.02192772,-0.856121534105433,-0.6549927,-56.88728213546049,100.0,-85.6121534105433,15,100,-13.252565,100,0.0031504240032518283,-0.22764881,5,18.03726,0.20497528,-0.016303392852946786,-9.745346286247228,0.0,-13.211295,0.48598707,13.796765,4200,-77.98756,0.7685602,1.1498497835404498,-59.982473347293045,0.0,5.103732,100.0,0.16808027,-5.949304805203163,7,0.0390238,-0.46877313,2.533866180005134,-10.102448616358274,-0.15864371,1.3983148,2.0175009340018732,-0.8724982,3.9129996,-19.540762,13.671106,0.15759032600180944,3.929862,-85.6121534105433,0.9717844,15.059578395786923,0.99613297,2.1620786,-0.987383,-0.21614902732675711,-1.8563128,-21.61490273267572,0.38016897439956665,-21.61490273267572,13.657835,20.722432561968162,-0.004304368416739453,-19.525755,-0.94906676,-119.47046782490115,-77.407684,-77.40382,-19.288448,12000,0.0022227160006877966,100,0.14440414,0.004963737999787554,100,0.8798809757848473,4200,120,22.512507898622992,0.3484380419977242,-2.087101697921753,42
-3.3486454,0.039255556,-0.7768649767673688,-0.66551185,-61.512615584821695,100.0,-77.68649767673688,15,100,-14.21074,100,0.0034071830013999715,-0.3502255,5,18.05121,0.15564965,-0.014461667962580051,-10.407781790524904,0.0,-14.171939,0.48994368,12.491981,4700,-78.118095,0.7581441,0.8708512096094669,-59.58533674157412,0.0,4.5068502,100.0,0.18092953,-14.084021648204644,8,0.037498545,-13.869741,2.576513457999681,-8.556948503172153,-0.14101116,1.4258463,2.042539622001641,-0.8096066,0.47665724,-19.068964,12.4374075,0.17537710999749834,0.44975206,-77.68649767673688,0.977835,15.220079635914354,0.9937472,2.3452475,-0.9546133,-0.35375888134798456,-1.4712617,-35.375888134798444,0.32992124557495117,-35.375888134798444,12.465527,23.303211755977827,-0.09877831510994486,-19.06973,-0.7932066,-94.70970597651443,-79.59217,-79.39539,-19.047289,13500,0.002028130998951383,100,0.10659498,0.005030740001529921,100,1.0194425523404445,4700,135,11.963221113460339,0.34813067199866055,-2.373584032058716,47
-4.5850706,0.031565037,-0.7525388995330465,-0.7598847,-66.80502388383509,100.0,-75.25388995330465,15,100,-14.7595,100,0.0029232460001367144,-0.51874083,5,17.034056,0.16478287,-0.011734436002510115,-11.076933471984225,0.0,-14.738817,0.46501112,9.774773,5200,-71.40781,0.66835016,1.0487744606379026,-57.70238780264837,0.0,4.930339,100.0,0.17590411,-12.358094644845904,9,0.04152539,-0.29684937,2.551240944987512,-10.179951978346377,-0.32116523,1.5232893,2.039452026998333,-0.8970885,4.7411513,-17.93304,9.25794,0.15429329399921698,4.7245874,-75.25388995330465,0.98558235,19.30989199461172,0.99626803,2.4081345,-0.9594206,-0.3188781898182646,-1.6735193,-31.887818981826467,0.2863447964191437,-31.887818981826467,9.277378,25.858871982964047,-0.02631077445294771,-17.938574,-0.94395727,-95.08168029989655,-69.4183,-69.21369,-17.961088,15000,0.00199137599702226,100,0.11250635,0.004796169996552635,100,1.0640988280556576,5200,150,15.777217849046435,0.34778483199625043,-2.9020798206329346,52
