replay_buffer/size,trainer/Alpha,evaluation/Average Returns,trainer/Q Targets Mean,exploration/Actions Min,evaluation/num paths total,exploration/Returns Mean,time/exploration sampling (s),evaluation/Returns Std,trainer/QF2 Loss,trainer/QF1 Loss,evaluation/path length Mean,exploration/num steps total,evaluation/Actions Std,trainer/Policy mu Min,trainer/Q2 Predictions Min,trainer/Q1 Predictions Min,exploration/Actions Max,trainer/Policy mu Std,exploration/Returns Std,exploration/Rewards Mean,time/data storing (s),Epoch,evaluation/Actions Max,exploration/Actions Mean,exploration/Actions Std,exploration/Rewards Std,evaluation/Returns Max,time/epoch (s),trainer/Policy log std Min,exploration/Num Paths,trainer/Policy log std Mean,evaluation/Returns Min,evaluation/num steps total,trainer/Policy mu Max,trainer/Policy log std Max,exploration/num paths total,evaluation/path length Std,time/training (s),exploration/Rewards Max,evaluation/Rewards Mean,trainer/Q2 Predictions Mean,exploration/path length Mean,trainer/Log Pis Max,evaluation/Rewards Max,exploration/Average Returns,exploration/Returns Max,time/evaluation sampling (s),trainer/Alpha Loss,trainer/Policy Loss,trainer/Policy mu Mean,exploration/path length Std,trainer/Log Pis Std,evaluation/path length Max,time/total (s),trainer/Log Pis Min,evaluation/Returns Mean,trainer/Q Targets Std,evaluation/Rewards Std,trainer/Q1 Predictions Std,exploration/Returns Min,trainer/Q1 Predictions Mean,trainer/Log Pis Mean,evaluation/Num Paths,evaluation/path length Min,trainer/Policy log std Std,trainer/Q Targets Max,evaluation/Rewards Min,trainer/Q1 Predictions Max,time/saving (s),exploration/path length Max,exploration/path length Min,evaluation/Actions Mean,trainer/Q2 Predictions Max,trainer/Q Targets Min,evaluation/Actions Min,time/logging (s),exploration/Rewards Min,trainer/Q2 Predictions Std
700,0.9997000694274902,6521.345568035105,20.091402,-0.9978237,10,1826.1599355608512,0.3875172949919943,8013.640476788876,1621.6274,1621.5901,150.0,700,0.00068299496,-0.00056924904,-5.4031378e-05,0.0009267067,0.9983575,0.0006905324,3149.9181606395186,14.609279484486805,0.003847384999971837,0,0.001386404,-0.009059486,0.6297069,33.04595874667599,16336.010642868221,3.5283345749921864,3.651576e-05,4,0.00057844305,-21.844026820141472,1500,0.001389517,0.0014872213,6,0.0,2.0391512669884833,130.02575110863975,43.475637120234026,0.00077867793,125.0,-1.3095474,111.79790064680026,1826.1599355608512,7281.699669486843,1.0838484690029873,-0.0,-2.7147698,0.00017767675,43.30127018922193,0.45605484,150,5.868232884997269,-3.6483667,6521.345568035105,34.89973,53.5765724071083,0.0005225042,-28.786233538148593,0.001939464,-2.7139845,10,150,0.00048509892,130.02332,-0.19792578877902542,0.0033120448,0.009093469998333603,150,50,0.00018294402,0.0019212186,-0.24729517,-0.000569249,0.0048766890104161575,-0.2462637938576718,0.00044124972
1200,0.872489333152771,106.73030682951546,25.54603,-0.99912775,20,252.39525293915082,0.4386253850098001,291.56220784152856,340.61273,329.9106,150.0,1200,0.53113383,-1.2239362,7.342741,3.931335,0.99387175,0.6803694,334.1723940176861,2.019162023513207,0.0035649250057758763,1,0.5898695,-0.2881014,0.61619824,11.709396435144255,550.7771630260276,3.428556948027108,-0.45956588,4,-0.26119924,-114.55415501368245,3000,0.6788719,-0.13070846,10,0.0,1.9429777870100224,79.05876310551285,0.7115353788634364,33.531296,125.0,2.4777565,78.04007126416406,252.39525293915082,638.1524553771593,1.0386817819962744,-0.6147384643554688,-35.29279,-0.46861923,43.30127018922193,1.6122999,150,9.301950010019937,-4.2108064,106.73030682951546,25.884012,8.193864028823922,24.65852,-101.07535258599509,32.612877,-0.5146775,10,150,0.110966206,133.06451,-0.9387417467957471,69.06742,0.0016371630044886842,150,50,-0.34720448,68.87842,-0.011046855,-0.8400701,0.003069906000746414,-0.9376803536856176,23.643963
1700,0.7735357880592346,2948.9207347380475,78.881935,-0.9972824,30,3134.781311931529,0.3462533190031536,4655.561481566384,4906.484,4902.5806,150.0,1700,0.7378809,-1.2610301,2.2465518,0.573224,0.99912816,0.9530568,5548.51427996269,25.07825049545225,0.002630393995787017,2,0.97479737,0.44409972,0.70176315,91.58915524774297,10060.383987213445,3.242599462988437,-0.7842521,4,-0.3041876,-111.46716359628556,4500,2.181199,-0.010640074,14,0.0,1.9646856210019905,585.2934096344247,19.659471564920313,77.90726,125.0,8.287335,523.9336958639102,3134.781311931529,12744.922363189193,0.922846405999735,-0.7151697278022766,-81.43932,0.6802463,43.30127018922193,2.6363316,150,12.548772503025248,-4.807127,2948.9207347380475,95.702324,78.27749546069928,57.337223,-108.06096829951767,77.701164,1.2122685,10,150,0.16280715,685.8542,-0.8876323528056191,211.69342,0.0020140979904681444,150,50,0.47048286,212.88449,-0.9337585,-0.851259,0.00416962499730289,-0.8827335971741106,57.135067
2200,0.7107477188110352,945.6688539279164,115.27184,-0.83887815,40,687.1089505713302,0.35243069801072124,1277.5966919988725,885.161,887.5964,150.0,2200,0.09248608,0.4305042,4.4635262,3.044895,0.99843866,0.41512835,1314.6014117732095,5.496871604570641,0.0027788359875557944,3,0.9679638,0.72144276,0.358051,26.04957112558077,2510.331039177276,3.496889910005848,-0.69197655,4,-0.38593182,-112.79458571194533,6000,2.248384,0.16755413,18,0.0,2.2064154079998843,154.8688069229633,6.304459026186109,121.15019,125.0,8.177794,144.48138661427623,687.1089505713302,2963.368286556803,0.9290930849965662,-0.3110581338405609,-128.3922,1.4127268,43.30127018922193,2.7639747,150,16.05034873401746,-3.3822672,945.6688539279164,106.994576,26.952954673131746,107.4739,-111.50644373526492,121.73198,3.0887938,10,150,0.19338286,442.5874,-0.8827565991274808,335.89304,0.0020000210060970858,150,50,0.8324614,337.11984,0.83902836,0.6834498,0.004171862005023286,-0.8828886600860085,107.81999
2700,0.6411202549934387,4943.743314682308,170.75566,-0.9990731,50,8771.064058437936,0.35926667200692464,7678.076788994598,18582.188,18501.219,150.0,2700,0.7265169,-1.7986903,4.1777277,3.423537,0.99936783,1.2562232,8857.546391941325,70.16851246750349,0.0026513570046518,4,0.9591677,-0.10555396,0.7624284,195.27925035664705,16672.160492612245,3.2869979410024825,-0.655975,4,-0.30670807,-109.99528488883118,7500,2.061956,0.21215247,22,0.0,2.048822326993104,938.04695113403,32.95828876454872,152.34344,125.0,5.826172,933.4835467616003,8771.064058437936,17906.71655057281,0.8698627460107673,-0.998719334602356,-156.23592,-0.37234902,43.30127018922193,2.3592854,150,19.341536170002655,-6.401292,4943.743314682308,222.6224,137.96747597550362,151.74826,-108.3478232267635,152.69002,1.7524723,10,150,0.21579143,1252.6279,-0.8791793201985181,439.11948,0.002232736995210871,150,50,-0.17460124,441.39435,2.7437322,-0.9339823,0.004162101991823874,-0.8772345025867506,151.6831
3200,0.7179313898086548,1685.6816448470283,265.49286,-0.9997583,60,1406.895912114695,0.443158181005856,2719.1022270774047,10438.694,10285.821,150.0,3200,0.9721918,-2.6530085,21.104593,21.29739,0.99914163,2.1609652,2550.523586003086,11.255167296917561,0.002861305998521857,5,0.9856798,-0.019601574,0.95307094,41.22622865865181,5839.078312755314,3.4248414489993593,-0.7619755,4,-0.5971377,-113.93362791100103,9000,2.6532412,-0.06911878,26,0.0,1.9457937529950868,231.3290373766219,11.237877632313516,268.74487,125.0,13.55946,239.0843042675376,1406.895912114695,5824.114496800649,1.0216044099943247,1.420235276222229,-293.98843,-0.13813283,43.30127018922193,2.9300785,150,22.770972132013412,-1.4884987,1685.6816448470283,284.30084,41.808492522086766,266.30753,-113.79163572764966,268.6502,8.280788,10,150,0.1193327,1110.9766,-0.882903221294896,726.758,0.00202131099649705,150,50,-0.0088464385,729.00226,0.0,-0.987987,0.00940248800907284,-0.8833321266354531,266.2045
3700,0.7698544263839722,3256.444189155346,319.2868,-0.9994426,70,2103.3634980022375,0.35586034299922176,4109.52121209209,5220.9136,5049.9307,150.0,3700,0.91283476,-2.5543156,42.283764,42.027576,0.9981164,1.8981655,3771.7056441573022,16.826907984017897,0.0025376520061399788,6,0.98143566,0.06018473,0.9059402,72.16299980698975,8289.539172597564,3.291916914007743,-0.6949778,4,-0.50994796,-113.92564994783105,10500,2.508326,-0.17578265,30,0.0,2.006626950998907,506.66100772196603,21.709627927702307,318.05542,125.0,11.322986,498.03305774578473,2103.3634980022375,8635.917349321504,0.920594926996273,0.6134219169616699,-332.7302,0.12534487,43.30127018922193,2.5351455,150,26.06705083900306,-3.5197253,3256.444189155346,344.56183,80.4325041339913,338.4747,-113.60492448963342,317.57336,6.3434606,10,150,0.123958915,1300.8789,-0.8838526362969089,912.2068,0.0020340750052127987,150,50,0.07290427,914.19684,35.526825,-0.9856985,0.004262966001988389,-0.8838526362524765,338.45874
4200,0.8300542831420898,3592.081041922988,469.41995,-0.99868804,80,6990.147190226848,0.3573332450032467,5634.214834804904,3084.116,2917.4668,150.0,4200,0.7938023,-2.5350964,68.66263,65.603615,0.9977461,1.557282,7092.127814905382,55.92117752181478,0.00301192699407693,7,0.9733983,0.34533766,0.79242265,163.01741900780516,12198.46659396865,3.7780129199963994,-0.67183226,4,-0.40667015,-113.03648121462116,12000,2.3202477,-0.056521095,34,0.0,2.4444591270003,820.3493493300336,23.947206946153262,463.0957,125.0,8.824064,728.3398604349345,6990.147190226848,14470.744521820483,0.9669904040056281,0.0260756965726614,-480.17184,0.5932193,43.30127018922193,2.685788,150,29.849795631002053,-4.124734,3592.081041922988,439.0782,104.81743445687397,430.03125,-111.32091778159531,463.21844,4.139929,10,150,0.19947849,1455.7316,-0.8827114503226864,1068.7249,0.0020355710003059357,150,50,0.40842766,1062.9069,67.915794,-0.9826331,0.004182645992841572,-0.8827108060012179,429.44412
4700,0.9612157940864563,2411.8533470493553,530.6598,-0.9990936,90,2216.1478901616533,0.5635407519876026,3838.8830721352997,11902.231,11423.376,150.0,4700,0.815282,-2.6772528,73.82628,71.108574,0.99881756,1.7028517,3963.9789563921036,17.729183121293225,0.0025861739995889366,8,0.9822006,0.4377255,0.79311323,76.42405269426266,8275.81344171623,3.6968141769611975,-0.77834666,4,-0.5145752,-114.121900484898,13500,2.5689642,-0.23894276,38,0.0,1.9312929989973782,541.3581898473602,16.079022313662367,528.6734,125.0,13.747036,494.26513980590045,2216.1478901616533,9081.71437050131,1.1931807219953043,0.0998174399137497,-548.3705,0.9204132,43.30127018922193,3.3248143,150,33.551369879962294,-1.4081149,2411.8533470493553,552.1767,70.14425128564501,536.4744,-113.10735504671591,529.68677,6.5062227,10,150,0.1228784,2112.6013,-0.887632041928974,1382.7092,0.0020373939914861694,150,50,0.46862552,1393.9816,76.78756,-0.98291254,0.0041761359898373485,-0.88802988290248,536.5942
5200,0.9726224541664124,3573.5843960619904,668.8882,-0.999482,100,2247.1958988396664,0.3555152739863843,4481.357278019935,7718.4966,7203.5234,150.0,5200,0.6302328,-3.1300042,79.733894,77.65848,0.9994181,1.4166307,4001.1912465412806,17.977567190717334,0.002797932000248693,9,0.98155606,0.56473047,0.6353943,77.67845175871882,9062.088696382087,3.255512229006854,-0.75660926,4,-0.42720467,-98.96367337889178,15000,2.4614289,0.049691916,42,0.0,1.9593531790014822,532.0331691082946,23.823895973746605,668.47516,125.0,11.186428,552.2441676272576,2247.1958988396664,9177.299963928046,0.9313404310087208,0.029515128582715988,-684.54614,1.0678006,43.30127018922193,3.7965977,150,36.811854794970714,-7.7913933,3573.5843960619904,641.5748,89.57976599983084,633.6912,-97.45652753506178,668.6392,5.057883,10,150,0.19672693,2151.4604,-0.7758818711544235,1648.0801,0.0020195950055494905,150,50,0.58870995,1666.596,87.268616,-0.9885856,0.004485818004468456,-0.7769481932341388,634.72894
