exploration/num steps total,trainer/Policy mu Mean,time/total (s),trainer/Policy mu Max,exploration/path length Std,evaluation/Actions Std,trainer/Policy Loss,trainer/Q2 Predictions Mean,trainer/Policy log std Mean,trainer/Log Pis Max,exploration/Returns Max,time/logging (s),trainer/Q1 Predictions Mean,exploration/path length Min,exploration/Returns Min,exploration/path length Max,exploration/Rewards Min,exploration/Returns Std,exploration/num paths total,evaluation/num paths total,trainer/Alpha Loss,evaluation/Returns Max,time/data storing (s),Epoch,trainer/Q2 Predictions Max,trainer/Q2 Predictions Std,exploration/Actions Max,exploration/Returns Mean,evaluation/Returns Std,exploration/path length Mean,evaluation/path length Std,exploration/Actions Min,evaluation/Num Paths,exploration/Rewards Mean,time/training (s),exploration/Num Paths,evaluation/Actions Mean,time/epoch (s),evaluation/path length Min,trainer/Q Targets Std,trainer/Policy log std Max,replay_buffer/size,trainer/Q1 Predictions Max,evaluation/Rewards Mean,trainer/Alpha,trainer/Log Pis Std,evaluation/Returns Mean,exploration/Average Returns,evaluation/Actions Min,exploration/Rewards Std,evaluation/Rewards Min,trainer/Q Targets Min,trainer/QF2 Loss,evaluation/num steps total,time/evaluation sampling (s),evaluation/Actions Max,evaluation/Average Returns,exploration/Actions Std,time/exploration sampling (s),evaluation/Returns Min,exploration/Actions Mean,evaluation/Rewards Std,trainer/Q Targets Mean,trainer/Q1 Predictions Min,exploration/Rewards Max,trainer/Policy log std Std,trainer/Log Pis Mean,time/saving (s),trainer/Policy mu Std,trainer/Policy mu Min,trainer/Q2 Predictions Min,trainer/QF1 Loss,trainer/Q Targets Max,trainer/Log Pis Min,evaluation/path length Mean,evaluation/Rewards Max,trainer/Q1 Predictions Std,trainer/Policy log std Min,evaluation/path length Max
700,-0.0005028113,2.8101740569691174,0.0013806394,0.0,0.0010274206,-1.357459,-0.004543459,-0.00037321026,-0.55522084,-439.9787329073291,0.006710226007271558,-0.0021872672,100,-974.0999944282858,100,-12.658850480232502,201.26677852826094,7,25,-0.0,-48.134226548034434,0.0029213670059107244,0,-0.002751818,0.0007271934,0.9984288,-651.3244507727577,320.9380597150012,100.0,0.0,-0.9984672,25,-6.513244507727577,1.9233723359939177,5,-0.00063651503,2.546764970989898,100,3.12005,0.0018130194,700,0.0027842298,-6.12263285252082,0.9997000694274902,0.3179141,-612.263285252082,-651.3244507727577,-0.0021988584,2.9047537297456554,-12.457434592210777,-12.813272,69.98398,2500,0.4707141040125862,0.0013598336,-612.263285252082,0.630284,0.14070628499030136,-1243.3883160924065,0.0019207716,3.2095811366566562,-7.7665815,-0.005215285,-0.442464942894238,0.0012935651,-1.3619865,0.0023406529799103737,0.0010281139,-0.001992943,-0.005794935,70.021965,-0.8743794,-1.8180176,100.0,-0.4051637498677631,0.0023239674,-0.0024942176,100
1200,0.39094007,5.421616888983408,0.8584193,0.0,0.17979814,10.594613,-11.827263,-0.2306123,0.6814499,-245.59455000777922,0.006782999000279233,-12.099898,100,-448.16584398333646,100,-10.041826399217236,68.17722898328189,12,50,-0.4336749017238617,-127.82064177981499,0.0028637950017582625,1,-3.8423517,6.0805445,0.990133,-334.7764295875596,107.77259987217212,100.0,0.0,-0.992221,25,-3.347764295875596,1.9137589310121257,5,0.27667972,2.6065017399960198,100,5.7108655,-0.17037408,1200,-4.406763,-2.6474548445853987,0.8634324073791504,0.823809,-264.74548445853986,-334.7764295875596,-0.3466874,1.6443056753608989,-10.028366236501379,-25.802095,1.567259,5000,0.5404334210033994,0.6946511,-264.74548445853986,0.5400732,0.1407172099861782,-578.1814393944765,0.21383242,1.350835756834878,-12.505577,-25.592945,-0.04154608083524226,0.03675099,-0.9590062,0.0019453839922789484,0.30726495,-0.40935087,-25.844164,0.90648526,-3.6738472,-4.550704,100.0,-0.1861472922176908,5.8334103,-0.3223196,100
1700,0.3136413,8.268726853944827,1.3714243,0.0,0.16529188,16.215631,-18.06112,-0.30443296,2.2263374,-121.43031803136508,0.006554346007760614,-18.013128,100,-146.45415363338176,100,-6.17981713466455,8.944647390377805,17,75,-0.7270815968513489,-118.98544158803094,0.0029638569976668805,2,-6.739106,11.5771675,0.99221593,-131.83110142613248,46.59921336160749,100.0,0.0,-0.98778766,25,-1.3183110142613246,2.112124348001089,5,0.08459697,2.8426919569901656,100,11.867643,-0.14359087,1700,-6.51667,-1.4043552531455912,0.754426896572113,1.090694,-140.43552531455913,-131.83110142613248,-0.75286037,0.7606412667152955,-8.925022608723232,-47.91547,4.104804,7500,0.5683926930068992,0.8599378,-140.43552531455913,0.56466883,0.15069640698493458,-362.7511985054303,0.062218506,0.8022949804901652,-17.933174,-50.53051,-0.0372329797561622,0.09081853,-0.5825227,0.001960305991815403,0.62753934,-0.9730697,-50.72097,4.152989,-2.568554,-2.904236,100.0,-0.026246204481704928,11.600284,-0.51777124,100
2200,0.12232542,11.189336389943492,1.5743287,0.0,0.1910895,18.670464,-20.954819,-0.3662893,3.288979,-109.87069048605696,0.006713420007145032,-20.965757,100,-170.6057201740647,100,-9.68150911463018,20.94292913827587,22,100,-0.9920318722724915,-130.91615286391408,0.003740348998690024,3,-8.774385,15.921273,0.9936595,-132.43398603207834,20.41168725861663,100.0,0.0,-0.9906025,25,-1.3243398603207834,2.198516791977454,5,0.06795993,2.9165237799461465,100,16.097898,-0.1725046,2200,-8.644422,-1.5239012056639054,0.6629813313484192,1.2962861,-152.39012056639055,-132.43398603207834,-0.8928793,0.9429536006089949,-9.744066471656897,-66.42914,5.775903,10000,0.55779083998641,0.9139255,-152.39012056639055,0.538964,0.14774404297349975,-230.22465425976722,0.07614711,0.8341515873075244,-20.878052,-69.48713,-0.1161089955313308,0.115257904,-0.41516137,0.0020183360029477626,0.79478383,-1.418431,-69.561676,5.787974,-6.707625,-4.5099525,100.0,-0.16659743818947456,15.904582,-0.59474945,100
2700,0.18098785,14.006686464854283,1.722488,0.0,0.15885283,19.135366,-21.167313,-0.40527847,3.4945474,-95.39869550722327,0.006807164987549186,-21.18266,100,-158.66385594448127,100,-11.080958102201729,24.55475700608856,27,125,-1.287584662437439,-45.62029236595878,0.003270481014624238,4,-11.46578,14.513844,0.99132705,-116.20776204559452,15.64963882871877,100.0,0.0,-0.99130625,25,-1.162077620455945,2.12822275198414,5,0.019691687,2.8127098189434037,100,14.53137,-0.19451803,2700,-11.378625,-0.6419304642838101,0.5802190899848938,1.2992874,-64.19304642838098,-116.20776204559452,-0.92078525,1.1230141824089561,-11.090174528715265,-74.79479,0.6632871,12500,0.5290509059850592,0.9406066,-64.19304642838098,0.5541496,0.14316907798638567,-104.87119728139673,0.045592956,0.916644465429712,-21.097712,-75.49413,-0.03755655829782858,0.1313127,-0.3664955,0.002189436985645443,0.7933153,-1.4966344,-75.56928,0.71821994,-10.392505,-4.0706296,100.0,-0.08024596235976345,14.507186,-0.65617895,100
3200,0.177227,17.885795909911394,1.8939495,0.0,0.18264173,20.061365,-21.795261,-0.47123078,3.6142552,-91.78057559836684,0.006922761996975169,-21.839449,100,-131.5777127992691,100,-10.074582543979494,15.375833493135366,32,150,-1.5032228231430054,-12.061198340030385,0.0032059640216175467,5,-12.82218,14.710674,0.99429035,-109.7899207534568,19.70850571186822,100.0,0.0,-0.98655,25,-1.097899207534568,3.064184606017079,5,0.031008575,3.8744214180624112,100,14.960686,-0.2358238,3200,-12.738021,-0.38198196094508224,0.5059475898742676,1.4060849,-38.19819609450822,-109.7899207534568,-0.9448063,1.2045644300412774,-10.93833579392543,-80.00217,2.8805647,15000,0.6294672700169031,0.95567507,-38.19819609450822,0.54497033,0.16868634198908694,-74.04924742088399,0.0441178,1.1929781197672715,-21.815344,-80.28333,-0.01877954037986087,0.14175133,-0.20719945,0.0019544740207493305,0.819124,-1.5750725,-80.17778,2.9285076,-2.568554,-2.9210634,100.0,-0.08507471008059475,14.72074,-0.7098205,100
3700,0.25657493,20.74631522191339,2.0528896,0.0,0.18624383,20.258778,-21.875042,-0.46203873,4.9777884,-77.1853874561708,0.006594431994017214,-21.905684,100,-132.9800395484996,100,-10.263110187447314,18.96448668334699,37,175,-1.7547663450241089,-27.145185626471243,0.004871269018622115,6,-14.076699,14.963471,0.99306184,-99.29438614780688,19.401304786374844,100.0,0.0,-0.994968,25,-0.992943861478069,2.0149212699907366,5,0.03519209,2.855728608003119,100,15.246809,-0.22442512,3700,-14.016859,-0.5735500958620143,0.43923839926719666,1.7147338,-57.35500958620142,-99.29438614780688,-0.9335312,0.9585449862505513,-10.689521950379302,-88.7907,2.9223094,17500,0.6499523090024013,0.9665345,-57.35500958620142,0.5365168,0.17702119599562138,-89.77058222795752,0.04275908,1.227056161146299,-22.037075,-89.09911,-0.031000121544934554,0.12442058,-0.133642,0.002368132001720369,0.8160074,-1.5556148,-89.07177,2.9017873,-0.63851345,-5.496061,100.0,-0.07848814096493256,14.95901,-0.7207283,100
4200,0.12876445,23.44038100988837,2.1285498,0.0,0.16247827,18.821283,-20.66679,-0.5095812,4.8262634,-78.86832448882247,0.0064513920224271715,-20.674507,100,-132.61472761425546,100,-9.739630246953043,19.685323040561975,42,200,-2.4044721126556396,-20.132341777633297,0.0029021329828538,7,-15.332362,11.702607,0.9884786,-104.39921656957452,13.795475048461379,100.0,0.0,-0.97658855,25,-1.0439921656957454,1.9610123989987187,5,0.021839995,2.6892474709893577,100,12.002091,-0.2525463,4200,-15.301171,-0.3918375593994327,0.3807015120983124,1.4272628,-39.18375593994327,-104.39921656957452,-0.9544095,1.0647111747143971,-9.421001653498905,-94.23699,5.2118483,20000,0.5725595689727925,0.9676446,-39.18375593994327,0.5327621,0.1447641919949092,-68.76825721602006,0.0185079,0.8648839950326437,-20.983322,-93.76187,-0.051950481127596336,0.12513445,-0.4904923,0.0015577860176563263,0.75830853,-1.7406096,-93.71354,5.177398,-3.2753453,-4.6471047,100.0,-0.04962372761598379,11.674528,-0.72511774,100
4700,0.15161668,26.11336355583626,2.018227,0.0,0.18179657,19.16607,-20.69805,-0.5722583,3.125956,-70.9088529437231,0.006973304989514872,-20.686558,100,-108.18983186351562,100,-8.469896242529614,13.251430330606892,47,225,-2.6918528079986572,-21.644045274196365,0.0028185560076963156,8,-16.630693,8.486287,0.99424106,-87.01424479160971,20.71172001834899,100.0,0.0,-0.984287,25,-0.8701424479160969,1.971296548988903,5,0.028654275,2.6683360649622045,100,8.763231,-0.3073366,4700,-16.637379,-0.44772399690108977,0.32981133460998535,1.1326567,-44.772399690108976,-87.01424479160971,-0.96739376,0.9878748762288767,-10.984051853386005,-64.73044,10.165344,22500,0.5400371249997988,0.97296935,-44.772399690108976,0.51560277,0.14562013899558224,-80.3298393505411,0.03820217,1.130054935338353,-20.69866,-64.54318,-0.020457435235173866,0.1518183,-0.42737442,0.0015903909807093441,0.7525573,-1.8655272,-64.47817,10.139117,-4.45035,-4.3537693,100.0,-0.029896073189562795,8.455232,-0.8070881,100
5200,0.16063924,28.744734366773628,2.2024078,0.0,0.18835875,21.407476,-22.526182,-0.59222853,4.3078437,-68.26027435659113,0.006758300005458295,-22.55677,100,-98.23032237035783,100,-7.334634870656184,10.883579264282204,52,250,-2.691852331161499,-15.383689332892763,0.003036691981833428,9,-17.608868,9.722837,0.99683213,-81.5724917704998,18.390600324684346,100.0,0.0,-0.97132134,25,-0.815724917704998,1.930129500979092,5,0.03185432,2.626756578916684,100,10.000715,-0.3015548,5200,-17.611864,-0.3815361876960699,0.2856213450431824,1.3863536,-38.15361876960699,-81.5724917704998,-0.96975785,0.6763617487092408,-11.104784052782497,-71.473404,3.8082173,25000,0.5369666079932358,0.9760366,-38.15361876960699,0.5013832,0.14828777097864076,-75.72002176594495,0.021673461,1.1086645742873749,-22.561995,-69.15527,-0.03985754861301804,0.14806172,-0.14868045,0.001577706978423521,0.79915154,-1.8936374,-69.33819,3.8027096,-0.49756137,-3.47616,100.0,-0.12267741821222283,9.725394,-0.80808127,100
