replay_buffer/size,trainer/Q1 Predictions Max,evaluation/Actions Mean,exploration/Returns Min,evaluation/num paths total,trainer/Log Pis Mean,trainer/Alpha,trainer/Q1 Predictions Std,time/epoch (s),trainer/Policy log std Mean,time/evaluation sampling (s),exploration/path length Mean,exploration/path length Std,exploration/Actions Min,exploration/Returns Mean,trainer/Log Pis Max,evaluation/Rewards Std,trainer/Q1 Predictions Min,time/training (s),time/exploration sampling (s),trainer/Policy mu Min,evaluation/Returns Max,trainer/Policy mu Std,trainer/Q2 Predictions Min,evaluation/path length Max,trainer/Q1 Predictions Mean,exploration/Actions Std,exploration/Rewards Max,exploration/Num Paths,trainer/QF1 Loss,exploration/Returns Std,trainer/Policy log std Std,trainer/Policy log std Max,exploration/Actions Mean,evaluation/num steps total,evaluation/Rewards Mean,exploration/num steps total,exploration/Returns Max,evaluation/Rewards Min,exploration/Rewards Min,evaluation/Rewards Max,trainer/Q2 Predictions Mean,exploration/path length Max,exploration/Actions Max,evaluation/Num Paths,Epoch,evaluation/Average Returns,time/total (s),exploration/Average Returns,evaluation/path length Mean,trainer/Q2 Predictions Max,trainer/Policy mu Mean,trainer/Q Targets Mean,evaluation/Actions Std,evaluation/Returns Min,trainer/Alpha Loss,evaluation/Returns Std,trainer/Policy log std Min,exploration/Rewards Mean,exploration/path length Min,evaluation/Returns Mean,trainer/Policy mu Max,exploration/Rewards Std,trainer/Policy Loss,time/saving (s),time/logging (s),trainer/Q2 Predictions Std,evaluation/Actions Max,trainer/Log Pis Min,time/data storing (s),evaluation/Actions Min,evaluation/path length Std,trainer/Q Targets Min,trainer/Q Targets Max,trainer/Log Pis Std,exploration/num paths total,trainer/Q Targets Std,evaluation/path length Min,trainer/QF2 Loss
700,0.0061436202,1.4893874e-05,-867.3898159496654,15,-1.3200704,0.9997000694274902,0.0014106932,2.3679438719991595,9.4028845e-05,0.2906546209997032,100.0,0.0,-0.99491477,-702.502570346398,-0.5584792,2.6167195672440724,0.00054433825,1.9296407109941356,0.13745083898538724,-0.0009241656,-122.84672740100268,0.00066820905,-9.279698e-06,100,0.003884497,0.6332669,-1.6943225283163448,5,52.354195,123.24170847275076,0.0011577677,0.0018584145,-0.0030053663,1500,-8.244763039216659,700,-514.319158420513,-12.463515838986645,-11.74464959865812,-1.2133859860720178,0.0016960645,100,0.99983233,15,0,-824.4763039216658,2.561987865046831,-702.502570346398,100.0,0.0029908596,7.397563e-05,-6.869486,0.00076418876,-1245.052674168414,-0.0,261.66727218754966,-0.0015196193,-7.02502570346398,100,-824.4763039216658,0.0017024559,1.9762410646316133,-1.3217223,0.002341495011933148,0.004982673010090366,0.0007425616,0.0018050838,-1.9693487,0.0028735329979099333,-0.0010804594,0.0,-11.386623,-1.6605688,0.3452094,7,2.2607245,100,52.32378
1200,-7.381139,0.01923621,-745.57463305305,30,-1.2994555,0.8611529469490051,2.8697011,2.4966579849715345,-0.18220882,0.3229873769741971,100.0,0.0,-0.9853942,-544.4006977273582,-0.23773283,1.5283482669849475,-20.353426,2.0242864470055792,0.13962210700265132,-0.2632467,-303.7160843768645,0.21888131,-20.492594,100,-12.1603565,0.5858806,-0.6662117053498738,5,4.2189126,136.24368306507728,0.03826254,-0.1338753,0.018778026,3000,-5.244516529542439,1200,-358.1637855650005,-12.207784133548293,-12.207363917765631,-1.9735578584220828,-12.2204685,100,0.9828889,15,1,-524.4516529542439,5.063466281048022,-544.4006977273582,100.0,-7.368666,0.14531502,-12.668739,0.0792042,-786.8339641947063,-0.4922528862953186,128.26801887061515,-0.35063407,-5.444006977273583,100,-524.4516529542439,0.8429837,2.063243702769025,10.8359585,0.0019491529965307564,0.004754661000333726,2.8457778,0.58276016,-2.5795095,0.0030582399922423065,-0.23161949,0.0,-20.41115,-4.9677405,0.43973738,12,3.2831643,100,4.046539
1700,-14.477392,0.00067151093,-580.452103738903,45,-0.84192145,0.7496727108955383,5.5677195,2.731132983986754,-0.3412799,0.3429907569952775,100.0,0.0,-0.99028355,-421.5044084320939,1.4068965,1.0142092140221206,-37.290688,2.225915440998506,0.1523748719773721,-1.1618887,-307.4821601087618,0.5985109,-37.31062,100,-22.469934,0.5595996,-1.424915056475498,5,1.1342206,83.03623014376312,0.06303196,-0.20958357,0.008287462,4500,-4.167230889072895,1700,-341.1764757480654,-11.166571785662862,-9.493241313864273,-1.6018965009640973,-22.533197,100,0.988251,15,2,-416.72308890728954,7.798820976051502,-421.5044084320939,100.0,-14.4435625,0.06529847,-22.54471,0.0968299,-566.2853254361816,-0.8180781602859497,80.99930288726414,-0.4890306,-4.21504408432094,100,-416.72308890728954,1.2998508,1.1966375184596039,20.93249,0.0019836470019072294,0.004868657008046284,5.4917026,0.75396824,-5.6551514,0.0029996100056450814,-0.69403577,0.0,-37.631096,-14.163601,1.0706639,17,5.7329316,100,0.9210613
2200,-18.683378,0.007850792,-542.53096136937,60,-0.655258,0.6569856405258179,6.330672,2.6217536290059797,-0.40093875,0.40713996900012717,100.0,0.0,-0.98915726,-460.1288042840635,1.2112613,1.6009776330962027,-51.12655,2.059201102005318,0.14542399300262332,-1.5045513,-197.7512929356042,0.67636377,-51.232765,100,-29.913437,0.556275,-0.7397770588212601,5,23.050934,97.77414350295501,0.07599765,-0.27147198,0.001432271,6000,-3.858222486424408,2200,-271.676131187705,-11.075397285643643,-10.59585805684056,-1.4883603125302147,-29.859058,100,0.9692401,15,3,-385.8222486424408,10.424827944050776,-460.1288042840635,100.0,-18.499767,0.072837494,-29.517359,0.1360199,-574.1063914807817,-1.1147657632827759,145.74187010636655,-0.60894006,-4.601288042840635,100,-385.8222486424408,1.629135,1.413445950999514,27.860596,0.0019694719812832773,0.005138508015079424,6.3937173,0.91665864,-3.7376473,0.002880585001548752,-0.9454182,0.0,-52.483753,-2.6265814,1.0463004,22,7.374898,100,23.52619
2700,-22.70237,-0.0029090461,-494.69708724221204,75,-0.43523476,0.5749722123146057,10.290567,2.819644672999857,-0.46684867,0.4100979999930132,100.0,0.0,-0.9819831,-375.015128036482,2.6823893,1.441982243648956,-68.378105,2.2092728780116886,0.19184192101238295,-1.7016308,-203.6725366052141,0.73767245,-68.70331,100,-36.050953,0.5290146,-0.3553109022393551,5,2.1302233,122.80454681301033,0.07970763,-0.29838642,-0.012913839,7500,-3.693985866569193,2700,-188.63743451063786,-10.697595529611771,-7.135238196024484,-1.8463923438855072,-35.752804,100,0.98400134,15,4,-369.39858665691935,13.248821649089223,-375.015128036482,100.0,-22.847946,0.057172727,-36.789047,0.14164127,-577.9189840400397,-1.347102403640747,130.38021608610316,-0.6020276,-3.750151280364821,100,-369.39858665691935,1.7259604,1.4528064966749221,34.602474,0.0018630419799592346,0.0034845749905798584,10.48027,0.9086094,-4.8089724,0.003084257012233138,-0.9608919,0.0,-70.721794,-22.457136,1.3591973,27,10.123247,100,3.5921328
3200,-25.62006,-0.0017527436,-472.67154736168175,90,-0.3700486,0.5029399394989014,11.869431,2.6262657240149565,-0.4826288,0.3411997609946411,100.0,0.0,-0.9721348,-275.7136217992383,3.4235697,1.6496048579860598,-80.573944,2.1279649840143975,0.14789056501467712,-1.5863206,-107.82338091647196,0.7802787,-80.62546,100,-43.386703,0.5080481,-0.04908831112979685,5,36.67366,123.3569736020697,0.093590714,-0.29870594,0.02004219,9000,-3.5099382989044843,3200,-133.09754371395903,-10.61460436404251,-9.10841991967607,-0.7351718880094452,-43.457363,100,0.9982898,15,5,-350.99382989044847,15.879082257160917,-275.7136217992383,100.0,-25.639816,0.15203786,-42.90315,0.1430846,-579.9613131160295,-1.6282920837402344,153.07823267070208,-0.66487086,-2.757136217992383,100,-350.99382989044847,1.8807157,1.6059824748700127,41.401024,0.0019683160062413663,0.004428076994372532,11.906918,0.94921666,-4.373746,0.0028140209906268865,-0.930192,0.0,-82.465744,-5.0876713,1.375595,32,12.884285,100,36.96378
3700,-27.515047,0.004953189,-590.3333634202718,105,-0.36793587,0.43977347016334534,10.448999,2.5369813749857713,-0.5272051,0.33806444497895427,100.0,0.0,-0.9848119,-353.95603741640906,2.5551558,1.5773338600203486,-82.22639,2.043715461011743,0.14512238500174135,-1.9618932,-193.56494360946462,0.7708095,-82.61547,100,-46.18417,0.51369643,-0.46659240286642323,5,49.556538,151.31659644285244,0.0940393,-0.30508435,-0.017620182,10500,-4.0044056993232156,3700,-177.42919000106554,-9.3501482521877,-9.918313261903668,-0.12573398603100389,-46.13376,100,0.9789756,15,6,-400.4405699323216,18.419622027140576,-353.95603741640906,100.0,-27.566456,0.13954979,-45.63005,0.15804939,-587.0971995031397,-1.9446035623550415,144.05163460999216,-0.7008779,-3.539560374164092,100,-400.4405699323216,1.7081323,1.7875887865896394,44.407825,0.0020130019984208047,0.004752424982143566,10.477447,0.9495472,-2.8569198,0.0033136570127680898,-0.9226319,0.0,-83.1578,-4.890563,1.2041448,37,11.684721,100,50.45252
4200,-28.599375,-0.001079825,-597.0680263639263,120,0.10535263,0.38480257987976074,14.563503,2.4691541999636684,-0.5929306,0.3335090199834667,100.0,0.0,-0.9873937,-369.62302320649576,3.9086432,1.184365768525812,-91.00349,1.9698071000166237,0.15601236998918466,-2.2039845,-163.02202001136405,0.88685805,-90.78568,100,-52.06392,0.5013731,-0.6116135871681585,5,1.3750215,164.4699565711098,0.11573198,-0.3390853,-0.02189564,12000,-3.0621000352857197,4200,-175.27216649946206,-8.222904088184942,-8.766593786249832,-0.32837502320836737,-51.997597,100,0.9879308,15,7,-306.2100035285719,20.893096546147717,-369.62302320649576,100.0,-28.232618,0.011418743,-52.610073,0.13523896,-525.0298210319673,-1.8089308738708496,110.76911785958707,-0.8614314,-3.6962302320649587,100,-306.2100035285719,2.164073,1.741294562202126,50.76393,0.0019483559881336987,0.00484684098046273,14.646781,0.9128646,-4.543742,0.00303051300579682,-0.92883295,0.0,-91.87742,-27.96529,1.4673233,42,14.79537,100,1.7280941
4700,-29.879055,0.0017710244,-488.30328715198476,135,-0.060950097,0.3366909325122833,13.114646,2.4969101549941115,-0.6265208,0.3299376979994122,100.0,0.0,-0.9831348,-311.8168403727092,5.530942,1.5787570515506424,-91.86176,2.0058463079913054,0.15059594801277854,-1.7952245,-106.52569177931161,0.8852385,-91.87288,100,-57.27176,0.48700774,-0.4249079768638078,5,25.182217,108.4147841893724,0.10222725,-0.3773494,0.010715458,13500,-3.1420367766518726,4700,-175.2917424327414,-9.86230109429697,-12.122761409142283,-1.0362516230526695,-57.240265,100,0.99531895,15,8,-314.20367766518734,23.394412477122387,-311.8168403727092,100.0,-29.837385,0.19252826,-57.375404,0.15626515,-583.3059826633067,-2.2429921627044678,145.8144974022992,-0.913244,-3.118168403727092,100,-314.20367766518734,2.3933024,1.5835419577193928,56.055595,0.001986404007766396,0.005349730985471979,13.119795,0.97240484,-3.4734592,0.003194065997377038,-0.9658927,0.0,-91.92338,-6.150197,1.620338,47,14.161514,100,25.280407
5200,-29.111032,0.0112394,-566.6321892610052,150,0.53408545,0.2951544225215912,16.232082,2.4166210150287952,-0.66817856,0.33740804498665966,100.0,0.0,-0.9577551,-385.5040338218383,4.949607,1.2801541044421176,-110.278404,1.901396820001537,0.16814315001829527,-2.1399126,-128.6379006546146,0.97671956,-110.88561,100,-61.456417,0.48804408,-0.9764107459080476,5,24.056894,108.63152163749537,0.113314055,-0.37804523,0.015176053,15000,-2.4707817202895943,5200,-245.72398814426046,-8.622297482469676,-11.121369065665682,-0.5720285521489491,-61.45234,100,0.98478395,15,9,-247.0781720289594,25.815651061217068,-385.5040338218383,100.0,-28.693592,0.11365944,-61.864468,0.117053054,-547.4488559506307,-1.7884215116500854,123.21863838453305,-1.0201874,-3.8550403382183833,100,-247.0781720289594,2.2574492,1.3751723298179899,60.054577,0.001924428011989221,0.004560982983093709,16.28624,0.96033365,-2.9392858,0.0031875890272203833,-0.9012102,0.0,-113.07069,-2.8249109,1.5496936,52,17.426897,100,24.257668
