replay_buffer/size,time/training (s),trainer/Q1 Predictions Max,trainer/Q Targets Max,evaluation/Rewards Min,evaluation/Rewards Max,exploration/Returns Max,trainer/Q Targets Mean,evaluation/Returns Mean,trainer/QF2 Loss,evaluation/path length Mean,trainer/Policy mu Min,evaluation/Average Returns,exploration/num steps total,evaluation/num paths total,evaluation/path length Min,exploration/Actions Std,exploration/Returns Mean,trainer/Log Pis Max,time/data storing (s),trainer/Policy mu Std,exploration/num paths total,trainer/Policy log std Mean,trainer/Q2 Predictions Min,trainer/Log Pis Mean,trainer/Policy log std Max,trainer/Policy log std Std,evaluation/Actions Max,evaluation/Returns Max,exploration/Rewards Std,trainer/Q Targets Min,time/total (s),evaluation/Actions Std,exploration/Returns Std,evaluation/Returns Min,trainer/Policy log std Min,exploration/Actions Mean,exploration/path length Max,exploration/path length Min,trainer/Log Pis Min,time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),trainer/Q2 Predictions Std,exploration/Actions Max,trainer/Log Pis Std,trainer/Policy mu Mean,trainer/Alpha,evaluation/Rewards Mean,exploration/path length Mean,trainer/Q1 Predictions Std,trainer/Alpha Loss,trainer/Q1 Predictions Min,exploration/Actions Min,evaluation/Rewards Std,Epoch,evaluation/Returns Std,trainer/Q2 Predictions Mean,evaluation/Num Paths,exploration/Rewards Max,trainer/Q Targets Std,exploration/Num Paths,trainer/Policy Loss,exploration/Rewards Mean,time/logging (s),evaluation/num steps total,trainer/Q1 Predictions Mean,evaluation/Actions Mean,evaluation/path length Std,exploration/path length Std,trainer/Policy mu Max,exploration/Rewards Min,evaluation/Actions Min,exploration/Returns Min,evaluation/path length Max,time/saving (s),trainer/Q2 Predictions Max,exploration/Average Returns,trainer/QF1 Loss
700,2.013531762000639,0.008835479,-1.0283252,-11.1003137883132,-2.0610686656521557,-396.13232161510666,-6.791439,-789.9031960528147,53.906277,100.0,-0.0034183376,-789.9031960528147,700,15,100,0.6343524,-698.6415481039306,-0.6286398,0.002846089017111808,0.0015954253,7,-6.255407e-05,-0.0033589816,-1.3852764,0.001280993,0.0007397685,0.0019617688,-215.59744608150015,2.8797938941269314,-12.237678,2.6882580970413983,0.001427802,238.76548511121234,-1104.9222293391856,-0.0014970005,0.029935509,100,100,-2.566249,2.4718485490302555,0.3041613820241764,0.14401926699792966,0.0016684183,0.9962638,0.30179432,-0.00016047053,0.9997000694274902,-7.899031960528146,100.0,0.0019605127,-0.0,0.0016137525,-0.9973312,3.142718532391505,0,314.2409102224983,-0.0007265982,15,-1.2487160082232407,2.7920773,5,-1.3845671,-6.986415481039308,0.004967472981661558,1500,0.0045281667,-0.00029077372,0.0,0.0,0.002012698,-13.465122788184905,-0.0025405218,-1081.2361633246305,100,0.0023225760087370872,0.0035061077,-698.6415481039306,53.981827
1200,1.9869355789851397,-6.5838747,-6.1423893,-12.15556372812691,-0.1870146428683794,-368.2949037541053,-12.48273,-685.6742256032053,3.0384097,100.0,-0.53873026,-685.6742256032053,1200,30,100,0.57685935,-488.72565329556676,0.04945302,0.002898926963098347,0.3208095,12,-0.19479643,-23.396719,-1.1157393,-0.13290025,0.03906224,0.6183994,-430.8046665804777,1.921038195779186,-24.002922,5.16182240692433,0.07431088,83.04540837676743,-1096.4815381348596,-0.30593008,0.027616048,100,100,-2.3636398,2.4684889919590205,0.3311648930539377,0.140732018975541,3.6523511,0.9984273,0.49237597,0.07892313,0.8615212440490723,-6.856742256032055,100.0,3.6613078,-0.4635158181190491,-23.422253,-0.9837406,2.503780102075523,1,218.9027301970629,-12.103379,15,-0.7613050868422194,3.7928445,5,10.750718,-4.887256532955667,0.004803370975423604,3000,-12.061102,0.039699975,0.0,0.0,0.8650618,-10.400483542950784,-0.41135433,-595.3361228529556,100,0.0019542030058801174,-6.361279,-488.72565329556676,3.2055888
1700,1.9783996969927102,-13.131719,-4.3248687,-9.751351733313275,-3.040231297836809,-311.6511227704832,-22.445124,-513.8038282819028,5.157653,100.0,-1.2783747,-513.8038282819028,1700,45,100,0.56143403,-500.6860639664017,1.9390998,0.003085189964622259,0.59041923,17,-0.3140939,-47.623486,-0.79090333,-0.16651553,0.07202116,0.8786187,-349.88026410615424,1.8002193448579729,-47.30948,7.626510230940767,0.1213996,137.05951652327096,-644.5631438641955,-0.46919602,0.0002724092,100,100,-4.0457683,2.460483395960182,0.33433401299407706,0.1380024710088037,8.595651,0.9925095,0.9699425,0.060449142,0.7503160238265991,-5.138038282819028,100.0,8.643872,-0.8009809255599976,-47.357967,-0.97431046,1.1054195329812935,2,102.0122247168443,-22.048182,15,-0.7401342914656615,8.791818,5,20.452425,-5.0068606396640165,0.004717569972854108,4500,-22.011124,0.016731149,0.0,0.0,1.3893406,-12.011548270618734,-0.86123556,-668.0048018991,100,0.0019444550271146,-13.160013,-500.6860639664017,5.051681
2200,1.9582060879911296,-15.33909,-1.3619393,-10.29725355311661,-0.2507266256926367,-392.3631435161385,-29.291853,-375.5330199882386,4.2832294,100.0,-1.5177007,-375.5330199882386,2200,60,100,0.5574993,-451.8026892782376,1.755297,0.0028447439544834197,0.60186386,22,-0.3897435,-59.463047,-0.6055681,-0.24127758,0.07696633,0.9036375,-203.36345615062174,1.0715695861132488,-60.83394,10.059803278767504,0.13144733,49.86938899456384,-580.4732066405023,-0.59784067,0.017382752,100,100,-3.9097672,2.4289882728480734,0.32357030297862366,0.13769228995079175,8.413946,0.99172384,0.9059974,-0.053729516,0.6555025577545166,-3.755330199882387,100.0,8.4907465,-1.0997867584228516,-59.643612,-0.98927593,1.1893330560313287,3,102.62439633958442,-29.212297,15,-2.244610554528744,8.822462,5,27.64085,-4.518026892782376,0.00473933998728171,6000,-29.175203,0.011930044,0.0,0.0,1.3997858,-11.200344289202967,-0.83637094,-538.3259553805989,100,0.0019355079857632518,-15.362661,-451.8026892782376,4.2003345
2700,1.9652737849974073,-18.495543,-6.7510576,-11.255343328158837,-1.0916100645076776,-216.54285675413405,-37.355244,-367.4032236389428,14.300977,100.0,-1.3680737,-367.4032236389428,2700,75,100,0.5316833,-326.97379874852334,3.2894547,0.002815040003042668,0.70963717,27,-0.4522992,-74.47745,-0.31250173,-0.28101367,0.08300113,0.95110166,-125.25907291927864,1.2452070271058104,-77.50598,12.511883160739671,0.15000479,88.21247872590868,-624.028623525444,-0.6762853,0.027646404,100,100,-3.101017,2.4477735030231997,0.32780290802475065,0.13613680901471525,10.32371,0.9867804,1.3137151,0.11247307,0.5720657110214233,-3.6740322363894276,100.0,10.337022,-1.290917158126831,-74.076775,-0.95065665,1.8069496963875764,4,167.20424501609443,-37.425106,15,-0.47521491315086106,10.8945,5,36.151012,-3.2697379874852337,0.004751059983391315,7500,-37.401802,0.0105977645,0.0,0.0,1.6579952,-9.606083756235588,-0.8596528,-479.64973262289794,100,0.010993900999892503,-18.58712,-326.97379874852334,14.014427
3200,1.9572467859834433,-20.91853,-20.4093,-9.286124995060883,-0.9289561203201295,-213.70537852937022,-43.422928,-412.3569017617162,2.2672796,100.0,-1.9920346,-412.3569017617162,3200,90,100,0.5006813,-371.67523046749386,3.645172,0.0028570190188474953,0.73983306,32,-0.49714375,-87.94401,-0.52934355,-0.32096875,0.086666085,0.9473899,-99.53551399508498,1.5261725754310642,-85.55017,14.947478864749428,0.12736793,140.29706079557394,-618.1071345001544,-0.6863484,-0.008871099,100,100,-4.001055,2.4311438830918632,0.3262509449850768,0.13820486702024937,13.014946,0.98212624,1.3253644,0.09752505,0.4997083246707916,-4.123569017617161,100.0,12.969232,-1.754001259803772,-87.97424,-0.96776426,1.702523719454011,5,164.43660858848799,-42.77368,15,-0.9489896756824396,12.738315,5,41.10983,-3.7167523046749387,0.0047375180292874575,9000,-42.830273,0.0053602112,0.0,0.0,1.7659756,-6.89947124325438,-0.8997937,-541.1621978108199,100,0.00184674805495888,-20.487988,-371.67523046749386,1.9531081
3700,1.92833880498074,-17.339226,-1.5491403,-9.5467870559345,-0.10018253434150307,-120.7834744744503,-51.052147,-375.1087177966953,38.386242,100.0,-1.8563198,-375.1087177966953,3700,105,100,0.52248293,-387.84643702279385,3.4704015,0.002845887967851013,0.82463604,37,-0.5823114,-92.90556,-0.18283324,-0.36701807,0.104545444,0.9480026,-90.82007391663994,1.9245295917071923,-92.00334,17.363029671658296,0.13039051,169.64902647127644,-598.968016513342,-0.8389433,-0.0033011246,100,100,-5.0693855,2.41208924993407,0.3332233960391022,0.14091688999906182,15.689637,0.9876346,1.3961557,0.04162237,0.43634963035583496,-3.751087177966953,100.0,15.714216,-1.8096740245819092,-92.83595,-0.97552276,1.7140296235234556,6,164.618358577212,-51.36987,15,-0.04970676400623311,16.753021,5,49.56646,-3.878464370227939,0.004838055989239365,10500,-51.37043,-0.0029265939,0.0,0.0,1.8895304,-10.150397047820059,-0.90046686,-620.1108368850336,100,0.001926214958075434,-16.88483,-387.84643702279385,37.80065
4200,1.9228193979943171,-17.692015,-4.4100113,-9.990935149550978,-0.8991247921214389,-158.02977810477375,-52.69137,-338.5554228807308,32.825684,100.0,-2.0393388,-338.5554228807308,4200,120,100,0.4981041,-389.39309013826477,2.4624484,0.002777205954771489,0.8105541,42,-0.63711023,-89.84517,-0.23843968,-0.34447244,0.14009692,0.9704647,-154.13667491134754,1.822219842768214,-92.87303,19.7631741235964,0.18520875,159.34092585749391,-638.995821662701,-0.89725626,0.004160979,100,100,-2.5255218,2.395835442992393,0.32848270499380305,0.1363290210138075,16.837557,0.9863091,1.0637954,-0.0149910115,0.3807431161403656,-3.3855542288073086,100.0,16.838257,-2.160905361175537,-89.510506,-0.9824202,1.9227208005797451,7,169.9654592007908,-52.685463,15,-0.19335000594555377,17.645006,5,51.01522,-3.893930901382648,0.0034960309858433902,12000,-52.671017,0.014594025,0.0,0.0,1.8277354,-8.453856795966956,-0.9396354,-642.2945220792349,100,0.0019310820498503745,-17.58795,-389.39309013826477,32.47764
4700,1.9536402499652468,-18.467293,-5.1383677,-11.30894093765086,-0.1508909310674306,-94.40975039790106,-58.3211,-365.8103362339143,16.199858,100.0,-1.8712866,-365.8103362339143,4700,135,100,0.46679643,-329.0011742808361,3.6446233,0.002845199021976441,0.7854157,47,-0.7447064,-99.79602,-0.0470492,-0.43245608,0.14476712,0.9855381,-57.32503713334958,1.6706434755967292,-100.26576,22.20043745165458,0.1462087,146.6092601103508,-623.9268311407159,-1.0606799,0.019383758,100,100,-7.2451463,2.433050311927218,0.3306225609849207,0.13917777000460774,17.2968,0.98306894,1.481013,0.05014282,0.33216479420661926,-3.6581033623391424,100.0,17.30848,-2.255546808242798,-100.053474,-0.9588552,1.9191514140961992,8,183.47072844104235,-58.057186,15,-0.12352947929155575,18.283665,5,56.84298,-3.2900117428083613,0.0047918399795889854,13500,-58.120342,0.007151278,0.0,0.0,2.1389794,-8.925690871627461,-0.9321529,-504.4840089532602,100,0.0019726919708773494,-18.696993,-329.0011742808361,16.277882
5200,1.9520084459800273,-20.665041,-1.5491403,-10.743688146645361,-0.05381583050856121,-108.21967137119887,-64.50462,-351.6933346755888,70.07261,100.0,-2.2654192,-351.6933346755888,5200,150,100,0.42821375,-239.90184341196823,4.9360023,0.0030594629934057593,0.80427325,52,-0.75058347,-98.54903,0.061317608,-0.37154716,0.15143122,0.9871017,-80.76203073170907,1.1293397409625605,-96.26288,24.640195509593468,0.14710397,65.88340135969567,-601.9499800978156,-1.1292448,0.0067022643,100,100,-2.4119728,2.4354835269623436,0.33347204700112343,0.1401628950261511,16.311813,0.98304605,1.3522576,-0.094158486,0.2900243401527405,-3.5169333467558874,100.0,16.348724,-2.399155855178833,-98.81181,-0.9446001,1.6654433705671006,9,152.85604582857093,-65.509605,15,-0.09156129201723817,18.44052,5,64.24458,-2.3990184341196827,0.0047596319927833974,15000,-65.491425,0.021030964,0.0,0.0,2.103993,-10.498964450850565,-0.910902,-276.2722107500698,100,0.0020210439688526094,-20.704418,-239.90184341196823,70.291275
