trainer/Log Pis Std,trainer/Policy log std Max,evaluation/path length Min,exploration/Returns Min,exploration/Actions Min,trainer/Q Targets Std,exploration/Actions Mean,trainer/Policy mu Mean,exploration/path length Min,exploration/Rewards Max,evaluation/path length Mean,Epoch,evaluation/Actions Min,trainer/Q2 Predictions Std,trainer/Policy Loss,exploration/Average Returns,trainer/Policy mu Max,trainer/Policy mu Std,evaluation/Returns Max,exploration/num paths total,trainer/Log Pis Min,evaluation/Average Returns,time/saving (s),evaluation/Actions Max,exploration/Num Paths,evaluation/Returns Min,trainer/Q1 Predictions Mean,evaluation/Actions Std,exploration/Rewards Mean,trainer/Alpha Loss,trainer/Policy log std Std,exploration/Rewards Min,exploration/Rewards Std,time/exploration sampling (s),time/training (s),trainer/Policy log std Min,evaluation/path length Std,evaluation/Rewards Max,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Log Pis Mean,trainer/QF2 Loss,exploration/Returns Max,exploration/Actions Std,exploration/path length Std,evaluation/num paths total,evaluation/Rewards Min,exploration/Actions Max,exploration/Returns Mean,trainer/Q Targets Max,trainer/Log Pis Max,exploration/Returns Std,replay_buffer/size,time/logging (s),trainer/Q1 Predictions Max,time/total (s),time/data storing (s),time/epoch (s),evaluation/Returns Std,evaluation/Rewards Std,evaluation/num steps total,time/evaluation sampling (s),trainer/QF1 Loss,trainer/Q Targets Mean,trainer/Q2 Predictions Max,trainer/Q Targets Min,exploration/path length Max,evaluation/Num Paths,evaluation/Returns Mean,trainer/Policy log std Mean,evaluation/Actions Mean,evaluation/path length Max,exploration/path length Mean,trainer/Policy mu Min,trainer/Q2 Predictions Min,evaluation/Rewards Mean,trainer/Q2 Predictions Mean,trainer/Alpha,exploration/num steps total
0.29373372,0.001946087,100,-997.3471220471283,-0.99679136,2.9534976,-0.022629155,-0.0008053836,100,-0.8665603230276588,100.0,0,-0.0014029236,0.0014249886,-1.3176215,-738.5280669549677,0.00019518752,0.00052977283,-206.50520636383018,7,-1.8354266,-512.3605578874098,0.0022515379823744297,6.2808336e-05,5,-944.3858996282743,0.0026098788,0.00044001167,-7.385280669549677,-0.0,0.0005113609,-12.23594586781584,2.923360809056246,0.16372258099727333,2.1204035070259124,-0.00060299726,0.0,-2.024529341283691,0.00059460796,0.0017684033,-1.318232,51.60294,-292.3780468757787,0.62305576,0.0,15,-9.53928415952294,0.99495554,-738.5280669549677,-1.0402201,-0.57831013,252.61009045524406,700,0.005127832992002368,0.007899163,2.8401090720144566,0.003208479000022635,2.6173339819943067,225.1710979011711,2.251856085597642,1500,0.3226200439967215,51.63798,-6.5483494,0.0017292011,-11.306709,100,15,-512.3605578874098,0.00018423707,-0.0006567325,100,100.0,-0.002017722,-0.0036371674,-5.1236055788740975,-0.0005275829,0.9997000694274902,700
0.63557005,-0.116543256,100,-1038.9910520826452,-0.99246126,4.056955,0.08676164,0.16314182,100,-0.8987191479486587,100.0,1,-0.4424081,4.538031,10.114057,-827.5906367650825,0.72674686,0.31120017,-187.68756578043306,12,-3.3264291,-662.3385727076161,0.002016970014665276,0.5687425,5,-1085.609581390612,-11.432738,0.14534156,-8.275906367650828,-0.48385855555534363,0.04198701,-12.437960065482308,2.3101551865800842,0.1608878450060729,2.1503153080120683,-0.28968996,0.0,-0.34668518653085517,-23.024538,4.512369,-1.2654382,13.871936,-642.6778357279198,0.5921976,0.0,30,-10.858808251854338,0.9965512,-827.5906367650825,-5.022872,0.2968778,135.29694328279493,1200,0.00504619799903594,-6.0128646,5.541714142076671,0.003154070000164211,2.696739953040378,345.89325230316757,3.702321927379843,3000,0.3753195620083716,14.331169,-13.428311,-6.063875,-22.542938,100,15,-662.3385727076161,-0.17734775,0.06171146,100,100.0,-0.67672473,-23.226624,-6.623385727076158,-11.484594,0.8620320558547974,1200
0.9551229,-0.23901749,100,-476.8054015734705,-0.9770612,7.3296833,0.0034907786,0.043273993,100,-1.1615873012056295,100.0,2,-0.7495203,6.685453,21.3221,-390.9813172453417,1.3013307,0.6501117,-315.47170364408106,17,-2.942546,-437.09376139773036,0.00204886999563314,0.868657,5,-525.5722612850524,-22.893526,0.1168177,-3.9098131724534158,-0.8032627105712891,0.068595804,-9.945328861880064,1.2067452560341276,0.16202425200026482,2.1020571870030835,-0.54173744,0.0,-1.82509712324234,-36.42991,6.5723147,-0.83310205,3.1189384,-293.8875216293242,0.5571078,0.0,45,-11.40884194593877,0.9894894,-390.9813172453417,-1.8986312,2.202394,64.07515847202343,1700,0.004487327998504043,-11.255273,8.180930012051249,0.003546645981259644,2.6348882209858857,67.00380385035943,0.8179057789885762,4500,0.36072393800714053,3.1851485,-22.891558,-10.900054,-37.195988,100,15,-437.09376139773036,-0.33011436,0.010764898,100,100.0,-1.4899018,-36.419533,-4.370937613977303,-22.849089,0.7529333233833313,1700
1.073883,-0.34528846,100,-461.91638947210487,-0.9897235,10.196946,0.00887016,0.10388034,100,-0.7803779940135745,100.0,3,-0.7977917,10.123803,27.097717,-334.95334471991305,1.63419,0.7071266,-208.03169136742716,22,-3.2944288,-321.9504104643227,0.0021778260124847293,0.9262973,5,-443.21231286300235,-28.926874,0.13404852,-3.34953344719913,-1.0446170568466187,0.054230876,-8.740289956544586,1.3274384862375372,0.16508947702823207,2.1261918139935005,-0.5986916,0.0,-1.1504595321415378,-52.34946,10.060125,-0.53818727,1.2477912,-212.7272548007483,0.5559019,0.0,60,-9.638788256439497,0.9926351,-334.95334471991305,-15.482285,2.3254776,102.33885777195889,2200,0.004397370998049155,-15.098705,10.840731956035597,0.003346175013575703,2.655400415038457,77.12188305837915,1.0347347892629049,6000,0.35419775199261494,1.3640591,-29.363453,-15.158846,-52.435226,100,15,-321.9504104643227,-0.4459388,0.021362871,100,100.0,-1.7032912,-52.76527,-3.219504104643227,-28.936495,0.6624544858932495,2200
1.6775038,-0.3593944,100,-345.6824510033717,-0.98387104,13.132162,0.0035753488,0.13742507,100,-0.4005905449425936,100.0,4,-0.8911913,13.080218,36.566742,-261.64743231628853,1.8530978,0.92512614,-157.82205669185097,27,-4.495734,-222.35834109846382,0.0020107930176891387,0.9421012,5,-328.29339388848484,-38.55901,0.1528332,-2.616474323162885,-1.1157193183898926,0.078229375,-8.526327258508543,1.117585338399137,0.1660308519785758,2.0822536050109193,-0.6971387,0.0,-0.9488978311215424,-62.89663,13.098767,-0.073670775,1.8713183,-180.60438782174091,0.52266735,0.0,75,-10.254494925784126,0.9895288,-261.64743231628853,-18.906385,3.1808014,52.64140936924424,2700,0.0049199379864148796,-17.901266,13.495872715080623,0.0032403070072177798,2.65079670198611,56.415532282548185,0.9201198411588767,7500,0.39234120698529296,2.1079595,-39.157997,-17.847904,-64.206024,100,15,-222.35834109846382,-0.5317829,0.015383782,100,100.0,-1.8060315,-62.346706,-2.2235834109846384,-38.61333,0.5837493538856506,2700
1.599055,-0.34549546,100,-304.2266812038056,-0.9808529,14.758921,-0.013572201,0.10056656,100,-0.14965203800817073,100.0,5,-0.9266117,13.398164,38.861664,-256.74528929904284,1.8579533,0.8930306,-116.10969311625304,32,-6.1460447,-181.83808372471879,0.0021929930080659688,0.9566596,5,-284.1007786708417,-40.858406,0.1625359,-2.5674528929904277,-1.3964109420776367,0.08158869,-9.018078624934642,1.066424220791371,0.1633686719869729,2.113893507019384,-0.6985839,0.0,-1.0704850060223623,-72.36346,13.40959,-0.10261427,26.232954,-138.2262184138817,0.5052211,0.0,90,-9.281967816579233,0.9713154,-256.74528929904284,-2.4064193,3.392912,60.56933627063391,3200,0.004296207014704123,-20.124105,16.144535086059477,0.0031719389953650534,2.6438536180357914,62.547277736488084,0.9706254435434194,9000,0.35693030001129955,26.186441,-40.70915,-20.565346,-76.73917,100,15,-181.83808372471879,-0.5636518,0.010141658,100,100.0,-1.8294047,-73.00681,-1.8183808372471881,-40.837807,0.5145956873893738,3200
1.3749329,-0.41885105,100,-232.8192078750071,-0.9873455,14.620515,0.01600406,0.1510421,100,-0.07840196547031524,100.0,6,-0.9589713,14.153679,42.486725,-160.39387297794468,2.1038957,0.9085228,-75.19140816073832,37,-3.2641592,-155.7986222942435,0.0021699719945900142,0.94232404,5,-225.63085933202777,-44.624855,0.15345669,-1.6039387297794465,-1.5694009065628052,0.082533896,-9.066734753655703,1.0106063813793036,0.16480748399044387,2.180281056993408,-0.7814786,0.0,-0.1751177426922834,-79.04093,14.164922,0.014754545,5.7475433,-104.98706425088437,0.46702635,0.0,105,-8.566208130969178,0.9886838,-160.39387297794468,-1.3300549,3.7847695,42.47042862973913,3700,0.005041986994910985,-21.752058,18.866416712058708,0.003319384006317705,2.717484461987624,50.654767297907505,0.7875085577026814,10500,0.36186457800795324,5.9093103,-44.447807,-22.04912,-82.01895,100,15,-155.7986222942435,-0.64943814,-0.00494902,100,100.0,-2.1499224,-79.553406,-1.5579862229424348,-44.567886,0.45349037647247314,3700
1.5069156,-0.43294424,100,-175.5784887424103,-0.9823711,16.6407,0.0057610073,0.059249073,100,-0.026485083452988428,100.0,7,-0.9630834,16.145048,42.068325,-136.50296683870639,2.0230367,0.9267133,-72.20391186995971,42,-2.3788104,-139.89637984966785,0.002266581985168159,0.9700567,5,-217.34037858669495,-43.92008,0.17333253,-1.3650296683870633,-1.657007098197937,0.10143803,-8.521289508647866,0.8241096327697172,0.1619719190057367,2.1520496180164628,-0.8657931,0.0,-0.5325775738696065,-86.23914,16.195267,0.18969254,1.5167116,-86.48083861769784,0.45042154,0.0,120,-9.92293676523182,0.97071093,-136.50296683870639,-22.947897,4.339769,29.315919642189808,4200,0.004081165010575205,-22.872646,21.5519507380086,0.0029895909829065204,2.6809575079823844,42.463636890064464,0.9644544353293819,12000,0.35759863298153505,1.5693376,-44.452335,-23.118202,-90.12318,100,15,-139.89637984966785,-0.7086795,-0.0014659713,100,100.0,-2.113625,-86.42198,-1.3989637984966787,-43.896885,0.40029120445251465,4200
1.3330166,-0.45700014,100,-150.29767386118183,-0.973321,16.738802,-0.015559378,0.02843637,100,-0.045055346227553354,100.0,8,-0.9751405,15.64283,44.5133,-123.7836907501965,2.1941133,0.907103,-45.532436402047544,47,-2.9886215,-111.26299591042356,0.0021780640236102045,0.9808829,5,-178.15098134589945,-45.94686,0.17551845,-1.237836907501965,-1.962827444076538,0.15395296,-5.060411654157596,0.5994152351304345,0.15880759799620137,2.1804503759776708,-1.0774596,0.0,-0.2599134677424758,-94.95992,15.587121,0.113403894,19.259832,-76.38635066490531,0.42586577,0.0,135,-10.545475604131646,0.92233646,-123.7836907501965,-1.8390563,3.922966,27.779478638643976,4700,0.0050981289823539555,-23.475681,24.26605409302283,0.0031910070101730525,2.70951142400736,46.55586707420826,1.0202391775655715,13500,0.35978625001735054,19.168848,-46.380646,-23.653637,-99.72894,100,15,-111.26299591042356,-0.80772215,-0.008846006,100,100.0,-2.3309853,-95.20888,-1.112629959104235,-45.947315,0.3532223105430603,4700
1.589569,-0.45529166,100,-174.9829614983664,-0.98912954,16.914577,0.0067729168,0.14555204,100,-0.12558307226489707,100.0,9,-0.974497,16.219637,45.802853,-135.97833858211968,2.2349799,0.9076991,-37.82897527991436,52,-4.86017,-121.15997857218326,0.00206954701570794,0.978131,5,-192.1589764631445,-47.124115,0.17223583,-1.3597833858211965,-1.9160979986190796,0.18294786,-10.026975840955787,1.0947510772575082,0.16013973698136397,2.241897469997639,-1.2270979,0.0,-0.195101153350299,-93.88317,16.18817,0.35583648,7.192337,-66.74072351134679,0.427002,0.0,150,-10.585027965216769,0.99027985,-135.97833858211968,-1.8567082,5.2950926,36.51023198395207,5200,0.005492056981893256,-23.453224,27.044196210015798,0.003066945995669812,2.773705595958745,37.48379614068954,0.9341560685860147,15000,0.3610398389864713,7.262861,-47.51378,-23.59771,-98.57798,100,15,-121.15997857218326,-0.8660729,0.0045733238,100,100.0,-2.0741663,-94.11764,-1.2115997857218326,-47.12854,0.31171998381614685,5200
