trainer/Q2 Predictions Min,trainer/Q1 Predictions Std,evaluation/Actions Min,trainer/Q2 Predictions Std,time/training (s),trainer/Policy log std Min,evaluation/Num Paths,evaluation/Rewards Std,evaluation/path length Max,exploration/Actions Mean,trainer/Q1 Predictions Mean,exploration/Returns Min,trainer/Log Pis Min,evaluation/path length Std,evaluation/Average Returns,trainer/Q2 Predictions Mean,evaluation/num paths total,trainer/Policy log std Std,exploration/path length Max,evaluation/num steps total,evaluation/Returns Max,exploration/Average Returns,evaluation/Returns Mean,exploration/path length Min,exploration/Num Paths,exploration/Returns Std,trainer/Alpha,evaluation/Rewards Max,exploration/Rewards Std,time/epoch (s),exploration/Actions Std,exploration/num paths total,evaluation/Rewards Mean,time/exploration sampling (s),time/logging (s),evaluation/Actions Std,exploration/Actions Min,trainer/Q2 Predictions Max,exploration/path length Mean,evaluation/Returns Min,trainer/Policy mu Mean,evaluation/Actions Mean,trainer/Log Pis Std,time/total (s),exploration/Returns Mean,trainer/Policy Loss,trainer/Policy log std Max,evaluation/path length Mean,Epoch,time/evaluation sampling (s),exploration/Rewards Max,exploration/num steps total,trainer/Policy log std Mean,time/saving (s),trainer/Q Targets Min,trainer/QF1 Loss,exploration/Actions Max,trainer/Policy mu Min,evaluation/Actions Max,trainer/Q1 Predictions Max,trainer/QF2 Loss,trainer/Log Pis Mean,trainer/Q Targets Mean,trainer/Policy mu Std,time/data storing (s),evaluation/path length Min,trainer/Policy mu Max,evaluation/Returns Std,evaluation/Rewards Min,exploration/Rewards Min,trainer/Q Targets Std,trainer/Log Pis Max,exploration/path length Std,trainer/Alpha Loss,trainer/Q Targets Max,replay_buffer/size,exploration/Returns Max,exploration/Rewards Mean,trainer/Q1 Predictions Min
-0.0035327952,0.0008749315,-0.001227763,0.0007908824,2.139067400014028,-0.0008575721,15,2.6592924364911577,100,-0.021630349,0.002162872,-972.7803945378088,-1.975144,0.0,-654.534205541005,-0.001294128,15,0.0005390727,100,1500,-126.4453528250971,-596.9283541534971,-654.534205541005,100,5,216.34364048446176,0.9997000694274902,-1.2639545792826747,2.7972176564684443,2.630934538989095,0.62368006,7,-6.545342055410047,0.16120500199031085,0.005370361002860591,0.00056357816,-0.9980696,0.0006821137,100.0,-1065.1346305015636,0.00033862292,0.0001890379,0.29895893,2.8776172070065513,-596.9283541534971,-1.3420498,0.0016932439,100.0,0,0.3189871179929469,-0.08603860434798895,700,0.0008309485,0.002303410990862176,-12.692022,61.84411,0.9952943,-0.0011270406,0.0010179055,0.004359726,61.795055,-1.3433087,-7.195991,0.0005089245,0.004001246998086572,100,0.0010124496,265.92394912722267,-10.70658652472347,-11.11836139719845,3.1673715,-0.5410087,0.0,-0.0,-0.52583265,700,-375.13144166073056,-5.969283541534972,0.00017084251
-22.0899,4.0728903,-0.4538823,4.001718,2.1235080560145434,-0.28082114,15,1.1671500730288475,100,0.012084679,-12.227511,-585.2884358551322,-2.306674,0.0,-495.88398619142305,-12.201653,30,0.038315665,100,3000,-387.65339543255055,-471.90760467794263,-495.88398619142305,100,5,96.66682155983534,0.8611354827880859,-0.7876661539449742,2.001733389966402,2.6375953100214247,0.58151996,12,-4.958839861914229,0.15660796701558866,0.0051616529817692935,0.08343016,-0.9881076,-6.2627006,100.0,-594.8941019442733,0.07473718,0.0026197173,0.41492143,5.520070947997738,-471.90760467794263,10.863102,-0.10336885,100.0,1,0.3467552639776841,-0.2102351083451669,1200,-0.1652055,0.002367861015954986,-21.83453,2.3150704,0.9911363,-0.46738285,0.47957033,-5.975886,2.8537843,-1.2308918,-12.574062,0.2566673,0.0031945090158842504,100,0.6281014,69.07209745101738,-11.605425623832266,-9.942229652004853,4.32828,-0.24057898,0.0,-0.48208922147750854,-5.3472304,1200,-338.0329952991995,-4.719076046779426,-22.09399
-39.704563,7.2694745,-0.8760307,7.220157,2.1207997930177953,-0.56149775,15,1.6307644626347195,100,-2.0632745e-06,-19.36339,-577.1163563883781,-2.4284496,0.0,-415.61100789329225,-19.301477,45,0.07011327,100,4500,-240.68597559242505,-398.0343026056272,-415.61100789329225,100,5,135.91615537500397,0.7535938620567322,-1.7352559192638102,1.6541716180238453,2.69002218300011,0.56915456,17,-4.1561100789329215,0.16419404098996893,0.005024627986131236,0.13925743,-0.97766554,-11.181543,100.0,-596.5263808473717,0.05866663,0.004347909,0.92172605,8.21477961805067,-398.0343026056272,17.58597,-0.23339531,100.0,2,0.39453681799932383,-0.8426185979033846,1700,-0.35015747,0.002195242006564513,-39.7024,1.4640342,0.99321884,-1.1260543,0.90649706,-11.355667,1.4052829,-0.7708399,-19.74801,0.59888405,0.003271661000326276,100,1.4489201,146.33459571752147,-9.834011725342169,-9.154142235773334,7.3093195,1.8018675,0.0,-0.7831867337226868,-11.000626,1700,-278.59225330052976,-3.980343026056273,-39.429596
-51.31512,10.408168,-0.93396604,10.478794,2.144118336989777,-0.6499827,15,2.690705416676192,100,0.0039510843,-27.231033,-723.1679510135813,-4.106841,0.0,-425.1327774001148,-27.277637,60,0.08217358,100,6000,-125.79244093831967,-465.1083867123795,-425.1327774001148,100,5,263.7239966152255,0.6639095544815063,-1.1929540526974969,2.7880818569420245,2.6650116989621893,0.53661186,22,-4.251327774001149,0.15784904299653135,0.004856081010075286,0.1588569,-0.9830699,-13.975347,100.0,-717.910995220924,0.19636326,0.013554146,1.2777995,10.884354395035189,-465.1083867123795,25.459654,-0.25462055,100.0,3,0.3523210219864268,-0.09714367486078263,2200,-0.4419938,0.0024054989917203784,-52.6672,11.707959,0.98250574,-1.4909714,0.93327296,-13.927226,11.681634,-0.43956783,-27.269547,0.7565102,0.003461716987658292,100,1.5800925,256.54477797423743,-9.762396574627495,-10.053716900686467,11.061715,2.552351,0.0,-0.9986702799797058,-3.016301,2200,-138.21948692896194,-4.651083867123795,-51.121586
-68.76397,13.348052,-0.8364776,13.338842,2.1473109269863926,-0.65937424,15,2.608521781217617,100,-0.009020611,-33.93732,-739.3474329056212,-5.636641,0.0,-396.8539518322272,-33.907684,75,0.09903996,100,7500,-119.32093572429811,-417.03668923957565,-396.8539518322272,100,5,210.84387962536,0.581963300704956,-0.38740691834938495,2.4182069103607695,2.701282533991616,0.5352997,27,-3.968539518322273,0.18290129999513738,0.005033732013544068,0.12514907,-0.98194635,-15.918479,100.0,-748.9563230517035,0.11819874,0.0078097987,1.4486113,13.589960325043648,-417.03668923957565,31.77973,-0.2516806,100.0,4,0.36066070199012756,-0.48322213682499976,2700,-0.46693367,0.0019376660056877881,-66.427475,25.610813,0.9625112,-1.3308841,0.95508844,-15.93594,25.822042,-0.3584103,-33.573708,0.7853638,0.003438207000726834,100,1.6630076,254.66432125808137,-9.945072310275599,-12.46020241893388,13.84633,2.8303313,0.0,-1.2761073112487793,-6.242088,2700,-167.4544898872783,-4.170366892395757,-69.25637
-85.28438,19.202688,-0.9176301,19.229103,2.104472961014835,-0.82564014,15,2.210593733984,100,-0.020297665,-44.54958,-514.1696329259988,-4.758031,0.0,-411.8431266917821,-44.5312,90,0.13168071,100,9000,-122.07213767424159,-389.0355189632415,-411.8431266917821,100,5,130.80687296995623,0.5083476305007935,-0.3310130432996953,1.5010607902881836,2.66721466803574,0.53407407,32,-4.118431266917821,0.16368870800943114,0.0048625050112605095,0.15646015,-0.98580945,-18.008083,100.0,-685.9747533400622,0.053463038,0.0037023597,1.6197318,16.26164937907015,-389.0355189632415,42.883472,-0.24135135,100.0,5,0.37239198200404644,-0.28303827641073126,3200,-0.52171046,0.018745868001133204,-86.898346,22.143282,0.9823208,-1.7502968,0.917171,-18.110868,22.883495,-0.31827503,-43.949303,0.7913031,0.003052643995033577,100,1.9074878,214.0360208069729,-10.256064023843534,-9.536686468916228,19.991413,3.4613366,0.0,-1.5679055452346802,-3.2520297,3200,-135.5216368562787,-3.8903551896324142,-85.02372
-94.934425,20.12154,-0.8995965,20.13628,2.176631048001582,-0.83116055,15,1.5901608176769382,100,0.005322319,-48.694878,-364.54642019188486,-5.32631,0.0,-389.59474048854776,-48.68932,105,0.12767461,100,10500,-130.72991879683664,-280.80878631642435,-389.59474048854776,100,5,100.24320773804642,0.44347965717315674,-1.2439863885919138,1.2912765464586615,2.700580283009913,0.50617284,37,-3.8959474048854768,0.1603938300104346,0.004316769016440958,0.13769716,-0.9795964,-19.662302,100.0,-618.6430944485794,0.12537965,0.0014018109,1.6804343,18.96658799110446,-280.80878631642435,46.686832,-0.27455786,100.0,6,0.3535188770038076,-0.3720560542416484,3700,-0.6017856,0.0020128850010223687,-93.77772,1.6563092,0.9911886,-1.8832632,0.9345357,-19.581528,1.6301206,0.12831616,-48.858265,0.9287936,0.003706873976625502,100,1.9835413,152.62012549022103,-10.554115260672829,-8.020905962081892,20.216927,4.2917976,0.0,-1.5213744640350342,-20.227922,3700,-148.47005118804674,-2.8080878631642445,-94.96594
-105.0042,24.858175,-0.96661144,24.888891,2.121124035009416,-0.91615033,15,1.6038034154421155,100,0.022849308,-49.86176,-629.738442297941,-4.1356487,0.0,-356.3428585696519,-49.848915,120,0.16161868,100,12000,-132.0260416754657,-375.36150477368574,-356.3428585696519,100,5,200.7265703232265,0.38630110025405884,-0.3323584889531533,2.188649659790474,2.6565872560604475,0.5098131,42,-3.5634285856965193,0.16436296500614844,0.004862081026658416,0.13182384,-0.9876856,-20.994278,100.0,-584.4306832803472,-0.03561282,-0.0023490754,1.4245981,21.627279867156176,-375.36150477368574,48.445835,-0.2966823,100.0,7,0.36098662900622003,-0.45763429940097033,4200,-0.66905105,0.0019868870149366558,-105.083244,37.72828,0.984362,-2.0281649,0.9080368,-21.073694,37.294857,-0.041428015,-49.85216,0.785636,0.0032646589970681816,100,1.9514503,152.86121155167382,-10.504712842421165,-11.047750966424289,25.669062,2.9844847,0.0,-1.9411239624023438,-4.6424866,4200,-146.6115120313291,-3.753615047736858,-104.93068
-101.74495,25.30581,-0.93969786,25.28272,2.183651145984186,-0.9710158,15,1.3772307887976385,100,0.015753604,-60.496147,-495.9403729735698,-3.8092892,0.0,-285.80404563963435,-60.515697,135,0.17470485,100,13500,-143.5633217943233,-332.02509663044674,-285.80404563963435,100,5,105.87255676803359,0.33672910928726196,-0.6308000453382746,1.3604477849068917,2.7049009959737305,0.4935197,47,-2.8580404563963433,0.16100070701213554,0.00460609799483791,0.16352154,-0.97900236,-22.39107,100.0,-497.9223126854977,-0.12913159,-0.014373538,1.450613,24.336742499144748,-332.02509663044674,58.96043,-0.29426336,100.0,8,0.35037251899484545,-0.8770418768515045,4700,-0.69718397,0.001948865974554792,-103.664215,135.25586,0.99232745,-1.8224987,0.9676649,-22.766191,134.59335,-0.046069287,-59.301773,0.81843704,0.003321660013170913,100,2.1091406,123.26742072402969,-10.137205643778735,-9.504499763998407,26.252073,4.068717,0.0,-2.2265372276306152,-6.138135,4700,-204.70181225111654,-3.3202509663044673,-101.72027
-123.778206,30.4219,-0.9583702,30.461943,2.114834167994559,-1.0583335,15,1.1539848099011292,100,-0.0116880145,-69.446655,-432.9364937717388,-4.140467,0.0,-243.30622176150567,-69.48152,150,0.18739249,100,15000,-137.9439299872256,-292.4361100170578,-243.30622176150567,100,5,104.53347858202768,0.29444459080696106,-1.297684200179226,1.5448453293373718,2.6456706039898563,0.4648214,52,-2.4330622176150563,0.16371060500387102,0.004483753000386059,0.1629286,-0.97195774,-23.82877,100.0,-417.6648224794997,-0.08196907,0.006536181,1.5375571,26.98676362010883,-292.4361100170578,68.11495,-0.35880697,100.0,9,0.35770135599887,-0.15451117904934986,5200,-0.7313427,0.001947376993484795,-124.01709,16.878103,0.994458,-2.0373828,0.9757769,-24.276247,18.176416,0.13501781,-69.648285,0.89544713,0.002993344998685643,100,2.1469324,94.21553723280864,-10.02276223176173,-10.937971286382203,31.072262,5.065057,0.0,-2.2797882556915283,-7.25931,5200,-174.7492489722122,-2.924361100170578,-123.802155
