evaluation/Actions Min,time/evaluation sampling (s),trainer/Alpha Loss,Epoch,exploration/Average Returns,time/data storing (s),evaluation/Rewards Mean,time/saving (s),evaluation/Rewards Std,time/training (s),evaluation/path length Max,trainer/Q2 Predictions Max,trainer/Log Pis Min,exploration/Rewards Min,trainer/Q2 Predictions Min,time/total (s),trainer/Policy log std Std,trainer/Q Targets Mean,exploration/path length Std,trainer/Policy mu Max,evaluation/path length Min,trainer/Q1 Predictions Std,evaluation/Rewards Max,exploration/Rewards Max,evaluation/Rewards Min,trainer/Q Targets Std,time/epoch (s),trainer/Q Targets Max,trainer/Q2 Predictions Mean,evaluation/Returns Min,evaluation/Returns Mean,replay_buffer/size,trainer/Policy log std Min,exploration/Actions Std,evaluation/path length Std,trainer/Log Pis Std,time/logging (s),trainer/Policy log std Mean,exploration/Actions Max,evaluation/Actions Mean,evaluation/num steps total,evaluation/num paths total,evaluation/Actions Max,evaluation/Returns Max,exploration/Returns Std,exploration/num paths total,trainer/Q2 Predictions Std,exploration/num steps total,trainer/Log Pis Mean,exploration/Rewards Mean,evaluation/Average Returns,evaluation/Returns Std,evaluation/Num Paths,trainer/QF2 Loss,trainer/Q1 Predictions Max,exploration/Returns Min,time/exploration sampling (s),trainer/Q1 Predictions Min,exploration/path length Max,trainer/Policy mu Min,trainer/Policy mu Std,trainer/Q Targets Min,exploration/path length Mean,evaluation/Actions Std,exploration/Actions Min,trainer/Policy mu Mean,evaluation/path length Mean,exploration/Returns Mean,trainer/QF1 Loss,exploration/path length Min,trainer/Q1 Predictions Mean,exploration/Rewards Std,exploration/Returns Max,trainer/Policy log std Max,trainer/Log Pis Max,trainer/Policy Loss,trainer/Alpha,exploration/Actions Mean,exploration/Num Paths
-0.001189574,0.28635839102207683,-0.0,0,-619.1612837306267,0.002768692997051403,-5.49943723663014,0.0026304999773856252,3.0225460729182427,2.000336247001542,100,0.0024817279,-2.9224849,-13.3098943686456,-0.0013432817,2.645353947969852,0.001513427,-6.457382,0.0,0.0028484915,100,0.0012005466,-1.5221529455780438,-0.2248848843533036,-10.113220703082575,3.1420557,2.436633762990823,-0.24926749,0.0005618921,-1008.1423003226105,-549.9437236630142,700,-0.003061906,0.6294667,0.0,0.38108638,0.005004361009923741,-0.0001197872,0.99812907,0.000761983,1500,15,0.00272713,-152.29558156979505,276.71253461671955,7,0.00079345325,700,-1.368747,-6.191612837306267,-549.9437236630142,302.23626181325125,15,51.57829,0.0041444544,-959.854519969791,0.13953557098284364,-0.00037761696,100,-0.0012642755,0.0011275924,-12.333509,100.0,0.0010427976,-0.9966028,0.00072398706,100.0,-619.1612837306267,51.59128,100,0.0013907359,3.3211443736101347,-215.69299330127126,0.0023028953,-0.69112706,-1.3692588,0.9997000694274902,0.028680094,5
-0.4714716,0.35663284701877274,-0.45927417278289795,1,-653.6494952723606,0.002955500007374212,-7.310959459616027,0.0015984150231815875,3.0258433206617927,1.9920900469878688,100,-5.8742003,-3.0718071,-11.270337957857508,-21.030945,5.1541387949255295,0.027158514,-12.930411,0.0,0.7446526,100,3.4042501,-1.0959606563433786,-0.11885741083547284,-11.334966125136233,4.189191,2.503827696025837,-5.6575303,-12.377988,-1126.1862042768023,-731.0959459616023,1200,-0.30751956,0.57173747,0.0,0.6154252,0.004832478996831924,-0.22807218,0.9934663,-0.085490346,3000,30,0.61716056,-173.41863025026979,184.3457141152504,12,3.4441533,1200,-1.1078882,-6.536494952723608,-731.0959459616023,273.1659208969413,15,5.308917,-6.2323103,-876.6128388267052,0.1457184079918079,-21.054426,100,-0.5320963,0.35733455,-22.379902,100.0,0.15326864,-0.99205834,-0.07119622,100.0,-653.6494952723606,4.7045393,100,-12.454576,2.513531017547194,-319.15918310754574,-0.15729272,0.6213381,10.947502,0.8623791933059692,-0.052769873,5
-0.8533292,0.32970341100008227,-0.7681431770324707,2,-410.11449830843213,0.002845807990524918,-4.353401269852547,0.0020103360002394766,1.087865934664172,1.945433001004858,100,-10.62663,-3.6622984,-8.567284408854283,-42.232754,7.582850731938379,0.06734682,-20.240004,0.0,1.5249804,100,8.462772,-2.2287458861656924,-1.2548737502274543,-11.543474015492855,8.57184,2.424468725977931,-5.083384,-19.80623,-553.349715884512,-435.3401269852548,1700,-0.52791375,0.55850136,0.0,1.0423315,0.005495377990882844,-0.33194962,0.98937637,-0.0033108736,4500,45,0.7728854,-268.4320489357435,59.61848638914101,17,8.607494,1700,-0.6949105,-4.101144983084321,-435.3401269852548,97.92034818217196,15,6.3571625,-10.9576235,-497.1142043082649,0.13898079199134372,-41.582424,100,-1.2868189,0.6195149,-43.849464,100.0,0.11117033,-0.9814116,0.015306698,100.0,-410.11449830843213,5.727195,100,-19.945559,1.1765851920683204,-309.75830173686023,-0.19205019,1.8870609,18.388956,0.751796305179596,0.014480827,5
-0.9098072,0.33294484901125543,-1.0627211332321167,3,-247.23347744148342,0.0027882980066351593,-3.102671777657774,0.0015822710120119154,1.5223370055584864,2.0246467879915144,100,-15.831068,-3.6093793,-7.01486591390428,-53.622498,10.093349105940433,0.07579696,-28.745329,0.0,1.7258708,100,10.442499,-0.8872992314894623,-0.12749610780583556,-11.617688062962502,10.60225,2.506042371998774,-16.303913,-28.850042,-470.9792264495591,-310.2671777657773,2200,-0.5449766,0.5454519,0.0,1.1339943,0.004845774994464591,-0.4079704,0.9664271,-0.0039516627,6000,60,0.89865667,-123.6573157355129,72.1380753400096,22,10.587943,2200,-0.5617893,-2.4723347744148345,-310.2671777657773,133.0147808445368,15,1.1421587,-16.269093,-390.21438924406874,0.13923439098289236,-53.3745,100,-1.4216738,0.72332674,-54.31654,100.0,0.1432896,-0.98361295,0.20993029,100.0,-247.23347744148342,0.99486333,100,-28.820982,1.1582648128347577,-195.23623775596386,-0.21371764,2.088335,27.212187,0.6602835655212402,0.008467703,5
-0.94360185,0.33069992501987144,-1.2775068283081055,4,-226.12301511673513,0.002933973999461159,-2.0704402288231587,0.0019085750100202858,1.2036974393448336,1.9324218120018486,100,-19.00837,-3.182254,-9.333804753863118,-65.46428,12.509058887982974,0.07915374,-33.61956,0.0,1.7181293,100,12.517556,-0.4571399529031595,-0.10292575214197654,-10.414334114009831,12.978199,2.411547021009028,-8.133372,-33.570805,-396.5874679305949,-207.04402288231591,2700,-0.6586148,0.52818316,0.0,1.2215126,0.004875674989307299,-0.47139183,0.985382,0.0014790824,7500,75,0.9533489,-107.36280599153973,111.29272893845636,27,12.536033,2700,-0.35250202,-2.261230151167351,-207.04402288231591,92.29899410951676,15,22.548767,-18.719456,-413.0363601415922,0.13870705998851918,-65.4489,100,-1.5966548,0.78149927,-69.141785,100.0,0.1512188,-0.9850461,0.12156726,100.0,-226.12301511673513,22.57455,100,-33.51029,1.4526175282850113,-126.84097041735444,-0.25923896,2.440288,31.450726,0.5808342099189758,0.018853027,5
-0.96019036,0.3242786399787292,-1.2619456052780151,5,-103.13405039648629,0.003032114007510245,-1.3670263477679103,0.001950692996615544,1.1912910590954942,1.9498096549941693,100,-20.281471,-4.8290753,-8.914159337405138,-78.71529,14.943623303930508,0.08747913,-35.913754,0.0,1.7407968,100,16.39855,-0.26891388410650924,-0.04176609905817287,-10.360780299147757,16.665369,2.430368967994582,-1.1839628,-36.18619,-288.44211575172324,-136.70263477679106,3200,-0.7376635,0.48814204,0.0,1.3626102,0.0047847510140854865,-0.5739968,0.9818906,0.010691882,9000,90,0.9503391,-61.82874605397369,10.167726553699161,32,16.366299,3200,0.12195305,-1.0313405039648629,-136.70263477679106,78.6555162942524,15,48.224224,-20.147993,-117.6947542327539,0.1465131150034722,-78.579994,100,-1.8826194,0.87858015,-77.921906,100.0,0.1653046,-0.99481845,0.11802526,100.0,-103.13405039648629,48.29694,100,-36.134922,0.8306309547346773,-90.90965963716182,-0.32453796,3.169922,34.173233,0.5105855464935303,-0.009107048,5
-0.9668761,0.3330660540086683,-1.4497300386428833,6,-161.83739867874837,0.002886617003241554,-1.5573432045441777,0.0019579829822760075,1.4180787763925633,1.9449685069848783,100,-21.807285,-3.5508027,-9.292928551962063,-80.61949,17.37896700989222,0.10698286,-35.773212,0.0,2.1782944,100,15.921359,-0.1765429747159899,-0.03894047903914369,-10.39706631575605,15.645789,2.430638943973463,-8.133372,-36.139027,-376.26749119116795,-155.73432045441777,3700,-0.81923467,0.49542025,0.0,1.4838707,0.0049180680071003735,-0.65412277,0.99000496,-0.0053507537,10500,105,0.94830346,-27.092616639836027,99.0116922219521,37,15.970915,3700,0.19096933,-1.6183739867874838,-155.73432045441777,116.18553367056501,15,38.97414,-21.708288,-359.61062145605194,0.14284171498729847,-80.553764,100,-1.793706,0.8652975,-80.299126,100.0,0.16065383,-0.96357065,0.12263283,100.0,-161.83739867874837,38.685856,100,-36.126488,1.410944194986934,-107.68043187128517,-0.31851503,3.5724714,34.61263,0.4485951066017151,0.008823567,5
-0.97093284,0.330309793993365,-1.7105282545089722,7,-255.28165757734786,0.002944142004707828,-1.3380046048197494,0.001941763999639079,1.538074681169406,1.9426592760137282,100,-22.416374,-4.271151,-6.903810842254201,-86.50487,19.809993995906552,0.14457026,-43.2465,0.0,2.2554538,100,19.535507,-0.23768843502224765,-0.07032671128983414,-10.371281172251797,19.781303,2.426817221014062,-22.332685,-43.045914,-374.9081561656187,-133.80046048197494,4200,-0.90008885,0.47324684,0.0,1.7195989,0.004828756005736068,-0.6700003,0.98666984,0.006757499,12000,120,0.98132426,-42.13303908464402,130.57578229092408,42,19.53722,4200,0.16341764,-2.552816575773478,-133.80046048197494,119.28812146567269,15,1.0910053,-22.548798,-393.36178676727064,0.14413348899688572,-86.57554,100,-1.8883381,0.8767609,-90.43529,100.0,0.18249235,-0.9790846,0.1105719,100.0,-255.28165757734786,1.1135552,100,-43.010113,1.5366228500305554,-84.3478778810726,-0.41207057,4.402803,41.424477,0.3939134478569031,0.011319783,5
-0.95210695,0.3282692430075258,-1.9845408201217651,8,-221.4781954372359,0.002990530017996207,-1.7118896540512687,0.0019327030167914927,1.317180741096352,1.9588617199915461,100,-22.327173,-5.151668,-7.638555034593136,-96.25597,22.254722814948764,0.15194567,-40.351994,0.0,1.9978907,100,19.6489,-0.4304878380438114,-0.08293283551167412,-9.906660822506606,20.679913,2.440468648012029,-1.4872288,-41.72151,-309.56634338599827,-171.18896540512688,4700,-0.92961496,0.4797464,0.0,1.4243205,0.004826880991458893,-0.7349446,0.98689437,0.019793885,13500,135,0.9733152,-43.88352057559954,105.03631790859369,47,19.67813,4700,0.13257515,-2.2147819543723584,-171.18896540512688,103.25974962775574,15,79.952675,-22.560097,-315.09642793537415,0.1435875709867105,-96.6314,100,-2.177588,0.8332504,-99.083786,100.0,0.16805099,-0.9828482,0.07511017,100.0,-221.4781954372359,78.76942,100,-41.71177,1.2784723259270396,-76.99289941230667,-0.3848028,3.6357217,39.96981,0.3454228341579437,0.002279663,5
-0.97414815,0.3329587399784941,-2.332306146621704,9,-147.60430870645294,0.0027378940139897168,-1.6437229492163805,0.0019474709988571703,1.3875874169050735,1.995167549001053,100,-22.813942,-3.3688898,-7.668138722029971,-104.62194,24.74272558200755,0.19025223,-39.967804,0.0,2.2090464,100,20.248455,-0.06037072108321605,-0.02662510039179153,-10.04437396028993,22.156076,2.4837841559783556,-0.5817776,-41.054718,-300.69163843648164,-164.3722949216381,5200,-1.1060911,0.46114418,0.0,1.4839298,0.004831404978176579,-0.8124411,0.9947118,0.004621751,15000,150,0.98639506,-16.999011986518987,108.8894382222641,52,20.231775,5200,0.051119346,-1.4760430870645296,-164.3722949216381,111.44279945382493,15,37.887558,-22.933704,-307.54582826700465,0.146141097007785,-104.804146,100,-2.3163552,0.8279018,-105.79224,100.0,0.17035736,-0.97916037,0.08860892,100.0,-147.60430870645294,37.85445,100,-41.093224,1.2503186582278158,-57.57748585004691,-0.37803936,4.892759,39.467415,0.30209881067276,-0.009482734,5
