trainer/Log Pis Std,trainer/Alpha,exploration/Rewards Std,trainer/Q1 Predictions Max,exploration/Returns Max,evaluation/Returns Std,exploration/num paths total,evaluation/path length Mean,exploration/Returns Min,trainer/Policy mu Mean,trainer/Q2 Predictions Std,evaluation/Actions Max,trainer/Alpha Loss,time/data storing (s),evaluation/Returns Mean,trainer/Q2 Predictions Mean,trainer/Q Targets Std,exploration/path length Min,evaluation/Returns Min,trainer/Log Pis Min,evaluation/Returns Max,evaluation/Actions Std,trainer/Log Pis Mean,trainer/Policy log std Min,time/epoch (s),trainer/Policy log std Max,trainer/Policy log std Mean,exploration/Returns Std,trainer/Q Targets Max,evaluation/Num Paths,evaluation/Rewards Min,exploration/path length Max,evaluation/Rewards Mean,time/total (s),evaluation/Average Returns,trainer/QF1 Loss,Epoch,trainer/Q2 Predictions Min,evaluation/num paths total,trainer/Policy mu Max,exploration/Num Paths,evaluation/path length Min,evaluation/Actions Mean,exploration/path length Mean,trainer/Q1 Predictions Min,exploration/num steps total,exploration/Actions Mean,time/logging (s),trainer/Policy Loss,exploration/Average Returns,exploration/Rewards Min,trainer/Q1 Predictions Std,exploration/Actions Max,evaluation/path length Max,time/saving (s),trainer/Policy mu Std,trainer/QF2 Loss,exploration/path length Std,trainer/Q Targets Min,time/evaluation sampling (s),exploration/Rewards Mean,evaluation/num steps total,trainer/Log Pis Max,trainer/Policy log std Std,trainer/Q Targets Mean,exploration/Rewards Max,exploration/Returns Mean,evaluation/Rewards Std,evaluation/Rewards Max,trainer/Policy mu Min,exploration/Actions Std,evaluation/path length Std,evaluation/Actions Min,exploration/Actions Min,replay_buffer/size,time/exploration sampling (s),trainer/Q2 Predictions Max,trainer/Q1 Predictions Mean,time/training (s)
0.30247647,0.9997000694274902,2.938266057606692,0.0029047243,-451.67475286717524,265.92312588796926,7,100.0,-1059.4611621469573,0.00022440444,0.000499299,0.0017088657,-0.0,0.002978956006700173,-713.4913144837423,-0.00101215,3.4234047,100,-1157.2691552800522,-1.8299944,-270.17535416986726,0.0009826197,-1.3863449,-0.00069318764,2.468686729989713,0.0011513423,0.00024256471,258.6670666921614,-0.9494339,15,-11.583116288681103,100,-7.134913144837421,2.68966472602915,-713.4913144837423,61.441242,0,-0.0020110626,15,0.0017792167,5,100,0.00020246732,100.0,-0.0022282836,700,0.0293228,0.004999091004719958,-1.3852172,-805.0140736379842,-12.753533660408879,0.0012422613,0.99738336,100,0.002453027991577983,0.0010269006,61.425957,0.0,-12.415694,0.28755812198505737,-8.050140736379841,1500,-0.6068622,0.0004438702,-7.051165,-1.6224649377755922,-805.0140736379842,2.659394713211067,-2.647651951935892,-0.0013255364,0.63227916,0.0,-0.0011400287,-0.9920202,700,0.16240717898472212,0.0006219235,0.0002622135,2.0082903540169355
0.5572169,0.862069308757782,2.5223736980121805,-6.2836366,-271.89236794617426,97.84940309012491,12,100.0,-884.0278698221367,-0.11476889,4.3564677,0.43404192,-0.46765509247779846,0.002672161004738882,-469.4813254630842,-14.216724,4.749863,100,-604.0879066590952,-2.714597,-312.0823498754375,0.08695394,-1.1569563,-0.30623037,2.5202095909626223,-0.111645766,-0.18393208,213.2288849924071,-1.2000121,15,-10.95516089641387,100,-4.694813254630843,5.215017673937837,-469.4813254630842,9.285357,1,-24.503794,30,0.46177086,5,100,-0.013824905,100.0,-24.37404,1200,-0.016786441,0.004917878977721557,12.836924,-620.7909389087042,-11.15049424776182,4.4281387,0.98830265,100,0.0020088889868929982,0.3315167,8.983309,0.0,-23.790607,0.3380776879785117,-6.207909389087043,3000,0.064255774,0.045645166,-14.547301,-0.6087720079228868,-620.7909389087042,1.1622842384794203,-0.2778318482474396,-0.72637486,0.6018516,0.0,-0.5787639,-0.99395585,1200,0.14610586399794556,-6.577314,-14.129461,2.0264271100168116
1.0820041,0.7548161745071411,1.5950530693291818,-12.514468,-278.4070243072028,137.0430891554375,17,100.0,-645.8887205922988,0.03554876,8.078281,0.63338417,-0.7536315321922302,0.002915915014455095,-461.9991554870709,-23.944721,8.232813,100,-642.1755107892319,-4.3063326,-224.34624077397928,0.12234063,-0.6816586,-0.54166406,2.6155090559332166,-0.2542168,-0.35301355,132.92113952675095,-12.817616,15,-10.203460481101425,100,-4.619991554870709,7.834828992927214,-461.9991554870709,1.5223345,2,-42.951694,45,1.2265239,5,100,-0.022388397,100.0,-42.69383,1700,-0.005712183,0.005011740984627977,22.054585,-475.1236757795594,-8.688782130856454,8.122196,0.9953505,100,0.0020938429806847125,0.6934681,1.5472248,0.0,-42.98072,0.35223844298161566,-4.751236757795594,4500,1.789022,0.052955452,-24.205376,-0.27870830315770206,-475.1236757795594,1.4784929860370162,-0.7305857705993473,-1.4334226,0.5667951,0.0,-0.90559304,-0.98098606,1700,0.15660022498923354,-12.740722,-23.973963,2.0966488889825996
1.1475581,0.6637430787086487,1.6523927634796254,-16.465675,-221.45916746672637,146.0019389691302,22,100.0,-650.843701891026,-0.04942274,10.297625,0.884658,-0.9819959998130798,0.0028712119965348393,-373.8130699458865,-34.90697,10.98958,100,-571.6166687449033,-4.055546,-191.50939209585113,0.13242589,-0.3974321,-0.5880909,2.839620485989144,-0.28060782,-0.40628082,144.5857943390769,-3.293376,15,-8.146474074003573,100,-3.7381306994588654,10.67921392590506,-373.8130699458865,11.682774,3,-57.353596,60,1.5078223,5,100,0.0010401986,100.0,-56.4541,2200,-0.0007718482,0.005250638001598418,32.6413,-393.87804709776634,-9.23154842178051,10.315518,0.9923281,100,0.002198428992414847,0.78545684,11.697038,0.0,-58.884823,0.3630213270080276,-3.938780470977663,6000,2.935276,0.06545075,-34.922504,-0.6372924028735343,-393.87804709776634,1.54725291586458,-1.6772177445629863,-1.6156924,0.5381016,0.0,-0.90875226,-0.98541385,2200,0.18285621498944238,-16.933834,-34.84201,2.283422665001126
1.434994,0.5828935503959656,1.0237154422084886,-19.374977,-132.77979721107013,146.78198521878687,27,100.0,-261.0904912558619,-0.14351083,16.235308,0.9532906,-1.1721575260162354,0.00273915400612168,-329.5588506039639,-39.93331,16.44435,100,-597.0947904649623,-3.8164968,-124.12787655447123,0.14757407,-0.17268318,-0.68133414,2.59343207400525,-0.34106848,-0.54603386,56.86972617498874,-19.606758,15,-10.747841374607885,100,-3.2955885060396395,13.277148466877406,-329.5588506039639,1.6139777,4,-70.83138,75,1.7909431,5,100,-0.0024362183,100.0,-70.56746,2700,-0.013030408,0.004779784998390824,37.41524,-188.03509793858458,-10.382324101936925,16.178627,0.9751012,100,0.0018197149911429733,0.8721774,1.3347465,0.0,-70.15995,0.3630812620103825,-1.8803509793858462,7500,2.7690103,0.08192382,-40.144363,-0.21685683300478256,-188.03509793858458,1.5693122936407002,-1.2302018913516204,-1.8401464,0.49134305,0.0,-0.88816893,-0.98425055,2700,0.1484325219935272,-19.687408,-39.9192,2.0725796360056847
1.3941061,0.5114687085151672,1.3659787074895322,-21.148623,-245.20776352134706,126.18418959273055,32,100.0,-540.307438637062,-0.024811115,15.792705,0.95362127,-1.296898603439331,0.003058945992961526,-285.24065323123483,-44.51135,16.387333,100,-577.6877959149249,-4.794994,-92.37339705216816,0.148182,0.06495338,-0.83048344,2.560964843025431,-0.37906575,-0.625195,105.74151732287196,-2.897658,15,-11.100378304140795,100,-2.852406532312348,15.842877907882212,-285.24065323123483,5.7775793,5,-87.18072,90,1.7241268,5,100,-0.011110921,100.0,-86.98291,3200,-0.007612191,0.006050925003364682,42.55003,-332.10286970612896,-11.149924979041241,15.809981,0.9393741,100,0.001968946016859263,0.8660946,5.781103,0.0,-88.29338,0.35830746800638735,-3.3210286970612892,9000,3.0217118,0.1066457,-44.770058,-1.3582560005345101,-332.10286970612896,1.3947086180694848,-0.251666132475695,-1.9762353,0.50219595,0.0,-0.9463395,-0.99609774,3200,0.14824769800179638,-21.217327,-44.488007,2.043330860004062
1.5708877,0.4479658901691437,1.977619496213168,-22.412226,-126.38918213024138,180.0332853351354,37,100.0,-541.0882308184053,-0.07905598,21.025316,0.967438,-1.4733550548553467,0.004005753988167271,-365.0133719377619,-48.537388,21.866138,100,-587.0959992936356,-3.7808666,-71.42478577400273,0.16389243,0.16466713,-0.8988373,2.63574338296894,-0.38030756,-0.69632125,173.57119092567203,-4.692758,15,-10.994954034960271,100,-3.6501337193776187,18.483056513854535,-365.0133719377619,55.267906,6,-101.42755,105,2.0872679,5,100,-0.0031410349,100.0,-101.380714,3700,0.00033560468,0.005033472989453003,46.651093,-329.30082437309954,-8.78517631745034,21.037369,0.99512964,100,0.0019583830144256353,0.881726,55.305992,0.0,-102.293045,0.35463564898236655,-3.2930082437309944,10500,4.5998,0.13697925,-48.03126,-0.17120886136193816,-329.30082437309954,1.9066006207526982,-0.6253210405465379,-1.9966968,0.46807083,0.0,-0.9070052,-0.98062354,3700,0.1634824660141021,-22.450314,-48.48199,2.1066276579804253
1.4561058,0.39152443408966064,2.24329507215605,-24.193426,-69.60108130023289,160.1688430215424,42,100.0,-578.520059821627,-0.005988615,21.974348,0.9408654,-1.9306052923202515,0.0033107020135503262,-378.6979152155966,-54.512955,22.765991,100,-604.648753461375,-4.5178046,-218.0480754799425,0.15314703,-0.059436224,-0.95019233,2.596651305066189,-0.39054164,-0.7141798,210.9067214761293,-6.5496025,15,-8.789873435593494,100,-3.7869791521559675,21.084240887896158,-378.6979152155966,50.455387,7,-94.649376,120,2.0206554,5,100,0.00039939984,100.0,-94.04983,4200,0.0009501281,0.004809842997929081,52.59677,-404.72294559774525,-7.481773456427414,21.949532,0.9765771,100,0.0019584480032790452,0.8500395,50.789543,0.0,-94.49777,0.36689551602466963,-4.047229455977453,12000,4.6544814,0.1725161,-53.907543,-0.07786087088919322,-404.72294559774525,1.6804869517365513,-0.2123671251289396,-2.0964253,0.5066121,0.0,-0.9452262,-0.9707135,4200,0.15895357000408694,-24.235619,-54.475555,2.0607232260226738
1.5943774,0.3416767120361328,2.172179495531254,-23.948923,-79.65356764101202,198.0953675252893,47,100.0,-512.9421834302116,-0.16465977,24.05007,0.9484313,-2.104438543319702,0.0030446980090346187,-261.3742882467613,-57.796192,24.34822,100,-603.8851995874954,-2.9726615,-49.80670996401926,0.16275637,0.03986202,-1.098492,2.440830242994707,-0.36898023,-0.77078366,190.96274276419072,-23.935326,15,-10.158682014244542,100,-2.613742882467612,23.529152056900784,-261.3742882467613,1.7503226,8,-100.775024,135,2.1758392,5,100,-0.0047306768,100.0,-101.02602,4700,-0.040934265,0.004770004976307973,56.048847,-285.5793310024069,-9.526522507015356,24.098324,0.9660674,100,0.001583845994900912,0.8319136,1.6502576,0.0,-100.31674,0.3293221320200246,-2.8557933100240698,13500,5.2027607,0.2090857,-58.401924,-0.05318309422373407,-285.5793310024069,2.0723483301819408,-0.39417967148976657,-2.022489,0.47186664,0.0,-0.96238565,-0.9876981,4700,0.14308645299752243,-23.987253,-57.80431,1.9590231089969166
1.4329998,0.29861336946487427,0.78760761738974,-23.808937,-201.3804833360734,123.4623410497403,52,100.0,-299.2832559480941,-0.058311865,26.095964,0.96351224,-2.169738292694092,0.0030275539902504534,-332.15158541506383,-60.225574,26.971445,100,-572.2284236236294,-3.5241847,-205.79479978848318,0.14064358,0.20437722,-1.2775311,2.7247255820257124,-0.37466908,-0.8764007,34.272759528266455,-4.438037,15,-10.24263422528649,100,-3.3215158541506384,26.25810402695788,-332.15158541506383,14.163016,9,-110.18563,150,2.3062496,5,100,0.0009950936,100.0,-110.59181,5200,0.0025777293,0.004808651021448895,59.047207,-237.38332551634076,-9.38143393897439,26.17274,0.9798835,100,0.0016201070102397352,0.7954662,14.56706,0.0,-112.19898,0.33301150499028154,-2.3738332551634076,15000,4.938971,0.25319406,-60.83384,-0.8010083424149084,-237.38332551634076,1.3298865675701501,-0.2351875071766269,-2.1097977,0.40718997,0.0,-0.95106333,-0.8876394,5200,0.14426356001058593,-23.770006,-60.215405,2.237994205002906
