evaluation/Num Paths,exploration/Returns Std,trainer/Log Pis Max,evaluation/path length Min,exploration/path length Mean,trainer/Policy log std Mean,replay_buffer/size,trainer/Q Targets Std,trainer/Policy log std Max,trainer/Q Targets Max,time/exploration sampling (s),evaluation/Actions Max,exploration/path length Std,trainer/Q2 Predictions Min,exploration/Rewards Std,trainer/Q Targets Min,evaluation/Rewards Std,trainer/Alpha Loss,trainer/Policy mu Max,trainer/Policy log std Min,trainer/Policy Loss,evaluation/Returns Max,trainer/Policy mu Mean,time/logging (s),evaluation/Actions Mean,evaluation/path length Std,evaluation/Actions Std,exploration/Actions Max,exploration/Rewards Mean,trainer/Q1 Predictions Mean,evaluation/Returns Mean,exploration/Rewards Min,trainer/Q1 Predictions Max,trainer/Policy log std Std,trainer/Log Pis Mean,exploration/Returns Mean,trainer/Q1 Predictions Std,exploration/Returns Min,Epoch,trainer/Alpha,time/data storing (s),exploration/path length Max,exploration/num paths total,time/training (s),exploration/Actions Std,trainer/Q Targets Mean,time/evaluation sampling (s),exploration/Actions Mean,trainer/Q1 Predictions Min,trainer/Q2 Predictions Std,exploration/Returns Max,exploration/Actions Min,evaluation/Returns Min,exploration/num steps total,evaluation/Average Returns,exploration/Num Paths,trainer/Policy mu Min,trainer/Log Pis Min,exploration/path length Min,exploration/Average Returns,evaluation/path length Max,evaluation/Rewards Mean,evaluation/Returns Std,evaluation/num steps total,time/saving (s),time/epoch (s),trainer/Log Pis Std,trainer/QF1 Loss,evaluation/path length Mean,time/total (s),trainer/QF2 Loss,trainer/Q2 Predictions Max,evaluation/Rewards Max,trainer/Q2 Predictions Mean,evaluation/num paths total,evaluation/Actions Min,exploration/Rewards Max,evaluation/Rewards Min,trainer/Policy mu Std
10,323.5865380802837,-0.534498,100,100.0,-0.00049351767,400,3.4127378,0.0004060064,-0.4805226,0.06162362699978985,0.0024144808,0.0,0.0008344616,3.801690041350294,-12.211889,3.3729159646798768,-0.0,0.0019979873,-0.0017417828,-1.374171,-31.36827491308933,-0.0003275472,0.003580173011869192,-8.01399e-05,0.0,0.001594647,0.99069285,-7.02756903719423,0.0013477887,-677.1343441849148,-12.210895124881848,0.0035518832,0.00055203255,-1.3729419,-702.756903719423,0.0010651825,-1026.3434417997066,0,0.9997000694274902,0.0011273660056758672,100,4,0.801988605002407,0.60928124,-6.142894,0.21551560598891228,-0.02132587,-0.001365572,0.0009769286,-379.1703656391393,-0.98961055,-1105.270083012189,400,-677.1343441849148,2,-0.0025232388,-1.8370259,100,-702.756903719423,100,-6.771343441849147,337.24630345411185,1000,0.0026984220021404326,1.0865337990107946,0.27761206,49.398155,100.0,1.3039203599910252,49.408638,0.004808495,-0.23026774020053442,0.0025292656,10,-0.0024332467,-0.036670265878155354,-11.141935060262426,0.0013691463
10,106.81547071567906,-0.6824224,100,100.0,-0.16464834,600,3.4386222,-0.11095438,-1.4650881,0.06308746800641529,0.21402866,0.0,-13.970301,1.9184553523599401,-13.417536,2.1664004016471234,-0.19910547137260437,0.25612894,-0.21824461,6.390876,-254.3837820393792,0.14474434,0.0033752430172171444,0.14567108,0.0,0.03799632,0.9971474,-8.907665616800646,-7.490198,-497.31189169620995,-12.197451326499994,-2.5157835,0.02538897,-1.3167385,-890.7665616800643,3.2440991,-997.5820323957435,1,0.9414553642272949,0.0011714809807017446,100,6,0.7862538000044879,0.5769065,-7.7227626,0.2473276469972916,0.024180148,-14.167837,2.6558914,-783.9510909643853,-0.9755636,-860.0992328666799,600,-497.31189169620995,2,0.07163867,-1.8784231,100,-890.7665616800643,100,-4.973118916962101,175.63706568278607,2000,0.0019471340056043118,1.103162773011718,0.28211525,0.866832,100.0,2.4119093400076963,2.348411,-3.0869646,-0.6744871027271147,-7.2443953,20,0.072375305,-4.845889528743121,-11.374806242211342,0.043013938
10,53.588376176459946,0.21178687,100,100.0,-0.21030693,800,5.183078,-0.14253782,-1.8399673,0.06452585000079125,0.68145925,0.0,-21.391115,2.406900760951226,-20.568111,1.635609486029273,-0.37529438734054565,0.87184316,-0.33853692,8.983653,-161.2575847348674,0.29200035,0.003311923996079713,0.22179742,0.0,0.15802182,0.98424953,-2.8186738921720074,-10.227139,-319.7758990024239,-10.422177273437656,-3.5932858,0.052884158,-1.1665845,-281.86738921720064,5.1024156,-335.45576539366056,2,0.8879823684692383,0.0012557530135381967,100,8,0.7937879400269594,0.56047785,-10.317457,0.24696057999972254,0.12766892,-21.003294,5.081486,-228.27901304074067,-0.9814499,-501.06119410585364,800,-319.7758990024239,2,-0.13968469,-4.123581,100,-281.86738921720064,100,-3.1977589900242402,114.07928377896752,3000,0.001960143999895081,1.1118021910369862,0.69750977,0.35450932,100.0,3.527826898061903,0.29417905,-3.8294983,-0.3367654354683686,-10.282771,30,-0.10630066,-0.3481209897924278,-11.80530057557706,0.26104587
10,10.053268443378741,1.0987163,100,100.0,-0.22760768,1000,6.694653,-0.17702794,-4.432873,0.0660025299875997,0.7781301,0.0,-25.584436,1.985158955118923,-25.892666,1.2841410557038853,-0.5153920650482178,1.0207725,-0.33743057,10.851923,-119.51765719596646,0.27711836,0.003336428984766826,0.105426915,0.0,0.14519367,0.98883855,-2.0285587809718186,-12.27807,-154.29427103702537,-10.507748024043263,-4.731582,0.050813686,-0.9459708,-202.85587809718191,6.6444945,-212.90914654056064,3,0.8392714262008667,0.0013477529864758253,100,10,0.8039962680195458,0.5800826,-12.200148,0.24958941200748086,0.10553472,-25.452717,6.6083565,-192.80260965380316,-0.977206,-193.3852354231083,1000,-154.29427103702537,2,-0.7135427,-3.316634,100,-202.85587809718191,100,-1.5429427103702529,23.833950898687704,4000,0.005053661006968468,1.1293260529928375,0.8238891,2.265379,100.0,4.661296276055509,2.2680283,-4.9216895,-0.10468774969459678,-12.305338,40,-0.52931577,-0.14908823576905603,-11.187972349128197,0.42531207
10,3.7175696714973796,1.9045284,100,100.0,-0.29465795,1200,9.361452,-0.18547511,-5.225563,0.07179118800559081,0.8358598,0.0,-36.291786,0.6066946827085373,-35.79842,1.2813005744161408,-0.625088632106781,1.2053938,-0.39890027,13.758208,-66.20986823797887,0.26137212,0.003387848992133513,0.062262867,0.0,0.17923264,0.9872383,-1.2820593096257376,-15.878611,-112.83202281651151,-3.6470028364455875,-5.8237762,0.060081888,-0.72419465,-128.20593096257372,9.473434,-131.9235006340711,4,0.7947533130645752,0.0013258289836812764,100,12,0.7552408179908525,0.5623067,-15.737024,0.23903217900078744,0.048041515,-36.47161,9.451656,-124.48836129107634,-0.99230903,-324.5524003953217,1200,-112.83202281651151,2,-1.0800754,-3.5662541,100,-128.20593096257372,100,-1.1283202281651148,74.10088726278994,5000,0.0019864740024786443,1.0727643369755242,0.93615973,7.002296,100.0,5.73825301299803,7.049498,-5.773647,-0.03169549310739054,-15.850961,50,-0.7185654,-0.13397825741982147,-10.554867142917276,0.5883032
10,5.269779276272672,2.4627726,100,100.0,-0.31132305,1400,9.822752,-0.17038202,-0.90550774,0.07082225699559785,0.86910766,0.0,-42.764202,1.518177927738953,-45.198994,1.0682687976362955,-0.7536628842353821,1.3823162,-0.49320933,12.403459,-21.139384966390082,0.21019791,0.003163977002259344,0.028791782,0.0,0.1520209,0.9835048,-1.5276352375205995,-14.345772,-44.062063072235944,-10.482617448355832,-6.66607,0.09172597,-0.66247785,-152.76352375205988,9.719168,-158.03330302833257,5,0.7532698512077332,0.0012068429787177593,100,14,0.7695530139899347,0.5608363,-14.303175,0.22842665400821716,0.04213462,-42.59074,9.730253,-147.49374447578722,-0.9884812,-73.9429817884464,1400,-44.062063072235944,2,-1.2099837,-2.8851938,100,-152.76352375205988,100,-0.44062063072235946,16.81740196601729,6000,0.002012590004596859,1.0751853349793237,1.141456,0.98390275,100.0,6.817577017995063,0.99710345,-6.553841,-0.12273190651408832,-14.363278,60,-0.7679773,-0.12424400336854723,-9.326282803589487,0.6058804
10,9.42928527039632,1.9238515,100,100.0,-0.33400285,1600,12.123778,-0.18737525,-6.930773,0.06511803000466898,0.89974123,0.0,-49.15024,1.434712620479791,-49.62895,1.5644732590961714,-0.8811156749725342,1.5208064,-0.557326,14.198046,-30.12645476241112,0.25004306,0.003344680997543037,0.00039324665,0.0,0.24116972,0.98262775,-1.392870597755382,-16.042183,-92.13295295389901,-8.415284912733906,-7.4355006,0.08924727,-0.62161314,-139.28705977553815,11.878,-148.71634504593447,6,0.7143676280975342,0.0014107099850662053,100,16,0.7747975059901364,0.55283755,-16.211393,0.23009729498880915,0.058724638,-49.154366,11.874575,-129.85777450514183,-0.9914027,-456.7434668990007,1600,-92.13295295389901,2,-1.3316215,-3.9753468,100,-139.28705977553815,100,-0.9213295295389903,122.97981824034837,7000,0.00194176597869955,1.0767099879449233,1.1176804,0.50367004,100.0,7.898373569973046,0.5021399,-7.29305,-0.052333861311174186,-16.0469,70,-0.8673647,-0.06965667971677833,-9.863485419581155,0.66310894
10,3.913860835758271,2.8164966,100,100.0,-0.36778083,1800,14.385498,-0.21802309,-7.5435724,0.06470469900523312,0.9118442,0.0,-54.6085,0.7451117925737434,-55.882317,0.9027232917090056,-0.9646563529968262,1.5525827,-0.5866265,17.514349,-23.841789002956737,0.35245273,0.003039919974980876,0.032634635,0.0,0.1620989,0.987679,-1.0388056775892542,-19.47775,-36.7015030241058,-5.80584424759547,-8.192732,0.10178677,-0.47694156,-103.88056775892545,14.456879,-107.79442859468372,7,0.6772437691688538,0.0013017820019740611,100,18,0.7773375090037007,0.56495667,-18.839357,0.2272854089969769,0.03013191,-54.89562,14.428613,-99.96670692316718,-0.9800152,-58.04420941623785,1800,-36.7015030241058,2,-1.4078382,-2.8159587,100,-103.88056775892545,100,-0.36701503024105797,10.830641686580904,8000,0.0019477799942251295,1.0756170989770908,1.1663592,18.916994,100.0,8.977967966988217,18.71099,-8.137631,-0.07845576254813043,-19.484026,80,-0.82694453,-0.12714788011970501,-8.837647417646714,0.6896355
10,20.996404924153495,2.7748528,100,100.0,-0.38889596,2000,14.2122135,-0.2243745,-8.401573,0.06614903098670766,0.9259873,0.0,-59.563686,1.124619681228874,-61.598118,0.7780016032120138,-1.0952012538909912,1.6545283,-0.6454374,16.484543,-4.815461570787874,0.22413601,0.0034188769932370633,0.0122648645,0.0,0.15395191,0.9781234,-1.054804187319684,-18.415037,-19.243798706371983,-8.874093193713533,-8.854548,0.09656833,-0.4697971,-105.48041873196838,13.8529825,-126.47682365612188,8,0.641652524471283,0.0012182030186522752,100,20,0.7718074950098526,0.54403645,-18.614473,0.22376029298175126,0.039223596,-59.717857,13.847181,-84.48401380781489,-0.9474307,-48.01047665162968,2000,-19.243798706371983,2,-1.6026503,-2.6393454,100,-105.48041873196838,100,-0.19243798706371973,11.135362568439655,9000,0.0019230080069974065,1.0682769069971982,1.1063517,0.71188086,100.0,10.049783038004534,0.7478567,-8.871525,-0.024834285778777197,-18.426985,90,-0.912742,-0.023829502364907468,-8.429390764895253,0.74508804
10,11.515940532838343,2.6207018,100,100.0,-0.37941238,2200,13.60532,-0.21208696,-1.8399673,0.07592493999982253,0.9330621,0.0,-58.791965,1.2111011167914045,-60.547028,1.2007041140118244,-1.302047848701477,1.6646549,-0.5989434,15.472517,-13.712436508108937,0.15479699,0.0033475309901405126,0.033789687,0.0,0.17703995,0.99027145,-1.2850170375380452,-17.115988,-38.54523597172562,-9.035400075337042,-9.527284,0.095798045,-0.61609066,-128.50170375380452,13.904256,-140.01764428664288,9,0.607755720615387,0.0013456140004564077,100,22,0.7553237400134094,0.5827743,-16.750887,0.22676494900952093,0.03422396,-58.652687,13.892451,-116.98576322096619,-0.99514854,-62.25611270342525,2200,-38.54523597172562,2,-1.5395186,-3.1317031,100,-128.50170375380452,100,-0.3854523597172563,18.904163492624388,10000,0.0018411809869576246,1.0645479550003074,1.1811388,22.569485,100.0,11.118386127986014,22.533644,-9.559971,-0.09551679686058641,-17.14021,100,-0.90857685,-0.05388664248839104,-9.730112097847874,0.67362595
10,11.379248368537048,3.2986217,100,100.0,-0.4403737,2400,12.042902,-0.25368798,-9.494175,0.08297190099256113,0.9495299,0.0,-62.133625,1.010589284714264,-64.2605,0.9703835454585567,-1.4416857957839966,1.8380777,-0.6990644,14.213846,-17.528685071605274,0.11473833,0.0033542320015840232,0.01874005,0.0,0.1617722,0.9867383,-1.0026797045139657,-16.001532,-36.79225721365712,-7.559964052354225,-10.013214,0.097024865,-0.60997087,-100.26797045139661,11.916082,-111.64721881993366,10,0.5754224061965942,0.0014374100137501955,100,24,0.741091655974742,0.5499069,-16.173836,0.22423898099805228,0.04778104,-62.36192,11.8987665,-88.88872208285956,-0.9849799,-72.75589750076523,2400,-36.79225721365712,2,-1.3777108,-4.7225156,100,-100.26797045139661,100,-0.36792257213657126,17.21153123161204,11000,0.0019292849756311625,1.0550234649563208,1.2622061,0.43976545,100.0,12.177479606005363,0.47881585,-9.974602,-0.10874395346646558,-15.999698,110,-0.9090376,-0.026478742702021777,-10.582435747824315,0.6952085
10,0.19287123131982042,3.0107536,100,100.0,-0.4619034,2600,15.150871,-0.28975075,-10.179123,0.06941475099301897,0.9547549,0.0,-72.913574,0.7683178933703159,-70.2822,1.172186072255654,-1.3641430139541626,1.8798089,-0.6788089,17.060833,-16.522350057873062,0.14407109,0.0033590479870326817,0.02270541,0.0,0.1668117,0.95470816,-0.9701027225533179,-18.805992,-40.977064469871934,-6.134994172509797,-10.564039,0.094970115,-0.24592647,-97.01027225533178,15.147875,-97.2031434866516,11,0.5446256995201111,0.0012401719868648797,100,26,0.7616033789818175,0.51216906,-18.86916,0.23196808499051258,-0.0020046306,-72.59862,15.1563425,-96.81740102401196,-0.99578375,-77.45751938795804,2600,-40.977064469871934,2,-1.8048403,-4.560404,100,-97.01027225533178,100,-0.4097706446987194,22.77999630621761,12000,0.0019560980144888163,1.0695415329537354,1.33273,0.49274027,100.0,13.251065308024408,0.49479797,-10.4733095,-0.04946742548426163,-18.798447,120,-0.91506153,-0.10653115256364103,-10.352453145672774,0.78381115
10,3.144274147396523,3.598352,100,100.0,-0.4850393,2800,14.225715,-0.30817214,-1.4846711,0.06648261300870217,0.958804,0.0,-67.00947,0.7266793284386944,-67.133934,1.0846742584814857,-1.5355418920516968,1.9832172,-0.6611126,16.66375,-21.14531319895838,0.1331618,0.0036879679828416556,0.029340861,0.0,0.17659134,0.9662172,-0.898027004584529,-18.49079,-38.22195490143074,-5.982846478524688,-10.927917,0.08476249,-0.3176595,-89.80270045845288,14.016005,-92.9469746058494,12,0.515399158000946,0.0013367020001169294,100,28,0.7726718639896717,0.52734274,-18.359507,0.22827040002448484,0.015662635,-66.97103,14.019063,-86.65842631105636,-0.96063286,-64.0825089284542,2800,-38.22195490143074,2,-1.6818678,-3.8638024,100,-89.80270045845288,100,-0.38221954901430744,13.361611568366921,13000,0.0019990339933428913,1.0744485809991602,1.4652101,8.961721,100.0,14.329546611988917,8.9324,-10.909003,-0.12086066758425716,-18.521791,130,-0.8567776,-0.061312941821756006,-9.844738404505952,0.77188885
