exploration/Average Returns,time/epoch (s),evaluation/Average Returns,trainer/Policy mu Min,trainer/Policy Loss,trainer/Policy mu Max,exploration/Actions Std,exploration/Rewards Mean,time/evaluation sampling (s),exploration/Rewards Std,evaluation/Actions Min,exploration/Actions Min,Epoch,time/exploration sampling (s),time/logging (s),evaluation/Returns Mean,evaluation/Returns Min,exploration/Num Paths,exploration/num paths total,exploration/path length Mean,trainer/Log Pis Max,exploration/Returns Std,exploration/path length Std,trainer/Alpha,time/saving (s),trainer/Q2 Predictions Max,trainer/Policy mu Mean,evaluation/num steps total,trainer/Q Targets Min,trainer/Q1 Predictions Min,trainer/Log Pis Mean,evaluation/Actions Max,exploration/path length Max,exploration/path length Min,evaluation/Rewards Std,trainer/Q Targets Max,trainer/Q1 Predictions Max,trainer/Q2 Predictions Std,exploration/Rewards Min,time/training (s),trainer/Q2 Predictions Mean,time/data storing (s),evaluation/Actions Mean,trainer/QF1 Loss,evaluation/Actions Std,trainer/QF2 Loss,trainer/Log Pis Min,trainer/Q2 Predictions Min,exploration/Actions Max,evaluation/Returns Std,exploration/Actions Mean,exploration/Returns Min,evaluation/path length Mean,evaluation/Rewards Min,trainer/Alpha Loss,evaluation/num paths total,trainer/Log Pis Std,trainer/Policy log std Min,evaluation/path length Max,exploration/num steps total,time/total (s),trainer/Q1 Predictions Mean,exploration/Returns Mean,trainer/Policy mu Std,trainer/Policy log std Max,trainer/Policy log std Mean,exploration/Returns Max,trainer/Q Targets Mean,trainer/Policy log std Std,exploration/Rewards Max,trainer/Q Targets Std,evaluation/Rewards Mean,replay_buffer/size,evaluation/Num Paths,evaluation/Returns Max,trainer/Q1 Predictions Std,evaluation/path length Std,evaluation/path length Min,evaluation/Rewards Max
-820.44014351092,1.3000432600092608,-739.2922128871866,-0.0010541352,-1.3314447,0.00020106061,0.62033945,-8.204401435109201,0.21692810498643667,2.0046863945817535,-0.0010971343,-0.9898846,0,0.061739952012430876,0.0036044409789610654,-739.2922128871866,-1054.4099856267117,2,4,100.0,-0.5809002,126.81120772443802,0.0,0.9997000694274902,0.0028641459939535707,-0.0016670641,-0.00044226943,1000,-11.452077,-0.002796497,-1.334459,0.00011533464,100,100,2.8200267287647334,-1.2427778,0.00023739936,0.00052931654,-11.588221546887254,1.0137110970099457,-0.0029828835,0.0011955190275330096,-0.0005758319,46.625736,0.00034718998,46.597897,-1.8368165,-0.004690476,0.99185365,281.99986787157866,-0.010384971,-947.251351235358,100.0,-10.565069259019907,-0.0,10,0.31437233,-0.0006556461,100,400,1.5343765349825844,-0.0011986948,-820.44014351092,0.00026168232,0.00045357912,-7.997304e-06,-693.628935786482,-6.4475594,0.00036773895,-2.6996796587863243,2.2509918,-7.3929221288718665,400,10,-242.92985828105964,0.0008457595,0.0,100,-2.424311275988933
-499.77419582992053,1.3205284539726563,-457.8253652173445,-0.054983206,5.5335646,0.31892598,0.5916232,-4.997741958299204,0.2701022030087188,1.4133567319660785,-0.056746326,-0.99055815,1,0.06845039100153372,0.0034338119730819017,-457.8253652173445,-869.8803711781128,2,6,100.0,-0.6452857,96.88395685323366,0.0,0.9415551424026489,0.002374847012106329,-3.6814237,0.10374985,2000,-12.4424,-13.29193,-1.3150295,0.3021566,100,100,2.551500786994536,-1.8933218,-3.6283176,2.346159,-9.49186516831249,0.9750094689952675,-6.848726,0.001157731981948018,0.09958991,0.45834392,0.12772594,0.47518355,-1.8613439,-13.4103775,0.99606544,244.30990886524816,0.0756425,-596.6581526831542,100.0,-11.046352308022946,-0.19864825904369354,20,0.29227772,-0.17565079,100,600,2.8595768660015892,-6.8239794,-499.77419582992053,0.13874246,-0.117278405,-0.1368558,-402.8902389766869,-6.899173,0.013650305,-2.2037477925426474,2.5100298,-4.578253652173446,600,10,-118.73026852727642,2.376849,0.0,100,-0.09848891943860565
-165.6925495776244,1.3162669019366149,-188.6072279289091,-0.40576592,7.3148494,0.7163378,0.6105337,-1.6569254957762432,0.2716584409936331,0.7817023243839991,-0.44528544,-0.9884,2,0.07016775198280811,0.003457290993537754,-188.6072279289091,-294.6177092178812,2,8,100.0,0.20471668,9.277365639833604,0.0,0.8876123428344727,0.002347204979741946,-5.004168,0.21011613,3000,-18.164288,-18.190315,-1.3324416,0.6418932,100,100,1.463037074565752,-2.6809707,-4.841553,3.2156146,-4.632631433965376,0.9673323179886211,-8.634485,0.001303894998272881,0.12039432,0.80740255,0.13281654,0.81020063,-2.767459,-18.16452,0.99606305,46.88572560996726,0.1227256,-174.96991521745798,100.0,-12.050806365308977,-0.39632031321525574,30,0.57211053,-0.25802526,100,800,4.180136226961622,-8.651786,-165.6925495776244,0.25669816,-0.106025755,-0.16022334,-156.41518393779077,-8.346889,0.036515456,-0.01544226608058898,3.6622267,-1.8860722792890914,800,10,-136.91360502679797,3.2316556,0.0,100,-0.13683464736540532
-176.4196640393119,1.3013859090278856,-73.77364463157218,-0.9413559,9.564545,1.0970222,0.57863975,-1.7641966403931186,0.263008884008741,1.6252252826931848,-0.6798944,-0.9892712,3,0.06994280102662742,0.003389109013369307,-73.77364463157218,-121.02712784316083,2,10,100.0,0.78836,39.12419213420762,0.0,0.8382090926170349,0.0022971069847699255,-4.8036222,0.16425426,4000,-25.932732,-27.218918,-0.9444906,0.79478955,100,100,1.2587300301423925,-4.25907,-4.718349,5.860898,-9.449485616608023,0.9615849439869635,-11.130182,0.0011630640074145049,0.02167689,0.32690197,0.121957846,0.336899,-2.9989238,-27.292109,0.98495644,28.635980136923866,0.043958414,-215.54385617351952,100.0,-10.287208295806062,-0.5188461542129517,40,0.70780975,-0.3831516,100,1000,5.485679261939367,-11.118339,-176.4196640393119,0.47018364,-0.13147162,-0.2427181,-137.29547190510428,-11.150391,0.06545494,-0.09593294127376835,5.871035,-0.7377364463157219,1000,10,-41.67190602017055,5.88563,0.0,100,-0.08621670367339239
-151.71941048482665,1.3130656619614456,-67.69083317830756,-1.0625995,10.627039,1.2679206,0.5694431,-1.5171941048482671,0.25918269300018437,0.7924065052863679,-0.589301,-0.9863597,4,0.06703040099819191,0.0034343179722782224,-67.69083317830756,-91.71896293990117,2,12,100.0,1.0812597,14.994070845590642,0.0,0.7934082746505737,0.0025264439755119383,-5.2518177,0.302544,5000,-32.977592,-33.21004,-0.9859214,0.81032544,100,100,0.5550602004058829,-0.77631986,-5.2065244,7.379112,-4.221303307825192,0.9795172300073318,-12.377296,0.0013745760079473257,0.01609808,1.3609763,0.10137572,1.3718927,-4.968082,-33.32349,0.9927516,12.322076953204801,0.018257432,-166.7134813304173,100.0,-6.845949382009556,-0.6901923418045044,50,0.9796819,-0.41700488,100,1200,6.802768216846744,-12.38687,-151.71941048482665,0.53136593,-0.15299366,-0.27727014,-136.725339639236,-12.358129,0.070840396,-0.07328469352039645,7.479275,-0.6769083317830753,1200,10,-55.53025446598789,7.3974504,0.0,100,-0.03706641055960805
-134.85798434711865,1.2778592979593668,-49.083114265159274,-1.3027009,12.533486,1.3435738,0.5712913,-1.348579843471187,0.25801119799143635,1.3965487303001582,-0.6682519,-0.9876109,5,0.06869212599121965,0.003418640000745654,-49.083114265159274,-86.10886869287808,2,14,100.0,1.8209192,14.521858049831977,0.0,0.7524387240409851,0.0018633939907886088,-6.4288673,0.24186398,6000,-39.773705,-40.234318,-0.6152793,0.8750344,100,100,0.9510094165513548,-1.2714924,-6.448353,8.98679,-9.62948187771706,0.9442008119949605,-14.492195,0.0016731279902160168,0.02895582,6.4454103,0.14027381,6.536796,-3.7189345,-40.530308,0.99599427,18.068278967228544,0.04790083,-149.37984239695064,100.0,-10.094419229259561,-0.7431966662406921,60,1.0397239,-0.5276891,100,1400,8.084755551855778,-14.522013,-134.85798434711865,0.6380438,-0.2189906,-0.35775918,-120.33612629728668,-13.833954,0.07628664,-0.13624162234521012,8.699161,-0.4908311426515927,1400,10,-31.269985825088472,8.951302,0.0,100,-0.06358383735064888
-122.24647610241863,1.3017266349343117,-37.25546574978158,-1.3295366,12.603565,1.4774525,0.54424065,-1.2224647610241857,0.2549846039910335,1.2514456829731306,-0.81689686,-0.9591146,6,0.06674225098686293,0.0034743649885058403,-37.25546574978158,-81.67819876116309,2,16,100.0,2.0427768,7.362737764766912,0.0,0.7140549421310425,0.002339382976060733,-6.343937,0.2091074,7000,-46.03127,-48.136395,-0.61717784,0.90469885,100,100,0.951953335011536,-3.7296128,-6.247725,10.149546,-8.429383934649898,0.9729580709827133,-14.530757,0.0012279610091354698,0.019500209,5.8287153,0.1415844,6.0223627,-2.5087986,-48.066242,0.9889582,20.197261306632253,0.07088204,-129.60921386718553,100.0,-10.21816087830718,-0.8807826042175293,70,1.0596893,-0.57197237,100,1600,9.390472798841074,-14.520574,-122.24647610241863,0.6727397,-0.23301807,-0.4056203,-114.8837383376517,-14.384359,0.084140755,-0.09367634533282244,10.002364,-0.3725546574978158,1600,10,-20.578749517188076,10.167064,0.0,100,-0.01276853704770868
-95.79614586520972,1.2944505889900029,-32.223056456815804,-1.35371,11.80572,1.553198,0.5501295,-0.9579614586520974,0.25451388498186134,0.7875037715166715,-0.8755535,-0.9574367,7,0.06740469601936638,0.003709100012201816,-32.223056456815804,-56.97245196787379,2,18,100.0,2.378104,5.444658277500437,0.0,0.677664041519165,0.0023418579949066043,-7.0601373,0.1927324,8000,-44.436966,-44.237465,-0.6501372,0.9183643,100,100,1.1736476268496874,-6.835091,-7.034572,9.102217,-5.09847020579372,0.9653407669975422,-13.587739,0.0011402829841244966,0.029547151,0.69049823,0.17696191,0.68363595,-6.1500435,-43.835426,0.9703415,15.961936959819845,0.016916664,-101.24080414271016,100.0,-9.434882133883892,-1.0304768085479736,80,1.1969937,-0.5835611,100,1800,10.688447691820329,-13.5882015,-95.79614586520972,0.65201724,-0.2706477,-0.42542785,-90.35148758770929,-13.745469,0.087514274,-0.048198141831906634,9.326956,-0.32223056456815813,1800,10,-7.012976490542899,9.115653,0.0,100,-0.022594108551060053
-97.83412609367082,1.3197003850073088,-52.55947461648209,-1.1490533,11.4394865,1.5911083,0.536695,-0.9783412609367085,0.2577078660251573,0.9907249298297898,-0.83836,-0.97478205,8,0.07258122699568048,0.0025817569985520095,-52.55947461648209,-87.56088385269726,2,20,100.0,2.1146817,15.415249110306057,0.0,0.6428513526916504,0.0020530539914034307,-7.8043475,0.2253551,9000,-51.278015,-50.39441,-0.73011804,0.92394805,100,100,1.1176917759463636,-7.534526,-7.849667,9.170612,-7.779224050597934,0.9836412869917694,-13.082495,0.001135194004746154,0.044439856,0.50240535,0.17962094,0.5065376,-5.263797,-50.081043,0.98024327,15.818876377213638,0.022869462,-113.24937520397688,100.0,-10.900476514455955,-1.205550193786621,90,1.2458419,-0.6522605,100,2000,12.012059735803632,-13.10548,-97.83412609367082,0.61132306,-0.25165948,-0.44154018,-82.41887698336477,-13.105508,0.08663558,-0.07514060109446982,9.27794,-0.5255947461648209,2000,10,-38.48429757687919,9.19546,0.0,100,-0.174584232686526
-96.812906415111,1.3062198040133808,-29.551842707194915,-1.4935545,14.419292,1.6905031,0.5363025,-0.9681290641511104,0.2560455950151663,0.9159303930880803,-0.8434801,-0.9914484,9,0.06814993498846889,0.003429018019232899,-29.551842707194915,-74.9220893284801,2,22,100.0,3.1981163,8.224919999341282,0.0,0.6094228029251099,0.002167292986996472,-8.2947855,0.18001916,10000,-61.080784,-62.587982,-0.51153874,0.94091296,100,100,1.0712228847318677,-0.3454017,-8.362748,11.448896,-7.971911242644451,0.9751374780025799,-15.91646,0.0012904850009363145,0.031258218,2.1294105,0.16166016,2.1621914,-3.8903227,-62.778633,0.9710028,20.255808300875934,0.04144094,-105.03782641445228,100.0,-11.523080903870847,-1.2431453466415405,100,1.3794137,-0.6438168,100,2200,13.322388458822388,-15.950769,-96.812906415111,0.7452589,-0.23508474,-0.48922026,-88.58798641576972,-15.701855,0.09681819,-0.1419264112276026,11.663776,-0.2955184270719492,2200,10,-8.38843013797133,11.460494,0.0,100,-0.03713542819042827
