trainer/Alpha Loss,trainer/Policy mu Mean,exploration/num steps total,evaluation/path length Min,evaluation/Rewards Max,exploration/Actions Std,replay_buffer/size,exploration/Actions Mean,exploration/Returns Max,exploration/path length Mean,exploration/Average Returns,evaluation/Rewards Min,exploration/Rewards Std,trainer/Q2 Predictions Std,trainer/Policy mu Min,trainer/Q Targets Std,trainer/QF1 Loss,evaluation/Actions Max,evaluation/num paths total,trainer/Policy log std Std,trainer/Q1 Predictions Std,trainer/Q Targets Mean,trainer/Policy log std Mean,exploration/path length Min,time/logging (s),trainer/Q Targets Max,exploration/Returns Mean,evaluation/Actions Std,exploration/Rewards Min,trainer/Policy log std Max,time/training (s),evaluation/Num Paths,time/epoch (s),trainer/Q2 Predictions Min,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Q Targets Min,exploration/Rewards Mean,trainer/Q1 Predictions Max,trainer/Q2 Predictions Mean,time/data storing (s),exploration/Returns Min,evaluation/Rewards Std,time/saving (s),trainer/Q1 Predictions Min,evaluation/Returns Max,exploration/Actions Max,trainer/Q2 Predictions Max,evaluation/path length Max,exploration/num paths total,evaluation/Actions Mean,exploration/path length Max,evaluation/Average Returns,trainer/Policy mu Std,evaluation/path length Mean,trainer/QF2 Loss,exploration/Actions Min,trainer/Policy log std Min,exploration/Returns Std,Epoch,time/evaluation sampling (s),evaluation/num steps total,exploration/Num Paths,evaluation/Actions Min,trainer/Policy Loss,evaluation/path length Std,evaluation/Rewards Mean,exploration/Rewards Max,time/total (s),evaluation/Returns Std,trainer/Alpha,evaluation/Returns Mean,trainer/Q1 Predictions Mean,trainer/Policy mu Max,trainer/Log Pis Mean,time/exploration sampling (s),evaluation/Returns Min,trainer/Log Pis Max,exploration/path length Std
-0.0,0.00031804614,400,100,-1.5232938723706877,0.6220681,400,0.018444244,-400.27399641502063,100.0,-455.82094559912844,-6.177241957818021,1.6866245731465546,0.00023478335,-0.00019250502,1.6700677,23.415112,0.00069309905,10,0.00030575148,0.0005413424,-4.54253,1.939786e-05,100,0.00355067101190798,-0.9515426,-455.82094559912844,0.00019819649,-8.028784150534237,0.0005161315,1.0251102079928387,10,1.3182780310162343,-0.0014672498,-1.8239816,0.26526165,-8.518002,-4.558209455991284,-8.6378015e-05,-0.00095758506,0.00122243698569946,-511.3678947832362,1.6655111906820448,0.0023134759976528585,-0.0025923075,-154.56682377277582,0.9935602,-0.00030850543,100,4,0.00031372154,100,-407.87460344753833,0.00022739009,100.0,23.414682,-0.98904103,-0.000588279,55.546949184107774,0,0.22207855302258395,1000,2,-6.926946e-05,-1.3300583,0.0,-4.078746034475383,-0.13361638639559403,1.6690063739952166,166.54717943494663,0.9997000694274902,-407.87460344753833,-0.0010419745,0.00085745467,-1.3313003,0.06400268600555137,-615.4048027704256,-0.6317204,0.0
-0.2020939439535141,-0.05696426,600,100,-1.9669783994076067,0.58867824,600,-0.038081,-290.6949407503871,100.0,-512.9848128018366,-7.442069044692091,2.4986412556228967,1.4156353,-0.12585244,2.0929115,1.0528109,0.023077214,20,0.012260707,1.3797394,-4.8668523,-0.14919488,100,0.003105821000644937,-1.2605637,-512.9848128018366,0.054708637,-8.693712240393143,-0.1289328,0.979899160010973,10,1.3166762350010686,-8.375023,-2.5630646,0.23089081,-9.475156,-5.129848128018366,-2.8550215,-4.908616,0.0013067820109426975,-735.2746848532862,1.3118598585029388,0.0023311739787459373,-8.508496,-392.3303310088367,0.9883618,-2.6661654,100,6,-0.055401295,100,-552.4553123581223,0.05179014,100.0,0.9754024,-0.96166414,-0.1833912,222.28987205144955,1,0.26331290797679685,2000,2,-0.12648685,3.5571756,0.0,-5.524553123581222,-0.6825587524642488,2.9904598190332763,80.31103594204943,0.9414711594581604,-552.4553123581223,-4.9045253,0.024862425,-1.367557,0.06672039002296515,-651.5936803308052,-0.9336481,0.0
-0.39264142513275146,-0.02947177,800,100,-0.046876455000771186,0.559183,800,0.02158566,-234.30575400635936,100.0,-285.3582935261242,-7.499187162730492,1.4136340455430592,2.7160287,-0.42070255,2.9312232,0.3879045,0.35756725,30,0.03125371,2.6993725,-7.5002003,-0.18670897,100,0.0033104519825428724,-0.6655133,-285.3582935261242,0.07950101,-6.307000674362632,-0.13271141,0.9684652139840182,10,1.2891485339787323,-13.795297,-2.2874475,0.42674097,-13.214434,-2.853582935261242,-3.502772,-7.4214196,0.0011977270187344402,-336.4108330458891,0.9344391625273385,0.0018445570021867752,-13.786735,-75.11868732396985,0.9923915,-3.2436204,100,8,-0.019319637,100,-105.71367451067222,0.2604686,100.0,0.30548894,-0.9859606,-0.26263636,51.05253951976486,2,0.24698454601457343,3000,2,-0.37755778,6.005808,0.0,-1.0571367451067222,-0.1265531904811724,4.283695124991937,18.20342189682624,0.8871326446533203,-105.71367451067222,-7.413028,0.47656152,-1.2865657,0.0673460379766766,-132.5819063387196,-0.06834638,0.0
-0.5501514673233032,-0.01023302,1000,100,-0.06231449900173303,0.5714888,1000,0.018720943,-121.37632401055714,100.0,-144.3370582160457,-6.554884356987525,1.026569330163918,3.9256828,-1.0554526,4.0789585,0.26062799,0.7185053,40,0.03739527,3.8913023,-8.43783,-0.26039678,100,0.0032954569905996323,-3.4381342,-144.3370582160457,0.125578,-6.264109965642887,-0.20432551,0.9636998650094029,10,1.2898445750179235,-19.122694,-4.6511154,0.8732903,-19.097599,-1.443370582160457,-3.8820338,-8.216297,0.0012298130022827536,-167.29779242153427,0.8202076985082597,0.00228808302199468,-19.063007,-17.530920258198048,0.98316807,-3.7175503,100,10,0.002432573,100,-29.967660843308785,0.4922197,100.0,0.24134932,-0.9919381,-0.3641416,22.960734205488563,3,0.25172774799284525,4000,2,-0.59758276,6.60854,0.0,-0.2996766084330879,-0.11395507079459168,5.577681728027528,8.514590186143147,0.838038444519043,-29.967660843308785,-8.237202,0.87488246,-1.1185464,0.06760360900079831,-41.880687249049984,1.062503,0.0
-0.6557660698890686,0.07543045,1200,100,-0.015947172492375494,0.5602654,1200,0.016332865,-82.46895219274256,100.0,-90.16858912773947,-6.519615772753038,0.4950030910754418,5.6186643,-1.1673048,5.711902,0.35293615,0.7677203,50,0.033154078,5.612111,-10.394936,-0.35741004,100,0.003331568994326517,-3.813955,-90.16858912773947,0.1434622,-3.6619501557409886,-0.2832784,0.9772472859767731,10,1.2990232679294422,-25.286678,-3.8463159,1.1067873,-23.805912,-0.9016858912773946,-4.0039463,-10.405579,0.0012247029808349907,-97.86822606273638,0.7576281807890595,0.0018717169878073037,-25.291275,-22.74045119841561,0.9886828,-3.9929345,100,12,-0.00019221545,100,-32.579862221117565,0.6166652,100.0,0.32944718,-0.9844794,-0.47835484,7.69963693499691,4,0.248502019996522,5000,2,-0.7930243,8.865716,0.0,-0.32579862221117567,-0.04959288408007984,6.880471612937981,6.4994493691692075,0.7943016290664673,-32.579862221117565,-10.382756,1.147078,-0.8507407,0.0668459729931783,-43.61414319801191,1.505383,0.0
-0.7149705290794373,0.05158409,1400,100,-0.02576141371779299,0.533804,1400,-0.0030948997,-82.79109170196898,100.0,-83.86978913542985,-6.524101868884882,0.8197152175913106,5.973505,-1.2591442,6.1014085,0.9285786,0.8941115,60,0.061597936,5.9717426,-9.881165,-0.4681616,100,0.0033743219973985106,-3.309715,-83.86978913542985,0.14254035,-5.69587827866424,-0.34541732,0.9754617989819963,10,1.2964525809511542,-26.937963,-4.2780895,1.0330315,-27.696545,-0.8386978913542987,-4.063278,-9.8414345,0.0012690149887930602,-84.94848656889073,0.656265091479471,0.0021527159842662513,-27.118465,-14.39553830103789,0.96246654,-4.0645094,100,14,0.0027207755,100,-24.953600870490124,0.70537627,100.0,0.914268,-0.976816,-0.57835853,1.0786974334608743,5,0.2471710579993669,6000,2,-0.88301086,8.126299,0.0,-0.24953600870490117,-0.06294005514253424,8.18066000691033,6.950155494669544,0.75456702709198,-24.953600870490124,-9.8329115,1.475452,-0.5411076,0.06702367099933326,-35.95573333735136,1.8976855,0.0
-0.8006479740142822,0.013811609,1600,100,-0.08309893734170867,0.49758127,1600,0.030143607,-63.761274906906515,100.0,-68.84604375078705,-5.849534066863558,0.6203054641968025,7.3564816,-1.3747606,7.30258,0.6158958,0.8623257,70,0.10656871,7.3426404,-9.943932,-0.5551319,100,0.0036804530245717615,-4.0152025,-68.84604375078705,0.14313456,-4.404657686336151,-0.33245778,1.0349525370111223,10,1.3624779020319693,-35.127617,-3.668796,1.0492833,-35.582336,-0.6884604375078706,-4.038898,-9.926227,0.0011978379916399717,-73.93081259466759,0.582793502145805,0.0026148559991270304,-35.224834,-16.791085050575973,0.97726715,-4.0263386,100,16,-0.0070240404,100,-25.054735817187424,0.7036886,100.0,0.60693055,-0.95203906,-0.69169277,5.084768843880536,6,0.25294522498734295,7000,2,-0.8785992,8.192597,0.0,-0.2505473581718743,-0.04163095208815168,9.547259148908779,6.271506593987676,0.7179083228111267,-25.054735817187424,-9.932437,1.3909583,-0.41766998,0.06708699301816523,-33.978577953132806,2.0728083,0.0
-0.852445662021637,-0.11013682,1800,100,-0.08770651940455677,0.5007471,1800,-0.004299214,-68.06928725691583,100.0,-69.32866031296558,-6.711952450165327,0.7633307177916351,9.984288,-1.4306555,10.08849,0.74212676,0.9019865,80,0.12428063,10.036076,-13.511111,-0.5549595,100,0.003682384005514905,-4.1965327,-69.32866031296558,0.13901038,-5.424797162723148,-0.32553118,1.0620702739979606,10,1.4123070530185942,-37.450138,-4.0201306,1.4243842,-36.85444,-0.6932866031296555,-4.287087,-13.431493,0.0012466500047594309,-70.58803336901532,0.5552515862923003,0.0026812019932549447,-37.812042,-12.987481230302018,0.96999216,-4.318333,100,18,0.0091556385,100,-20.821333185590692,0.8069518,100.0,0.7908735,-0.93842274,-0.7140686,1.2593730560497463,7,0.26851475800503977,8000,2,-0.8901617,11.057038,0.0,-0.20821333185590693,-0.024522238639203935,10.963800493947929,7.803480385382997,0.6832790970802307,-20.821333185590692,-13.484942,1.5408279,-0.23969547,0.0741117850120645,-34.94929533342049,3.0685291,0.0
-0.9471457004547119,0.030592248,2000,100,-0.03425108152676165,0.48857525,2000,0.006263512,-61.22813575109098,100.0,-62.159569378906305,-5.58764766515691,0.3715623408049573,7.89776,-1.6025141,7.8882585,2.0059633,0.8887746,90,0.10440067,7.885815,-11.616146,-0.5531922,100,0.003336975001730025,-3.309715,-62.159569378906305,0.13464694,-2.8963880460809297,-0.32226792,0.9664507279812824,10,1.3073468529910315,-33.09335,-4.9706616,1.3439207,-34.967617,-0.621595693789063,-4.802291,-11.753136,0.0011889100132975727,-63.09100300672163,0.43658162925043564,0.002352371986489743,-32.813934,-13.509962389271452,0.9541409,-4.8989105,100,20,-0.004390013,100,-19.920382700391123,0.8008718,100.0,1.9583523,-0.97063696,-0.66628456,0.9314336278153235,8,0.2680667880049441,9000,2,-0.877781,9.871725,0.0,-0.19920382700391126,-0.03357173388478383,12.275652169890236,5.115881181512811,0.6494289040565491,-19.920382700391123,-11.7298975,1.5250827,-0.19549495,0.06595108000328764,-29.595337427407923,3.3775003,0.0
-1.1352077722549438,0.12511766,2200,100,-0.0376144079308658,0.5049709,2200,-0.028888064,-66.46141755175064,100.0,-69.31131839084804,-5.664309862827878,0.6966186836699404,7.4076786,-1.5381339,7.6599884,0.9219704,0.91840106,100,0.083482094,7.417915,-10.136295,-0.6029082,100,0.0029008729907218367,-1.4708279,-69.31131839084804,0.14302441,-5.523041906190454,-0.39792666,0.9768548040010501,10,1.3069795339833945,-37.607048,-3.9463472,1.1258407,-39.93296,-0.6931131839084804,-5.0418553,-10.017804,0.001190234994282946,-72.16121922994543,0.4732087818080207,0.0023092780029401183,-37.885643,-12.459909472039891,0.9255372,-5.0239177,100,22,0.008398847,100,-16.95646606383354,0.74848336,100.0,0.9426697,-0.97951686,-0.68756056,2.849900839097394,9,0.25611457400373183,10000,2,-0.92591876,8.61796,0.0,-0.1695646606383354,-0.03194588263917355,13.586658105923561,4.229320371733742,0.6163923740386963,-16.95646606383354,-10.033946,1.6954068,-0.34734067,0.0676097699906677,-27.04724224994108,2.72233,0.0
