trainer/Policy log std Min,replay_buffer/size,evaluation/Actions Max,trainer/QF1 Loss,exploration/path length Min,trainer/Q Targets Std,evaluation/path length Mean,trainer/Log Pis Min,evaluation/path length Std,evaluation/path length Min,trainer/Alpha Loss,trainer/Q2 Predictions Max,evaluation/Average Returns,evaluation/num paths total,trainer/Q1 Predictions Mean,exploration/Rewards Std,time/logging (s),exploration/Returns Std,trainer/Q2 Predictions Min,evaluation/Returns Max,trainer/Log Pis Mean,exploration/Rewards Max,exploration/num steps total,trainer/Policy mu Std,exploration/Returns Max,trainer/Policy log std Std,evaluation/Actions Mean,exploration/num paths total,evaluation/Rewards Mean,evaluation/Num Paths,exploration/Returns Mean,time/evaluation sampling (s),evaluation/Rewards Min,exploration/Actions Max,exploration/Average Returns,time/total (s),trainer/Alpha,trainer/Q Targets Max,exploration/path length Std,exploration/Rewards Min,time/saving (s),exploration/Rewards Mean,evaluation/num steps total,trainer/Q2 Predictions Std,trainer/Policy log std Mean,Epoch,evaluation/Returns Std,trainer/Q1 Predictions Std,evaluation/Actions Min,time/exploration sampling (s),exploration/Actions Std,exploration/Returns Min,time/training (s),trainer/Policy mu Mean,evaluation/Returns Min,trainer/Q Targets Min,trainer/Q1 Predictions Max,exploration/path length Max,trainer/Policy Loss,trainer/Q1 Predictions Min,trainer/Log Pis Max,trainer/Q Targets Mean,trainer/Q2 Predictions Mean,evaluation/path length Max,trainer/Policy mu Min,trainer/QF2 Loss,exploration/Actions Min,trainer/Policy mu Max,evaluation/Actions Std,evaluation/Rewards Std,evaluation/Returns Mean,exploration/Actions Mean,time/data storing (s),time/epoch (s),trainer/Policy log std Max,exploration/path length Mean,evaluation/Rewards Max,trainer/Log Pis Std,exploration/Num Paths
-0.0012355701,400,0.0004349942,71.89485,100,2.2494466,100.0,-2.3943968,0.0,100,-0.0,-0.00060174195,-681.6337190946774,10,-0.003617158,2.2106259127711043,0.003679168992675841,85.57608310920523,-0.005416531,-200.97217983714611,-1.3486149,-4.721704842111301,400,0.0005283151,-840.5885255234256,0.00036362602,-0.00020574979,4,-6.816337190946772,10,-926.1646086326308,0.2009764630056452,-11.993218469447475,0.99398273,-926.1646086326308,1.2702507960493676,0.9997000694274902,-3.568194,0.0,-12.634794583655767,0.002082345017697662,-9.261646086326305,1000,0.0012102745,-0.000383939,0,353.55551637868547,0.0019345888,-0.0013973806,0.05981394200352952,0.6293424,-1011.740691741836,0.7873433509957977,-0.00047380597,-1197.6250829601531,-12.25663,0.00033127284,100,-1.3442074,-0.007153987,-0.54130745,-8.179063,-0.0038962313,100,-0.00145527,71.89305,-0.99806106,0.0004994889,0.0005282518,3.535601479291959,-681.6337190946774,0.020166514,0.0011504449939820915,1.055045715009328,0.0005915934,100.0,-2.007593016094981,0.30972964,2
-0.20962612,600,0.0986799,2.1163974,100,2.2832603,100.0,-1.8370392,0.0,100,-0.19928543269634247,-5.2645025,-529.6646611327736,20,-8.88682,2.1876592063471176,0.003316916001494974,168.82208490749883,-14.062596,-123.20953434679885,-1.324638,-3.9498451137752664,600,0.12993488,-627.5470076254045,0.021797895,-0.07658638,6,-5.296646611327739,10,-796.3690925329033,0.2517575050005689,-12.12643048461183,0.98716754,-796.3690925329033,2.3595909999858122,0.9415388107299805,-4.6059237,0.0,-11.98052498154205,0.0018739579827524722,-7.963690925329031,2000,2.2032983,-0.14998789,1,338.44115765129936,2.5085273,-0.282893,0.0634631110006012,0.57805735,-965.1911774404022,0.7629506459925324,-0.06532265,-1145.525045970769,-13.850756,-5.303354,100,7.749383,-14.413947,-0.73649025,-9.323912,-8.72271,100,-0.26327434,2.5689514,-0.99530977,0.11150084,0.14380117,3.612552414960954,-529.6646611327736,-0.068505354,0.001196095981867984,1.084558231959818,-0.10992579,100.0,-0.4545258376820044,0.25492516,2
-0.2964781,800,0.3125519,1.520554,100,3.807255,100.0,-2.9363298,0.0,100,-0.39079010486602783,-8.119731,-876.539327621068,30,-13.293079,1.3471929901686766,0.003338984999572858,10.338805600264834,-21.605522,-196.76558791365147,-1.2773709,-1.2301367949524038,800,0.27940014,-487.21886696174994,0.036701687,-0.034857437,8,-8.765393276210684,10,-497.5576725620148,0.24410394299775362,-12.70372839473255,0.98437333,-497.5576725620148,3.4654382599692326,0.8873356580734253,-7.3205786,0.0,-8.695852895198714,0.010431728995172307,-4.975576725620149,3000,3.5693104,-0.19081149,2,378.6405277964431,3.6471434,-0.49339467,0.06802676001098007,0.56705076,-507.8964781622796,0.7752055909950286,-0.11349301,-1253.1944280307407,-21.713543,-8.042871,100,11.9339075,-21.72123,-0.15648133,-13.456844,-13.397761,100,-0.68113744,1.6236169,-0.9902222,0.3022879,0.23011832,4.017197958109101,-876.539327621068,-0.0028431923,0.0012396899983286858,1.1023466979968362,-0.12848729,100.0,-0.1449620541051257,0.512088,2
-0.37204742,1000,0.48842123,2.5002646,100,4.306468,100.0,-3.6020083,0.0,100,-0.5510973334312439,-11.127717,-762.740018145942,40,-16.84422,1.45440086924742,0.0034327929897699505,94.67868832015091,-28.992363,-524.9268708984732,-1.1113838,-3.276603159361476,1000,0.39548695,-565.3696791480486,0.05085621,0.0323162,10,-7.627400181459421,10,-660.0483674681996,0.24158320599235594,-10.686625486171994,0.9861813,-660.0483674681996,4.604589196998859,0.8374401330947876,-5.476435,0.0,-11.128892784609906,0.01211226501618512,-6.600483674681997,4000,4.0812397,-0.2353187,3,174.91098069749543,4.077815,-0.57974017,0.08969188499031588,0.57183456,-754.7270557883504,0.7865590750006959,0.05101824,-973.1978337162369,-29.122963,-11.379799,100,15.361899,-29.077667,0.88398445,-17.327202,-16.868885,100,-0.96320057,2.6209612,-0.98987895,0.6937152,0.13074185,2.4759451061904643,-762.740018145942,0.02910085,0.0015735880006104708,1.1349528119899333,-0.13544255,100.0,-0.7488110607933072,0.75075364,2
-0.3938282,1200,0.57500744,1.2011671,100,5.3686028,100.0,-2.6824498,0.0,100,-0.6922523975372314,-14.366777,-400.7502729295738,50,-22.393475,1.2832550049963822,0.0033578890142962337,92.42150001392983,-35.995102,-303.18768604332234,-0.9663492,-2.283366426532988,1200,0.49168977,-386.93933358939347,0.04563225,0.0013485728,12,-4.007502729295738,10,-479.3608336033233,0.23028007100219838,-11.166189513106765,0.98953706,-479.3608336033233,5.686996764969081,0.7916430234909058,-13.438275,0.0,-9.424030178985978,0.0019613769836723804,-4.793608336033231,5000,5.086023,-0.2736839,4,109.4651884877668,5.08732,-0.84165746,0.0625673439935781,0.54785395,-571.7823336172531,0.7781455499934964,0.014717409,-598.4537528418764,-36.019867,-14.440651,100,20.847624,-35.947773,0.84659135,-22.69677,-22.415852,100,-1.1353421,1.2286426,-0.9762737,0.9986959,0.115755394,1.3998022773987733,-400.7502729295738,0.023196302,0.0014598089910577983,1.0777720399782993,-0.17655867,100.0,-3.017550371198594,0.7289087,2
-0.47729436,1400,0.7373439,3.0592132,100,5.930035,100.0,-3.0551414,0.0,100,-0.8411589860916138,-16.703056,-393.3275589316285,60,-24.565163,1.2383449272810576,0.0033220420009456575,57.084840908667786,-42.778267,-300.6631421960291,-0.92320216,-2.1186601835538834,1400,0.586961,-374.598622276809,0.05781605,-0.0047004116,14,-3.9332755893162856,10,-431.6834631854768,0.22764400599407963,-8.15108793100217,0.99477017,-431.6834631854768,6.7521380599355325,0.7497471570968628,-3.3678699,0.0,-8.496321959441406,0.0019479659968055785,-4.316834631854769,6000,5.208305,-0.32672295,5,85.71540429744292,5.2187595,-0.8335968,0.06367991998558864,0.5793161,-488.7683040941446,0.7628599189920351,-0.08693272,-491.8300022453868,-45.182003,-16.264595,100,22.969738,-42.634033,2.0984454,-24.70179,-24.639162,100,-1.4503933,3.2507703,-0.9885295,1.0657,0.12102033,0.9269455586344928,-393.3275589316285,-0.007226682,0.0016295280074700713,1.0610833809769247,-0.21014291,100.0,-2.7137941406788517,0.8288979,2
-0.5670841,1600,0.8055416,1.3751727,100,8.149743,100.0,-3.5653765,0.0,100,-0.9270788431167603,-19.024849,-386.34842986661704,70,-28.568192,0.7649996960115983,0.003384210984222591,0.8694916375622483,-54.506176,-286.3188858747738,-0.7218087,-1.3832516079393637,1600,0.6692492,-305.73264070318754,0.061690833,0.0028193665,16,-3.8634842986661706,10,-306.6021323407498,0.22383905202150345,-10.775492272031775,0.98674214,-306.6021323407498,7.816317218967015,0.7111517190933228,-19.389442,0.0,-6.798956819226782,0.0018327939906157553,-3.066021323407498,7000,8.200596,-0.36738953,6,76.08104356761552,8.263562,-0.8978279,0.06345940500614233,0.5508876,-307.47162397831204,0.766241725999862,-0.03690407,-473.1632187084791,-52.979248,-18.753222,100,26.86732,-54.64531,2.2008052,-28.870098,-28.60514,100,-1.468103,1.2296108,-0.99094176,1.3163941,0.12870766,0.9433492911166284,-386.34842986661704,-0.01028515,0.001267736020963639,1.0600249240233097,-0.2466123,100.0,-2.7854712749963273,1.1155062,2
-0.6480804,1800,0.90151197,1.0204723,100,9.99312,100.0,-4.051718,0.0,100,-1.0040833950042725,-22.3805,-368.47289086264936,80,-33.886375,1.459595002189499,0.0024962650204543024,56.87693006961629,-57.12413,-278.8885907514349,-0.5545921,-1.6954306203187273,1800,0.77244145,-346.08619916471184,0.07703365,-0.005030305,18,-3.684728908626494,10,-402.9631292343281,0.21910591798950918,-10.417741578557976,0.98878103,-402.9631292343281,8.87929603792145,0.6748199462890625,-22.081194,0.0,-10.970646153559198,0.0016924899828154594,-4.029631292343281,8000,9.810872,-0.41190886,7,64.92502398341604,9.808339,-0.8954256,0.06311876399558969,0.53085893,-459.84005930394443,0.7713266219943762,-0.08428304,-434.28572627677846,-56.97028,-21.940775,100,32.107033,-57.26954,2.0134425,-34.10933,-33.8881,100,-1.5037861,0.9403075,-0.98356456,1.5455488,0.1449701,0.9410281253849047,-368.47289086264936,-0.030179314,0.0012377779930830002,1.0589778369758278,-0.26437324,100.0,-2.1767048086499425,1.2080078,2
-0.6136016,2000,0.91119784,14.090633,100,10.052037,100.0,-4.7574754,0.0,100,-1.1328725814819336,-24.345337,-328.7371482059518,90,-34.499317,0.8958291100751985,0.0033499859855510294,60.297419200757275,-69.13639,-247.72990815533805,-0.5418439,-1.286536709628213,2000,0.6761098,-259.7002178830926,0.064304866,0.004444475,20,-3.2873714820595183,10,-319.9976370838499,0.22209616299369372,-10.25331902995952,0.9839427,-319.9976370838499,9.944180802849587,0.6402128338813782,-2.9854944,0.0,-6.788018961133349,0.001540730008855462,-3.1999763708385003,9000,8.970505,-0.43182036,8,68.91763221032328,8.997373,-0.9087035,0.06385887699434534,0.5344039,-380.29505628460714,0.7694031769933645,0.016093137,-416.203795430734,-67.332146,-24.116138,100,32.90936,-69.82721,2.0458288,-34.24147,-34.506382,100,-1.5627129,14.134083,-0.9726808,1.5381169,0.13598506,0.9245786638170126,-328.7371482059518,0.015516431,0.0012143130006734282,1.0614632459764834,-0.29576123,100.0,-2.3855112300283907,1.0319557,2
-0.652714,2200,0.92279875,31.928253,100,11.946279,100.0,-4.768153,0.0,100,-1.2236860990524292,-26.356012,-330.2202389920311,100,-37.29321,0.7158744154404589,0.00316824100445956,43.980329765384454,-70.97803,-267.9190437592072,-0.45498055,-1.434711008802905,2200,0.7313754,-267.04701366043037,0.06832225,0.0040581035,22,-3.302202389920311,10,-311.0273434258148,0.21702491099131294,-10.295118218739777,0.97186613,-311.0273434258148,10.99980877386406,0.607311487197876,-3.1647322,0.0,-4.778353403168597,0.001584597019245848,-3.1102734342581484,10000,10.550117,-0.45921144,9,45.59093914157924,10.527941,-0.9413721,0.06411604199092835,0.5233069,-355.0076731911993,0.7644027629867196,-0.04799284,-384.61075265331453,-71.25595,-26.089853,100,35.47279,-71.2021,3.0221386,-36.604603,-37.317448,100,-1.645838,31.780195,-0.973193,1.5062635,0.13794924,0.7556987480258187,-330.2202389920311,0.013078199,0.0012473899987526238,1.051543943991419,-0.30500454,100.0,-2.188231311304415,1.3111361,2
