trainer/Policy mu Std,exploration/Returns Min,time/logging (s),trainer/Policy mu Mean,exploration/num steps total,exploration/Rewards Mean,evaluation/Returns Max,replay_buffer/size,exploration/num paths total,time/evaluation sampling (s),evaluation/Actions Mean,evaluation/Actions Min,evaluation/path length Min,trainer/Log Pis Std,trainer/Alpha,exploration/Rewards Max,exploration/Actions Std,exploration/Rewards Min,evaluation/Rewards Min,evaluation/Average Returns,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,exploration/Returns Mean,exploration/Num Paths,trainer/Policy log std Mean,exploration/Actions Max,exploration/Rewards Std,time/data storing (s),exploration/path length Min,exploration/path length Std,trainer/Q1 Predictions Std,trainer/Q Targets Std,trainer/Q2 Predictions Max,exploration/Actions Min,trainer/Policy log std Min,time/saving (s),exploration/path length Max,evaluation/Rewards Std,trainer/Log Pis Min,exploration/Actions Mean,evaluation/Returns Std,evaluation/path length Std,Epoch,evaluation/num paths total,trainer/Q2 Predictions Min,trainer/QF2 Loss,exploration/path length Mean,evaluation/num steps total,time/total (s),trainer/Alpha Loss,trainer/QF1 Loss,exploration/Returns Max,trainer/Policy log std Std,trainer/Log Pis Max,trainer/Q2 Predictions Std,evaluation/path length Mean,trainer/Q Targets Max,evaluation/Actions Std,trainer/Policy mu Min,trainer/Q1 Predictions Mean,evaluation/Rewards Mean,trainer/Policy mu Max,evaluation/Rewards Max,exploration/Average Returns,evaluation/Returns Mean,time/training (s),evaluation/Actions Max,trainer/Q Targets Min,time/exploration sampling (s),trainer/Q Targets Mean,exploration/Returns Std,trainer/Q1 Predictions Max,evaluation/Num Paths,trainer/Policy log std Max,time/epoch (s),evaluation/path length Max,evaluation/Returns Min,trainer/Log Pis Mean,trainer/Policy Loss
0.0009694569,-1104.540960042623,0.004903477994957939,-7.289537e-05,700,-6.4883666306585654,-14.170362390818662,700,7,0.3244030720088631,7.623017e-05,-0.0012239054,100,0.26532134,0.9997000694274902,-0.36424212737322464,0.63391536,-12.421433521173125,-10.645328284104774,-632.2621909199208,-0.0031074043,-0.0034291018,-648.8366630658564,5,-0.00011337964,0.9982876,3.6164628563479844,0.0031287949823308736,100,0.0,0.0007954983,3.4937859,-0.001627923,-0.99585706,-0.0009568172,0.0025100039783865213,100,3.115193241935547,-1.8297144,0.0184486,311.50897937579373,0.0,0,15,-0.005679697,51.32198,100.0,1500,2.907462880946696,-0.0,51.3407,-264.6562146797356,0.000489713,-0.6744709,0.0010826779,100.0,-0.51634526,0.0009250665,-0.0014656483,-0.0017143979,-6.32262190919921,0.0018273877,-0.10971781765698158,-648.8366630658564,-632.2621909199208,2.169761389028281,0.001648302,-11.989717,0.16234822900150903,-6.2575145,295.21110669966447,0.00024506263,15,0.0010176623,2.6670549669943284,100,-1059.6552790597266,-1.3377876,-1.3342465
0.2486657,-973.3786938198907,0.00508235499728471,-0.26129568,1200,-6.737212397894203,-293.47647584641146,1200,12,0.3746048229804728,-0.18353242,-0.63471544,100,0.6079213,0.8626107573509216,-0.25607307334976737,0.597659,-12.847226635683237,-11.774188382247502,-709.5813301018061,-22.264027,-11.96885,-673.7212397894203,5,-0.16126175,0.9884144,3.2391892812908467,0.0032330510148312896,100,0.0,4.5327315,4.9430346,-4.4147463,-0.99531555,-0.25263163,0.001956322987098247,100,3.259626538533606,-2.8376465,-0.10686853,298.19501042456085,0.0,1,30,-22.514383,7.439173,100.0,3000,5.561244025971973,-0.4694094955921173,7.5533714,-439.93881878825437,0.03426033,0.48542285,4.503603,100.0,-4.076136,0.1140381,-0.7371438,-11.908664,-7.0958133010180635,0.13465758,-0.5647371854655683,-673.7212397894203,-709.5813301018061,2.0989746790146455,0.09319049,-22.102901,0.16478381500928663,-12.179795,241.8628270471252,-4.6708755,15,-0.10997623,2.648635046003619,100,-1122.6845025416214,-1.182324,10.561335
0.61529326,-596.9801752979096,0.004904421017272398,-0.13005501,1700,-5.098164540897362,-220.81933005537581,1700,17,0.36153009699773975,-0.018653272,-0.8420526,100,1.0482894,0.7506579160690308,-0.3038303420886042,0.56265295,-9.956358457166814,-10.794036466416925,-427.88246499117366,-42.7197,-22.71764,-509.81645408973617,5,-0.3125638,0.99464995,1.6349764622797875,0.0032105639984365553,100,0.0,8.895039,9.381553,-8.581047,-0.98067,-0.47732273,0.0022888450184836984,100,1.5489090277139517,-5.481545,-0.0064779227,145.83012603474495,0.0,2,45,-42.658054,8.695572,100.0,4500,8.276815645978786,-0.8129901885986328,9.046497,-255.18117284781448,0.06910256,1.7751766,8.94484,100.0,-8.623763,0.12281138,-1.2137561,-22.72139,-4.278824649911736,0.93183655,-0.7838034071690874,-509.81645408973617,-427.88246499117366,2.175311126979068,0.6597389,-42.70308,0.16449073297553696,-22.435846,128.62070139970592,-8.599127,15,-0.19561753,2.7117357869865373,100,-601.0175451449807,-0.8372124,20.815401
0.81615174,-430.702631063007,0.0048128520138561726,-0.022163477,2200,-3.367700287531562,-131.86362774472371,2200,22,0.35853051699814387,-0.010023212,-0.9201253,100,1.2295591,0.6616696119308472,-0.1548548173141101,0.5260883,-9.291111159464574,-9.651633478984762,-308.9294414776983,-54.01382,-30.092,-336.77002875315617,5,-0.44547316,0.9791524,1.3580120018261743,0.0036779550136998296,100,0.0,11.778556,11.994875,-10.166468,-0.9811854,-0.6621249,0.0016072669823188335,100,1.0700163903572564,-3.373368,-0.0016110687,88.51027064916917,0.0,3,60,-54.10393,18.480738,100.0,6000,10.925847877020715,-0.9751436710357666,18.320995,-145.2078333104321,0.07766312,3.092213,11.817143,100.0,-10.041472,0.13910174,-1.5785631,-30.141783,-3.0892944147769823,1.4686576,-1.289444668277995,-336.77002875315617,-308.9294414776983,2.114714229013771,0.875024,-54.09351,0.16146772701176815,-29.83181,110.24086163339875,-9.858314,15,-0.2796481,2.6448105470335577,100,-438.9899779271919,-0.36253604,28.12766
0.7965524,-283.26371603768087,0.00432173500303179,0.134596,2700,-2.1914802110787353,-56.70325569524552,2700,27,0.3539611799933482,-0.013530882,-0.91721815,100,1.1337053,0.5850107073783875,-0.016827185917937627,0.5055135,-7.5467378228678825,-10.404448770781253,-236.86706338862683,-70.150246,-31.607735,-219.14802110787355,5,-0.5267172,0.952583,0.9972431769768257,0.0033346560085192323,100,0.0,14.268666,15.089168,-10.359173,-0.97773534,-0.73919344,0.0022929020051378757,100,1.1366414448634794,-2.6926594,-0.020639649,96.15118207882018,0.0,4,75,-69.79272,55.769863,100.0,7500,13.629535933083389,-1.176801323890686,55.903576,-81.67803313098337,0.09265907,2.5357935,14.263782,100.0,-0.68766934,0.14063084,-1.5686798,-31.64431,-2.368670633886268,1.6887851,-0.49874832924994933,-219.14802110787355,-236.86706338862683,2.179941300972132,0.86114514,-70.089806,0.15607126202667132,-30.380064,70.56910975528358,-10.335645,15,-0.28191522,2.6999230360088404,100,-362.2632166095315,-0.19599812,29.77656
0.8360739,-334.3625082362497,0.005125138006405905,0.08109149,3200,-1.7338394026065223,-54.272044290151804,3200,32,0.35562970201135613,9.8112745e-05,-0.92640054,100,1.4521035,0.5165039300918579,-0.06524092551996509,0.5016985,-10.371373313049256,-10.3970420173375,-254.35755126196258,-83.70456,-35.89703,-173.3839402606522,5,-0.58313763,0.97655505,1.300170462386014,0.004187565005850047,100,0.0,19.359625,19.520615,-11.291639,-0.99005187,-0.77132416,0.0019125129911117256,100,1.2054321219530633,-3.6204157,-0.024379408,101.38038750823169,0.0,5,90,-84.255554,1.422592,100.0,9000,16.314309823064832,-1.4350826740264893,1.3513933,-80.2275319566877,0.10122153,3.8944156,19.359571,100.0,-11.337282,0.1589135,-1.7033668,-35.95232,-2.543575512619626,1.7415656,-0.4736401676630937,-173.3839402606522,-254.35755126196258,2.1399173339887056,0.9262713,-83.653534,0.17344387399498373,-36.185463,92.74700251362339,-11.077158,15,-0.3754084,2.680216125998413,100,-359.26498282131314,-0.17296278,34.140575
0.8246341,-306.48230692899995,0.005800974991871044,0.07572723,3700,-2.354015375592836,-50.43792719490394,3700,37,0.35076849997858517,-0.010963455,-0.9559411,100,1.3633659,0.4546612501144409,-0.17330029205948205,0.5106275,-11.079294257309941,-9.127680657268902,-150.41016905555745,-94.529274,-39.893898,-235.4015375592835,5,-0.6218389,0.98335606,1.4849456134815127,0.0031175709736999124,100,0.0,21.146784,21.831747,-11.649466,-0.9863835,-0.8167035,0.002440856012981385,100,1.2694254315263347,-4.062731,-0.009607982,100.17087180327161,0.0,6,105,-95.14041,7.6223307,100.0,10500,18.970831540005747,-1.5583055019378662,7.990637,-143.63862052258904,0.0986865,3.7955503,21.19053,100.0,-1.1260173,0.16544756,-1.8591264,-39.924606,-1.5041016905555744,1.996026,-0.33196783331256385,-235.4015375592835,-150.41016905555745,2.130028505984228,0.94091094,-92.08062,0.1597041939967312,-39.83605,72.68949661025069,-11.756067,15,-0.3961297,2.651860601938097,100,-317.24543475568765,0.022332959,38.183323
0.8470755,-294.066850172285,0.004770757019286975,-0.095927134,4200,-2.4608981830915555,-35.04432694818128,4200,42,0.38317138599813916,-0.0044015087,-0.9730222,100,1.4057475,0.39959901571273804,-0.16812537266155286,0.50297225,-8.722849892861138,-10.01481809501291,-171.35757636555655,-89.36421,-39.699337,-246.0898183091556,5,-0.7048033,0.98157144,1.0041047081614116,0.0034067590022459626,100,0.0,18.058187,18.200888,-11.800203,-0.9856236,-0.9096954,0.0016240240074694157,100,1.2607103663931394,-3.0811954,-0.0065480326,106.6940431791303,0.0,7,120,-90.175415,1.0610611,100.0,12000,21.684350398019888,-1.5884426832199097,1.190471,-131.42388167992243,0.11179253,4.257278,18.142895,100.0,-12.304253,0.16131054,-2.0121639,-39.68327,-1.7135757636555657,1.9775462,-0.20593135887513087,-246.0898183091556,-171.35757636555655,2.151007334003225,0.95583403,-91.39733,0.16466731601394713,-39.845943,58.84256042352781,-11.784155,15,-0.47969595,2.7086475760443136,100,-302.99868183991083,0.26785976,37.965843
0.9302049,-226.9912088946148,0.004278153006453067,0.024506273,4700,-1.5748576809568302,-42.024216376444826,4700,47,0.357678639004007,-0.0070187263,-0.9833516,100,1.6625162,0.34989187121391296,-0.013426282796369907,0.47178492,-6.231218353975595,-9.823796781490634,-145.08780672179265,-101.34275,-44.12526,-157.485768095683,5,-0.7243579,0.9860626,0.9011237471225195,0.0035606970195658505,100,0.0,21.182377,21.376293,-11.933421,-0.9782323,-0.9405118,0.002023156004725024,100,1.1141704231184673,-4.971821,-0.009834267,80.11457444291203,0.0,8,135,-102.32521,2.7808614,100.0,13500,24.390254894067766,-1.7799077033996582,3.1160686,-78.86073710994587,0.12068746,4.706582,21.214085,100.0,-0.6906012,0.16353771,-1.8397717,-44.107914,-1.4508780672179267,2.3173249,-0.3269746683802522,-157.485768095683,-145.08780672179265,2.167746677005198,0.9785097,-101.60034,0.16634099601651542,-44.14978,60.94339034627371,-11.868922,15,-0.50589967,2.701628318056464,100,-244.3061366814846,0.30463746,42.434166
0.89719325,-234.350194751468,0.004276772000594065,0.060155436,5200,-1.369432433998717,-38.68457645031933,5200,52,0.3609004750032909,0.00019922352,-0.9858843,100,1.6538882,0.30495768785476685,-0.02972302006226732,0.45662528,-3.753671937046382,-10.928657914437219,-167.4100166479803,-106.646545,-47.223133,-136.94324339987173,5,-0.73612565,0.9552373,0.8091246695150128,0.003336374997161329,100,0.0,23.467113,24.286425,-11.95404,-0.98473996,-1.0112449,0.002106858999468386,100,1.3226502222449743,-6.3975,-0.010087173,89.63648074210057,0.0,9,150,-106.9624,12.175869,100.0,15000,27.08307398011675,-2.0606093406677246,12.007627,-63.58633786900347,0.14858347,5.483576,23.493603,100.0,-0.84156096,0.186418,-2.080806,-47.238426,-1.674100166479803,2.2722642,-0.27562800664315235,-136.94324339987173,-167.4100166479803,2.1513852789939847,0.9820897,-109.177376,0.1661862850014586,-47.19265,64.49204616910194,-12.063421,15,-0.48468655,2.688192044995958,100,-274.16377698139553,0.26446858,45.706886
