exploration/num steps total,evaluation/Actions Min,exploration/Returns Min,evaluation/Rewards Min,trainer/Q1 Predictions Max,evaluation/Actions Max,trainer/Q Targets Min,trainer/Q2 Predictions Std,trainer/QF2 Loss,trainer/Policy Action Std,trainer/Q1 Predictions Std,evaluation/Rewards Std,trainer/Q2 Predictions Min,time/evaluation sampling (s),evaluation/Num Paths,trainer/Policy Action Mean,trainer/Bellman Errors 2 Mean,exploration/path length Std,time/data storing (s),exploration/Returns Std,evaluation/Actions Std,trainer/Policy Action Max,evaluation/path length Min,time/exploration sampling (s),exploration/Actions Std,exploration/path length Min,evaluation/path length Max,trainer/Bellman Errors 1 Std,evaluation/Rewards Mean,evaluation/path length Std,evaluation/path length Mean,exploration/Returns Mean,exploration/Rewards Std,trainer/Bellman Errors 1 Max,exploration/Actions Max,exploration/Rewards Max,evaluation/num steps total,trainer/Q2 Predictions Max,trainer/Bellman Errors 1 Min,exploration/Num Paths,evaluation/Returns Max,trainer/Q1 Predictions Min,trainer/Q Targets Std,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 2 Std,evaluation/num paths total,evaluation/Returns Std,trainer/Policy Loss,trainer/Bellman Errors 2 Min,trainer/Q2 Predictions Mean,trainer/Bellman Errors 2 Max,exploration/Rewards Min,exploration/Returns Max,evaluation/Rewards Max,exploration/num paths total,trainer/Q Targets Mean,evaluation/Actions Mean,replay_buffer/size,time/logging (s),exploration/Average Returns,evaluation/Average Returns,trainer/Policy Action Min,time/total (s),trainer/Q1 Predictions Mean,time/training (s),evaluation/Returns Mean,exploration/path length Max,evaluation/Returns Min,exploration/Actions Min,trainer/QF1 Loss,time/saving (s),Epoch,time/epoch (s),exploration/Actions Mean,exploration/Rewards Mean,trainer/Q Targets Max,exploration/path length Mean
300,0.00082233263,-243.03787707189582,-1.8116962156848297,-0.0012912487,0.0052092387,-2.8285577,0.0006720948,3.8357675,0.0018883251,0.00030736468,0.47530341345191024,-0.00019188691,0.09536552798817866,5,0.003162759,3.8357677,0.0,0.0018594559805933386,46.990796794645036,0.0017627814,0.005133563,100,0.05206705900491215,0.09545026162175195,100,100,2.8064263,-0.9496212641011273,0.0,100.0,-196.04708027725079,0.5485480501887294,7.9877057,0.3159026843623456,-0.9956452112251954,500,0.0019909758,0.14752264,2,-42.68154881256151,-0.0023047263,0.8069172,3.823388,2.8144763,5,46.17159699777752,0.0074390867,0.14888208,0.0011508102,8.011693,-2.9149706577589063,-149.05628348260575,-0.19208128118001494,3,-1.7831118,0.0032197246,300,0.0026329479878768325,-196.04708027725079,-94.96212641011272,0.0008695617,0.7366948749404401,-0.0018885854,0.42155710101360455,-94.96212641011272,100,-169.35666841290555,-0.3296241498583424,3.8233876,0.0025048759998753667,0,0.5759869679750409,0.009176533284562739,-1.9604708027725082,-0.38548198,100.0
500,-0.9959349,-93.47764725456706,-1.5416165797656192,-0.29788676,0.9982321,-3.0620475,0.9373215,0.18792649,0.9912913,0.8987671,0.27529527642427054,-2.9922528,0.08400027200696059,5,0.0027422234,0.18792647,0.0,0.0010583499970380217,18.193055204276,0.9665322,0.99967915,100,0.03349899998283945,0.9549169875414624,100,100,0.19984603,-1.3577688884524168,0.0,100.0,-75.28459205029105,0.1834267296307002,0.56981367,1.0,-0.5229412098715095,1000,-0.17802987,4.9200047e-05,2,-81.90696628507233,-2.9863212,0.7600763,0.13549145,0.27236173,10,27.208560014507007,0.71107346,4.844042e-05,-1.0461164,0.7645785,-0.9380640848584308,-57.09153684601506,-0.3768689335208873,5,-1.308965,0.008468585,500,0.0023598590050823987,-75.28459205029105,-135.77688884524156,-0.9991028,1.2967905139084905,-1.0902648,0.43248877697624266,-135.77688884524156,100,-154.1616579765617,-1.0,0.13549143,0.002294778998475522,1,0.5557010369666386,-0.00015794550452621347,-0.7528459205029118,-0.532862,100.0
700,-0.9878019,-149.5893207912263,-1.5025701746581022,-0.86781824,0.9875895,-3.5557802,0.7838995,0.028764084,0.70519805,0.7781004,0.4030874825108796,-3.5145538,0.08321182898362167,5,0.00031441078,0.02876408,0.0,0.0010780890006572008,43.17629535344387,0.49945942,0.9986765,100,0.035020677983993664,0.48550420560097673,100,100,0.11731622,-1.0305248436247385,0.0,100.0,-106.41302543778244,0.43240936770719846,0.42029744,0.9690289833032707,-0.6323673008433864,1500,-0.82939094,2.4122073e-09,2,-59.5483162735078,-3.5113142,0.7920605,0.04592288,0.06960498,15,40.19152529949428,1.1401974,1.4582854e-05,-1.5264357,0.2548674,-1.5000001666558136,-63.23673008433857,-0.5310165077935256,7,-1.5909768,0.00044260122,700,0.0025025130016729236,-106.41302543778244,-103.05248436247398,-0.99871135,1.8614875158527866,-1.5257221,0.43656526200356893,-103.05248436247398,100,-149.8784803403592,-1.0,0.04592287,0.002526679978473112,2,0.5609050509519875,-0.001825672449497957,-1.0641302543778255,-0.7931465,100.0
900,-0.97955346,-150.47772043576117,-1.4819009727955574,-1.033115,0.98266196,-4.001382,0.78024817,0.00587825,0.78209186,0.77431417,0.3435176496358071,-4.230105,0.083004557993263,5,0.0039312765,0.0058782506,0.0,0.0011636109848041087,19.396621897106222,0.6249815,0.99995184,100,0.03333656600443646,0.5288237953880492,100,100,0.011613677,-1.0561363920627886,0.0,100.0,-131.08109853865494,0.20022930860459892,0.04386571,0.9846071151348609,-0.45521584261158055,2000,-1.0067537,3.6774236e-07,2,-66.56563185378687,-4.2040877,0.753715,0.0066890055,0.011345468,20,34.31044538808384,1.465473,8.95001e-07,-1.84281,0.052314233,-1.5047772043576113,-111.68447664154873,-0.6656563185378676,9,-1.8393767,0.0052423105,900,0.0024474309757351875,-131.08109853865494,-105.61363920627896,-0.9999288,2.4207201167882886,-1.8440589,0.43310325499624014,-105.61363920627896,100,-147.8115638666751,-0.9401293074232638,0.006689006,0.002218125999206677,3,0.5552735469536856,0.006632871073754514,-1.3108109853865506,-0.90822774,100.0
1100,-0.99927866,-167.77648370579496,-1.5652934383905988,-1.2228482,0.9693843,-4.2557454,0.81154656,0.022905175,0.49674973,0.8119871,0.06553830464984017,-4.2332206,0.08352117400499992,5,-0.0833174,0.02290518,0.0,0.0011612329981289804,6.800671457420037,0.24110287,0.9910918,100,0.03370544401695952,0.33231660019178116,100,100,0.10635707,-1.528237091608019,0.0,100.0,-160.97581224837492,0.0781592596883734,0.61391,1.0,-1.1816538187684766,2500,-1.2495018,8.1991004e-08,2,-149.19462650553186,-4.217539,0.8583209,0.02280621,0.10756579,25,3.0089984512827055,2.0779653,2.0259506e-08,-2.3434305,0.62082326,-1.680041878329465,-154.17514079095488,-0.5532665669009942,11,-2.3165443,-0.093613304,1100,0.002448097977321595,-160.97581224837492,-152.8237091608019,-0.99992955,2.9784004958637524,-2.3452892,0.43073825899045914,-152.8237091608019,100,-156.47220613820937,-1.0,0.022806207,0.0022813550021965057,4,0.5538555629900657,-0.11077782471047984,-1.60975812248375,-0.6323673,100.0
1300,-0.98360115,-170.64975091157748,-2.0010196360285324,-1.3813915,0.84155107,-4.88386,0.9841356,0.015299258,0.4061852,0.9660676,0.3524036057435238,-4.9132166,0.081428703997517,5,-0.01949235,0.015299257,0.0,0.0011178390122950077,1.161607458644454,0.08385819,0.9941182,100,0.03145270701497793,0.1405764743895735,100,100,0.034551412,-1.8362455548143648,0.0,100.0,-169.48814345293303,0.44603288298566374,0.18796673,0.45201449650142544,-0.34900641676321326,3000,-1.3959323,6.183122e-05,2,-147.54731573687496,-4.8982205,0.9861018,0.014853278,0.02139569,30,18.33000167227148,2.7780278,0.00014070232,-3.0476813,0.08622047,-2.0870880891212353,-168.32653599428858,-0.32412033441771654,13,-2.979048,-0.017759206,1300,0.002451570995617658,-169.48814345293303,-183.62455548143615,-0.9999774,3.53829602591577,-3.009096,0.43739969801390544,-183.62455548143615,100,-198.11592466205985,-0.5004375434114235,0.014853278,0.0022638719819951802,5,0.5561143910163082,-0.025688689706754357,-1.69488143452933,-1.1022991,100.0
1500,-0.9238977,-50.49702247991188,-0.9462273960297403,-1.5278348,0.98770064,-5.2320466,1.1896255,0.013799799,0.5216356,1.1667972,0.029227528094069036,-5.19965,0.0808672999846749,5,0.45630178,0.013799798,0.0,0.0011366689868737012,0.09334647010755859,0.254475,0.9978786,100,0.032094955997308716,0.31277258883590237,100,100,0.01996024,-0.5010182561695494,0.0,100.0,-50.403676009804315,0.04031545916080128,0.09259664,1.0,-0.23255441188706213,3500,-1.446191,1.414556e-06,2,-49.85218160319347,-5.1622376,1.1280154,0.011618398,0.017275283,35,0.20184584474187767,2.8445275,4.2308984e-05,-3.2195468,0.077459276,-0.8954109165042095,-50.31032953969676,-0.24294447003418537,15,-3.1976483,0.1814199,1500,0.002469368017045781,-50.403676009804315,-50.1018256169549,-0.9948152,4.110867407900514,-3.2361126,0.4502160050033126,-50.1018256169549,100,-50.46110975825871,-0.6699933778735225,0.011618397,0.0022898190072737634,6,0.5690741169964895,0.15322292713732755,-0.5040367600980424,-1.5551496,100.0
1700,-0.87814707,-65.74925218841807,-0.9528466358536891,-1.6866858,0.9974442,-5.932578,1.268711,0.023534492,0.7148312,1.2643458,0.0599766180549569,-5.560729,0.0821182880026754,5,0.32713026,0.02353449,0.0,0.0011158210108987987,5.22270491286363,0.20285359,0.99971706,100,0.04474424500949681,0.24100744005698838,100,100,0.04368732,-0.5702866270325226,0.0,100.0,-60.526547275554435,0.08200922400028456,0.16035466,1.0,-0.11564684713607636,4000,-1.7015249,2.2037972e-07,2,-53.026740979339905,-5.532135,1.3012668,0.022262389,0.04180792,40,4.441866328400428,2.7423518,1.1832934e-05,-3.3167367,0.1609787,-1.1419164207004522,-55.30384236269081,-0.07555310198722792,17,-3.4168487,0.22560717,1700,0.002453349996358156,-60.526547275554435,-57.028662703252316,-0.9934642,4.681327154889004,-3.3200688,0.4289473429962527,-57.028662703252316,100,-65.26960472884599,-1.0,0.02226239,0.0072318739839829504,7,0.5666109209996648,0.32735916429365886,-0.6052654727555449,-1.7400414,100.0
1900,-0.87973064,-62.733769989675004,-1.02756292640285,-1.9177926,0.99837387,-5.8072777,1.3297971,0.006547968,0.55133796,1.3272066,0.06474754127121665,-5.967761,0.08837817399762571,5,0.49145573,0.006547968,0.0,0.0010892890277318656,0.7040782133859125,0.21315086,0.99970144,100,0.034255224018124864,0.24056026402562403,100,100,0.009601333,-0.604344072855916,0.0,100.0,-62.02969177628909,0.04105217269863541,0.04256196,0.8817385153167508,-0.41576006650318564,4500,-1.904418,6.5372305e-06,2,-53.794402666264205,-6.013583,1.3043664,0.004964625,0.010411834,45,3.456587047586393,3.0673761,3.8166476e-05,-3.4862719,0.039642148,-0.6548772763422779,-61.32561356290318,-0.03623534442028047,19,-3.5107002,0.22764477,1900,0.002468936989316717,-62.02969177628909,-60.43440728559153,-0.97141796,5.261654467904009,-3.4961355,0.44854632901842706,-60.43440728559153,100,-63.20806224238936,-0.9331997419916946,0.004964625,0.0022518890036735684,8,0.5769898420548998,0.2561374690895118,-0.6202969177628908,-1.9397618,100.0
2100,-0.7219586,-56.206917346113414,-0.69962949769018,-2.0404887,0.99225193,-5.4264026,1.1256671,0.15140113,0.45995134,1.121261,0.05642315383798458,-5.5581536,0.08437587899970822,5,0.47031265,0.15140115,0.0,0.001164752000477165,0.3007945911250296,0.09920648,0.9988009,100,0.03299437800887972,0.2051328060491407,100,100,0.68259287,-0.5265891673430704,0.0,100.0,-55.90612275498839,0.08947055462380825,3.939847,0.6411643418064359,-0.17999408091381341,5000,-1.9890964,5.4757e-05,2,-51.74370984894462,-5.5575347,1.2007991,0.1487557,0.69630384,50,0.6585316330584353,3.0727038,1.1731827e-06,-3.3824153,4.0203066,-0.6656771051302377,-55.605328163863355,-0.07066167561420729,21,-3.3082314,0.0024622201,2100,0.002468639984726906,-55.90612275498839,-52.65891673430703,-0.839127,5.826624779932899,-3.3911457,0.4379114879993722,-52.65891673430703,100,-53.463221027359616,-0.7440965333930645,0.14875571,0.0022447619994636625,9,0.5611598989926279,0.14292766622885336,-0.5590612275498841,-0.5713999,100.0
